responseID_primary key_cleaned,Fast career DV,High status,Independence,Industry salary,Interesting,International work,Performance salary,Personal DV,Professional DV,Promotion,Security,Work situation
1,3,2,5,4,5,1,4,5,5,5,4,5
10,3,2,4,3,4,2,1,4,4,4,4,4
100,3,2,4,3,5,1,4,5,5,4,4,5
101,4,1,5,4,5,1,5,5,5,5,3,5
102,4,4,4,4,4,5,3,5,5,4,4,4
103,4,5,4,3,4,3,4,5,5,4,2,3
104,4,4,5,4,5,2,4,4,4,4,4,3
105,4,4,4,4,5,2,3,5,5,4,3,5
106,5,5,5,5,4,3,4,5,5,5,5,5
107,3,3,3,4,5,4,2,4,4,4,5,4
108,3,3,4,3,3,1,5,4,5,5,4,5
109,3,2,3,4,4,1,2,5,4,4,4,4
11,3,3,5,3,5,5,5,4,5,4,5,4
110,3,4,5,3,4,5,1,5,5,6,5,5
111,4,2,3,4,5,3,2,5,5,4,5,5
112,4,5,3,3,3,3,3,5,5,4,4,4
113,4,5,4,2,4,5,5,3,4,3,4,3
114,2,2,4,4,4,1,1,3,3,4,5,4
115,3,3,5,4,5,1,3,4,4,4,3,4
116,2,2,3,3,5,3,2,5,4,4,5,4
117,3,3,2,4,4,1,3,5,5,4,5,3
118,4,1,2,2,5,1,3,4,4,4,4,4
119,4,3,3,3,5,4,1,5,5,4,4,5
12,4,3,3,3,4,1,2,4,4,4,4,3
120,3,3,4,3,4,2,2,4,3,3,3,4
121,4,2,4,2,5,2,4,3,4,3,3,3
122,3,2,3,3,5,2,3,4,3,4,4,4
123,2,2,5,3,5,3,2,5,4,4,3,4
124,4,3,4,4,5,3,3,5,4,4,4,4
125,3,3,5,3,5,1,2,4,4,4,4,4
126,5,3,4,4,5,3,4,5,5,4,3,4
127,4,3,4,4,5,2,4,5,3,3,4,3
128,5,2,5,5,4,2,4,5,5,4,3,5
129,3,2,4,5,4,2,2,5,4,4,5,4
13,1,2,4,2,4,2,2,5,4,4,5,4
130,4,3,4,3,4,6,3,5,4,4,4,4
131,2,2,4,3,5,3,2,4,4,3,4,3
132,3,3,4,3,5,3,3,5,5,3,4,4
133,4,4,5,5,5,1,4,5,5,4,4,5
134,3,2,3,4,4,3,3,4,4,4,5,2
135,4,4,5,4,4,3,4,4,4,4,4,4
136,5,4,4,4,5,4,3,5,5,4,3,4
137,4,3,3,4,5,2,3,5,4,3,4,4
138,2,2,3,2,4,2,2,3,4,3,3,4
139,3,4,4,4,5,1,3,4,5,4,3,5
14,4,3,4,3,4,1,1,4,4,4,5,3
140,3,3,4,4,5,2,3,5,5,5,5,5
141,3,2,4,3,4,2,1,3,3,4,5,4
142,4,3,4,4,4,3,2,5,5,4,3,4
143,5,4,5,5,4,3,3,5,5,5,5,5
144,3,3,4,3,4,1,2,5,5,4,4,4
145,3,3,5,4,5,1,5,5,5,3,2,5
146,3,2,3,4,4,2,3,3,3,3,3,3
147,3,1,3,3,5,3,2,3,5,4,4,4
148,3,2,4,3,4,1,2,4,4,3,3,3
149,4,2,4,4,4,2,3,5,5,4,4,5
15,2,3,4,3,4,4,2,5,5,3,3,3
150,3,3,3,4,4,3,3,3,3,4,3,3
151,3,2,3,4,4,2,3,5,5,5,5,4
152,4,3,5,5,5,3,5,5,5,4,5,4
153,4,2,4,4,5,3,6,4,4,4,5,4
154,4,2,4,3,5,1,2,5,5,4,4,5
155,2,3,2,2,5,2,2,4,4,4,5,2
156,3,4,4,4,5,2,4,4,3,4,4,4
157,2,3,3,4,4,1,3,4,4,3,4,5
158,3,4,3,4,5,2,3,5,4,5,4,3
159,2,3,4,4,4,1,1,3,4,3,4,5
16,3,1,3,4,3,1,2,4,4,3,3,4
160,3,3,5,4,5,3,2,5,5,5,2,5
161,5,3,5,4,5,2,3,5,5,5,5,3
162,5,4,3,5,4,2,4,5,5,4,4,5
163,5,4,4,4,4,3,4,5,5,4,5,3
164,5,3,4,5,5,2,5,5,5,3,1,1
165,4,3,5,3,5,4,2,5,5,4,3,4
166,3,5,4,4,5,3,1,5,5,3,4,3
167,4,2,3,3,5,2,4,5,5,4,5,4
168,4,4,5,4,4,4,4,4,4,4,4,3
169,3,3,4,4,5,2,2,4,4,5,3,4
17,4,3,4,3,5,1,2,5,5,4,2,5
170,4,4,4,2,3,5,4,4,4,4,5,3
171,3,6,4,4,4,3,3,5,5,5,5,3
172,3,2,4,3,5,3,3,4,2,5,4,3
173,3,3,5,4,5,4,1,5,5,3,4,5
174,3,3,4,4,4,2,4,4,4,3,4,4
175,4,3,4,3,4,2,3,5,4,4,3,4
176,1,1,3,4,4,1,3,5,4,4,4,3
177,5,4,5,4,5,5,2,5,5,5,2,5
178,3,2,3,3,5,2,3,5,5,4,4,5
179,3,1,5,4,5,1,2,5,5,4,2,3
18,2,3,3,3,5,1,1,5,4,5,4,4
180,4,3,3,3,5,1,2,5,4,4,4,4
181,4,2,4,3,4,3,3,5,5,4,2,3
182,3,6,4,5,4,3,6,4,4,3,5,3
