Question No.,Question Code,Question Text
"Q1","Interesting","Results in interesting work/tasks"
"Q2","Work situation","Relevant to work situation"
"Q3","Personal DV","Opportunity for personal development"
"Q4","Professional DV","Opportunity for professional development"
"Q5","Independence","Independence in work situation"
"Q6","Industry salary","Increased salary level"
"Q7","Promotion","Attaining a management position"
"Q8","Performance salary","Increase in salary based on individual performance"
"Q9","Security","High level of job security"
"Q10","Fast career DV","Opportunity for fast career development"
"Q11","International work","Possibility for international work experience"
"Q12","High status","Position with high status"
