responseID,responseID_primary key_cleaned,gender,age,age range,Study,campusdesc,Origin Area,Origin Flyke,Origin City,Place,citizendesc,Salary
3,3,"F",28,"26-30","Architecture","Oslo","Southen area","Rogaland","Bryne","Bryne, Norway","Norway",525876
12,10,"F",25,"18-25","Architecture","Oslo","Eastern area","Viken","Nittedal","Nittedal, Norway","Norway",385748
26,21,"F",30,"26-30","Architecture","Oslo","Eastern area","Viken","Skedsmokorset","Skedsmokorset, Norway","Norway",454721
63,53,"F",47,"46-50","Architecture","Oslo","Eastern area","Viken","Sarpsborg","Sarpsborg, Norway","Norway",544387
69,58,"F",26,"26-30","Architecture","Oslo","Inland area","Innlandet","Lillehammer","Lillehammer, Norway","Norway",494102
71,59,"F",29,"26-30","Architecture","Oslo","Eastern area","Viken","Honefoss","Honefoss, Norway","Norway",187073
104,85,"F",26,"26-30","Architecture","Oslo","Northen area","Trøndelag","Stjordal","Stjordal, Norway","Norway",528794
109,88,"F",36,"36-40","Architecture","Oslo","Northen area","Trøndelag","Stjordal","Stjordal, Norway","Norway",219965
111,90,"F",18,"18-25","Architecture","Oslo","Western area","Vestland","Stord","Stord, Norway","Norway",351326
128,105,"F",44,"41-45","Architecture","Oslo","Southen area","Rogaland","Nedre Vats","Nedre Vats, Norway","Norway",588697
147,119,"F",27,"26-30","Architecture","Oslo","Eastern area","Viken","Raholt","Raholt, Norway","Norway",360409
177,140,"F",47,"46-50","Architecture","Oslo","Eastern area","Viken","Kongsberg","Kongsberg, Norway","Norway",789439
185,144,"F",45,"41-45","Architecture","Oslo","Southen area","Vestfold og Telemark","Ramnes","Ramnes, Norway","Norway",525336
200,151,"F",51,"50+","Architecture","Oslo","Northen area","Troms og Finnmark","Tromso","Tromso, Norway","Norway",685028
216,161,"F",35,"31-35","Architecture","Oslo","Eastern area","Viken","Honefoss","Honefoss, Norway","Norway",488840
237,173,"F",51,"50+","Architecture","Oslo","Eastern area","Viken","Kongsberg","Kongsberg, Norway","Norway",695221
249,181,"F",30,"26-30","Architecture","Oslo","Eastern area","Viken","Asker","Asker, Norway","Norway",515401
281,207,"F",30,"26-30","Architecture","Oslo","Northen area","Møre og Romsdal","Kristiansund","Kristiansund, Norway","Norway",497306
300,220,"F",26,"26-30","Architecture","Oslo","Southen area","Agder","Kristiansand","Kristiansand, Norway","Norway",221157
344,249,"F",19,"18-25","Architecture","Oslo","Southen area","Agder","Grimstad","Grimstad, Norway","Norway",519172
365,265,"F",51,"50+","Architecture","Oslo","Southen area","Rogaland","Haugesund","Haugesund, Norway","Norway",564104
397,290,"F",22,"18-25","Architecture","Oslo","Southen area","Vestfold og Telemark","Skien","Skien, Norway","Norway",332212
420,307,"F",32,"31-35","Architecture","Oslo","Eastern area","Viken","Vikersund","Vikersund, Norway","Norway",423746
430,315,"F",25,"18-25","Architecture","Oslo","Southen area","Rogaland","Nedre Vats","Nedre Vats, Norway","Norway",430659
465,341,"F",25,"18-25","Architecture","Oslo","Southen area","Rogaland","Vigrestad","Vigrestad, Norway","Norway",490209
514,376,"F",37,"36-40","Architecture","Oslo","Inland area","Innlandet","Raufoss","Raufoss, Norway","Norway",256092
530,388,"F",40,"36-40","Architecture","Oslo","Northen area","Nordland","Kabelvag","Kabelvag, Norway","Norway",629733
547,401,"F",43,"41-45","Architecture","Oslo","Western area","Vestland","Hagavik","Hagavik, Norway","Norway",402767
549,403,"F",46,"46-50","Architecture","Oslo","Northen area","Troms og Finnmark","Tromso","Tromso, Norway","Norway",663609
584,426,"F",26,"26-30","Architecture","Oslo","Northen area","Troms og Finnmark","Tromso","Tromso, Norway","Norway",481441
630,457,"F",48,"46-50","Architecture","Oslo","Southen area","Vestfold og Telemark","Porsgrunn","Porsgrunn, Norway","Norway",728931
680,493,"F",20,"18-25","Architecture","Oslo","Inland area","Innlandet","Raufoss","Raufoss, Norway","Norway",290288
694,499,"F",49,"46-50","Architecture","Oslo","Southen area","Agder","Kristiansand","Kristiansand, Norway","Norway",895358
724,521,"F",48,"46-50","Architecture","Oslo","Northen area","Trøndelag","Straumen","Straumen, Norway","Norway",576334
727,523,"F",40,"36-40","Architecture","Oslo","Western area","Vestland","Hagavik","Hagavik, Norway","Norway",308232
731,527,"F",29,"26-30","Architecture","Oslo","Eastern area","Viken","Sarpsborg","Sarpsborg, Norway","Norway",495721
734,529,"F",36,"36-40","Architecture","Oslo","Inland area","Innlandet","Raufoss","Raufoss, Norway","Norway",412318
796,565,"F",23,"18-25","Architecture","Oslo","Western area","Vestland","Voss","Voss, Norway","Norway",300728
812,574,"F",54,"50+","Architecture","Oslo","Southen area","Rogaland","Sandnes","Sandnes, Norway","Norway",586854
832,587,"F",41,"41-45","Architecture","Oslo","Eastern area","Viken","Drammen","Drammen, Norway","Norway",587034
846,597,"F",53,"50+","Architecture","Oslo","Northen area","Nordland","Fauske","Fauske, Norway","Norway",550299
854,600,"F",19,"18-25","Architecture","Oslo","Northen area","Trøndelag","Trondheim","Trondheim, Norway","Norway",417667
916,639,"F",49,"46-50","Architecture","Oslo","Inland area","Innlandet","Gjovik","Gjovik, Norway","Norway",237573
954,663,"F",18,"18-25","Architecture","Oslo","Unknown","Unknown","Unknown","Unknown, Norway","Norway",498057
1075,733,"F",30,"26-30","Architecture","Oslo","Eastern area","Viken","Sarpsborg","Sarpsborg, Norway","Norway",563000
1119,760,"F",29,"26-30","Architecture","Oslo","Inland area","Innlandet","Skarnes","Skarnes, Norway","Norway",409203
1126,765,"F",48,"46-50","Architecture","Oslo","Southen area","Rogaland","Nedre Vats","Nedre Vats, Norway","Norway",639142
1206,814,"F",53,"50+","Architecture","Oslo","Southen area","Rogaland","Sola","Sola, Norway","Norway",619135
1243,834,"F",24,"18-25","Architecture","Oslo","Southen area","Vestfold og Telemark","Tonsberg","Tonsberg, Norway","Norway",439303
5,5,"M",43,"41-45","Architecture","Oslo","Southen area","Rogaland","Vigrestad","Vigrestad, Norway","Norway",554275
16,14,"M",32,"31-35","Architecture","Oslo","Northen area","Møre og Romsdal","Kristiansund","Kristiansund, Norway","Norway",206458
17,15,"M",35,"31-35","Architecture","Oslo","Northen area","Troms og Finnmark","Alta","Alta, Norway","Norway",499778
27,22,"M",27,"26-30","Architecture","Oslo","Southen area","Vestfold og Telemark","Sandefjord","Sandefjord, Norway","Norway",386886
30,24,"M",30,"26-30","Architecture","Oslo","Southen area","Vestfold og Telemark","Horten","Horten, Norway","Norway",342628
32,26,"M",27,"26-30","Architecture","Oslo","Western area","Vestland","Stord","Stord, Norway","Norway",386082
36,29,"M",35,"31-35","Architecture","Oslo","Northen area","Møre og Romsdal","Kristiansund","Kristiansund, Norway","Norway",525912
49,40,"M",34,"31-35","Architecture","Oslo","Southen area","Rogaland","Stavanger","Stavanger, Norway","Norway",493413
56,47,"M",51,"50+","Architecture","Oslo","Southen area","Rogaland","Vigrestad","Vigrestad, Norway","Norway",363791
60,50,"M",36,"36-40","Architecture","Oslo","Northen area","Nordland","Bodo","Bodo, Norway","Norway",150761
62,52,"M",26,"26-30","Architecture","Oslo","Southen area","Rogaland","Haugesund","Haugesund, Norway","Norway",399502
110,89,"M",42,"41-45","Architecture","Oslo","Western area","Vestland","Godvik","Godvik, Norway","Norway",756394
118,95,"M",34,"31-35","Architecture","Oslo","Northen area","Trøndelag","Steinkjer","Steinkjer, Norway","Norway",450979
119,96,"M",41,"41-45","Architecture","Oslo","Northen area","Nordland","Kabelvag","Kabelvag, Norway","Norway",1050723
127,104,"M",30,"26-30","Architecture","Oslo","Northen area","Nordland","Bodo","Bodo, Norway","Norway",524504
135,110,"M",23,"18-25","Architecture","Oslo","Southen area","Vestfold og Telemark","Sandefjord","Sandefjord, Norway","Norway",942125
154,125,"M",35,"31-35","Architecture","Oslo","Eastern area","Viken","Eidsvoll","Eidsvoll, Norway","Norway",508073
155,126,"M",50,"46-50","Architecture","Oslo","Eastern area","Viken","Askim","Askim, Norway","Norway",613190
161,129,"M",30,"26-30","Architecture","Oslo","Southen area","Rogaland","Sola","Sola, Norway","Norway",546649
163,131,"M",42,"41-45","Architecture","Oslo","Inland area","Innlandet","Hamar","Hamar, Norway","Norway",639543
170,136,"M",46,"46-50","Architecture","Oslo","Northen area","Møre og Romsdal","Molde","Molde, Norway","Norway",747229
173,138,"M",44,"41-45","Architecture","Oslo","Southen area","Vestfold og Telemark","Notodden","Notodden, Norway","Norway",765365
182,142,"M",39,"36-40","Architecture","Oslo","Southen area","Vestfold og Telemark","Horten","Horten, Norway","Norway",467566
221,165,"M",27,"26-30","Architecture","Oslo","Northen area","Trøndelag","Namsos","Namsos, Norway","Norway",528989
247,179,"M",41,"41-45","Architecture","Oslo","Southen area","Rogaland","Suldalsosen","Suldalsosen, Norway","Norway",753143
251,183,"M",32,"31-35","Architecture","Oslo","Southen area","Vestfold og Telemark","Sandefjord","Sandefjord, Norway","Norway",148212
262,192,"M",42,"41-45","Architecture","Oslo","Northen area","Møre og Romsdal","Molde","Molde, Norway","Norway",668123
263,193,"M",25,"18-25","Architecture","Oslo","Southen area","Vestfold og Telemark","Tonsberg","Tonsberg, Norway","Norway",534340
264,194,"M",24,"18-25","Architecture","Oslo","Eastern area","Viken","Kongsberg","Kongsberg, Norway","Norway",353147
275,201,"M",52,"50+","Architecture","Oslo","Northen area","Møre og Romsdal","Molde","Molde, Norway","Norway",446911
278,204,"M",52,"50+","Architecture","Oslo","Southen area","Rogaland","Nedre Vats","Nedre Vats, Norway","Norway",723513
286,211,"M",41,"41-45","Architecture","Oslo","Eastern area","Viken","Kongsberg","Kongsberg, Norway","Norway",700073
315,228,"M",43,"41-45","Architecture","Oslo","Inland area","Innlandet","Hamar","Hamar, Norway","Norway",589762
323,232,"M",48,"46-50","Architecture","Oslo","Southen area","Rogaland","Egersund","Egersund, Norway","Norway",417477
336,242,"M",26,"26-30","Architecture","Oslo","Eastern area","Viken","Fredrikstad","Fredrikstad, Norway","Norway",514105
352,254,"M",54,"50+","Architecture","Oslo","Eastern area","Viken","Fredrikstad","Fredrikstad, Norway","Norway",750616
359,260,"M",52,"50+","Architecture","Oslo","Northen area","Møre og Romsdal","Kristiansund","Kristiansund, Norway","Norway",715095
366,266,"M",44,"41-45","Architecture","Oslo","Southen area","Vestfold og Telemark","Porsgrunn","Porsgrunn, Norway","Norway",316968
387,281,"M",24,"18-25","Architecture","Oslo","Eastern area","Viken","Sarpsborg","Sarpsborg, Norway","Norway",645042
491,360,"M",20,"18-25","Architecture","Oslo","Western area","Vestland","Stord","Stord, Norway","Norway",609280
513,375,"M",47,"46-50","Architecture","Oslo","Northen area","Møre og Romsdal","Kristiansund","Kristiansund, Norway","Norway",737055
515,377,"M",50,"46-50","Architecture","Oslo","Southen area","Rogaland","Vigrestad","Vigrestad, Norway","Norway",970531
535,393,"M",35,"31-35","Architecture","Oslo","Southen area","Rogaland","Suldalsosen","Suldalsosen, Norway","Norway",407027
552,406,"M",39,"36-40","Architecture","Oslo","Eastern area","Viken","Skedsmokorset","Skedsmokorset, Norway","Norway",277878
553,407,"M",45,"41-45","Architecture","Oslo","Northen area","Møre og Romsdal","Kristiansund","Kristiansund, Norway","Norway",434131
565,415,"M",41,"41-45","Architecture","Oslo","Inland area","Innlandet","Elverum","Elverum, Norway","Norway",583266
590,431,"M",29,"26-30","Architecture","Oslo","Eastern area","Viken","Fredrikstad","Fredrikstad, Norway","Norway",383390
598,436,"M",50,"46-50","Architecture","Oslo","Southen area","Vestfold og Telemark","Skien","Skien, Norway","Norway",849879
602,438,"M",54,"50+","Architecture","Oslo","Northen area","Nordland","Bodo","Bodo, Norway","Norway",695841
626,454,"M",26,"26-30","Architecture","Oslo","Southen area","Vestfold og Telemark","Porsgrunn","Porsgrunn, Norway","Norway",420713
643,468,"M",40,"36-40","Architecture","Oslo","Northen area","Møre og Romsdal","Sunndalsora","Sunndalsora, Norway","Norway",415183
676,489,"M",19,"18-25","Architecture","Oslo","Northen area","Troms og Finnmark","Alta","Alta, Norway","Norway",512502
719,517,"M",35,"31-35","Architecture","Oslo","Eastern area","Oslo","Oslo","Oslo, Norway","Norway",402717
723,520,"M",33,"31-35","Architecture","Oslo","Northen area","Trøndelag","Roros","Roros, Norway","Norway",226495
729,525,"M",22,"18-25","Architecture","Oslo","Eastern area","Viken","Raholt","Raholt, Norway","Norway",515183
742,534,"M",33,"31-35","Architecture","Oslo","Eastern area","Oslo","Oslo","Oslo, Norway","Norway",493616
747,539,"M",34,"31-35","Architecture","Oslo","Inland area","Innlandet","Elverum","Elverum, Norway","Norway",497994
750,542,"M",25,"18-25","Architecture","Oslo","Western area","Vestland","Bergen","Bergen, Norway","Norway",332791
781,558,"M",27,"26-30","Architecture","Oslo","Southen area","Vestfold og Telemark","Sandefjord","Sandefjord, Norway","Norway",489700
868,608,"M",43,"41-45","Architecture","Oslo","Western area","Vestland","Godvik","Godvik, Norway","Norway",645247
907,634,"M",26,"26-30","Architecture","Oslo","Eastern area","Viken","Moss","Moss, Norway","Norway",597214
915,638,"M",34,"31-35","Architecture","Oslo","Northen area","Møre og Romsdal","Alesund","Alesund, Norway","Norway",487076
921,643,"M",47,"46-50","Architecture","Oslo","Eastern area","Viken","Fredrikstad","Fredrikstad, Norway","Norway",694083
942,653,"M",46,"46-50","Architecture","Oslo","Northen area","Troms og Finnmark","Vadso","Vadso, Norway","Norway",679585
963,667,"M",43,"41-45","Architecture","Oslo","Eastern area","Viken","Kongsberg","Kongsberg, Norway","Norway",654897
965,669,"M",26,"26-30","Architecture","Oslo","Northen area","Møre og Romsdal","Kristiansund","Kristiansund, Norway","Norway",517781
971,673,"M",22,"18-25","Architecture","Oslo","Eastern area","Viken","Asker","Asker, Norway","Norway",710045
1003,692,"M",31,"31-35","Architecture","Oslo","Northen area","Trøndelag","Trondheim","Trondheim, Norway","Norway",346035
1007,694,"M",51,"50+","Architecture","Oslo","Southen area","Rogaland","Sola","Sola, Norway","Norway",609184
1013,698,"M",44,"41-45","Architecture","Oslo","Eastern area","Viken","Vikersund","Vikersund, Norway","Norway",775530
1039,715,"M",40,"36-40","Architecture","Oslo","Northen area","Trøndelag","Melhus","Melhus, Norway","Norway",666434
1101,748,"M",20,"18-25","Architecture","Oslo","Inland area","Innlandet","Kirkenaer","Kirkenaer, Norway","Norway",156155
1115,757,"M",22,"18-25","Architecture","Oslo","Eastern area","Viken","Nittedal","Nittedal, Norway","Norway",192703
1172,795,"M",30,"26-30","Architecture","Oslo","Northen area","Nordland","Kabelvag","Kabelvag, Norway","Norway",241561
1260,845,"M",30,"26-30","Architecture","Oslo","Western area","Vestland","Nordfjordeid","Nordfjordeid, Norway","Norway",146417
25,20,"M",27,"26-30","Medicine","Oslo","Western area","Vestland","Hagavik","Hagavik, Norway","Norway",474497
31,25,"M",18,"18-25","Law","Oslo","Eastern area","Viken","Halden","Halden, Norway","Norway",467820
34,27,"M",38,"36-40","IT-Management","Oslo","Southen area","Vestfold og Telemark","Porsgrunn","Porsgrunn, Norway","Norway",428080
44,37,"M",55,"50+","Medicine","Oslo","Northen area","Møre og Romsdal","Kristiansund","Kristiansund, Norway","Norway",496231
51,42,"M",22,"18-25","IT-Management","Oslo","Southen area","Agder","Aurskog","Aurskog, Norway","Norway",144871
54,45,"M",53,"50+","Teaching","Oslo","Northen area","Nordland","Bodo","Bodo, Norway","Norway",351684
73,61,"M",50,"46-50","Marine Biology","Oslo","Northen area","Trøndelag","Levanger","Levanger, Norway","Norway",187722
75,63,"M",30,"26-30","Finans","Oslo","Southen area","Rogaland","Vigrestad","Vigrestad, Norway","Norway",494887
76,64,"M",32,"31-35","IT-Management","Oslo","Western area","Vestland","Husnes","Husnes, Norway","Norway",523364
80,67,"M",50,"46-50","Journalism","Oslo","Eastern area","Viken","Kongsberg","Kongsberg, Norway","Norway",372639
84,70,"M",37,"36-40","Finans","Oslo","Eastern area","Viken","Moss","Moss, Norway","Norway",395616
85,71,"M",28,"26-30","IT-Management","Oslo","Southen area","Rogaland","Sola","Sola, Norway","Norway",457442
87,72,"M",26,"26-30","Geology","Oslo","Inland area","Innlandet","Elverum","Elverum, Norway","Norway",471528
96,80,"M",18,"18-25","Geology","Oslo","Northen area","Trøndelag","Levanger","Levanger, Norway","Norway",575263
106,87,"M",31,"31-35","Farming","Oslo","Southen area","Rogaland","Haugesund","Haugesund, Norway","Norway",310015
125,102,"M",50,"46-50","Neural Science","Oslo","Northen area","Troms og Finnmark","Harstad","Harstad, Norway","Norway",233496
137,112,"M",39,"36-40","IT-Management","Oslo","Eastern area","Viken","Honefoss","Honefoss, Norway","Norway",795526
139,113,"M",25,"18-25","Teaching","Oslo","Eastern area","Viken","Eidsvoll","Eidsvoll, Norway","Norway",244103
140,114,"M",30,"26-30","Geology","Oslo","Western area","Vestland","Voss","Voss, Norway","Norway",411054
143,115,"M",33,"31-35","Rocket Science","Oslo","Southen area","Vestfold og Telemark","Porsgrunn","Porsgrunn, Norway","Norway",440667
146,118,"M",32,"31-35","Rocket Science","Oslo","Southen area","Agder","Aurskog","Aurskog, Norway","Norway",449994
148,120,"M",24,"18-25","Law","Oslo","Northen area","Nordland","Kabelvag","Kabelvag, Norway","Norway",336941
149,121,"M",27,"26-30","Teaching","Oslo","Southen area","Agder","Vennesla","Vennesla, Norway","Norway",368527
157,127,"M",40,"36-40","IT-Management","Oslo","Eastern area","Oslo","Oslo","Oslo, Norway","Norway",635113
162,130,"M",50,"46-50","Mathematics","Oslo","Southen area","Rogaland","Egersund","Egersund, Norway","Norway",454615
166,132,"M",23,"18-25","Art","Oslo","Western area","Vestland","Bomlo","Bomlo, Norway","Norway",180087
167,133,"M",28,"26-30","Geology","Oslo","Eastern area","Viken","Fredrikstad","Fredrikstad, Norway","Norway",541165
168,134,"M",42,"41-45","Rocket Science","Oslo","Inland area","Innlandet","Gjovik","Gjovik, Norway","Norway",289128
184,143,"M",48,"46-50","Mathematics","Oslo","Southen area","Agder","Arendal","Arendal, Norway","Norway",198962
188,145,"M",39,"36-40","Rocket Science","Oslo","Southen area","Vestfold og Telemark","Skien","Skien, Norway","Norway",154141
207,155,"M",42,"41-45","Art","Oslo","Southen area","Vestfold og Telemark","Sandefjord","Sandefjord, Norway","Norway",566524
210,157,"M",32,"31-35","Art","Oslo","Northen area","Trøndelag","Namsos","Namsos, Norway","Norway",505637
212,158,"M",19,"18-25","Journalism","Oslo","Southen area","Rogaland","Bryne","Bryne, Norway","Norway",365584
220,164,"M",31,"31-35","IT-Management","Oslo","Northen area","Trøndelag","Trondheim","Trondheim, Norway","Norway",170792
234,172,"M",54,"50+","Mathematics","Oslo","Southen area","Rogaland","Haugesund","Haugesund, Norway","Norway",530439
238,174,"M",22,"18-25","Rocket Science","Oslo","Southen area","Rogaland","Sola","Sola, Norway","Norway",488439
248,180,"M",37,"36-40","Carpenter","Oslo","Northen area","Trøndelag","Levanger","Levanger, Norway","Norway",327899
254,185,"M",39,"36-40","IT-Management","Oslo","Southen area","Vestfold og Telemark","Horten","Horten, Norway","Norway",456282
270,197,"M",26,"26-30","Mathematics","Oslo","Southen area","Agder","Mandal","Mandal, Norway","Norway",328439
272,198,"M",25,"18-25","Law","Oslo","Northen area","Møre og Romsdal","Sunndalsora","Sunndalsora, Norway","Norway",142327
285,210,"M",25,"18-25","IT-Management","Oslo","Eastern area","Viken","Oppegard","Oppegard, Norway","Norway",427197
306,223,"M",26,"26-30","Mathematics","Oslo","Southen area","Rogaland","Nedre Vats","Nedre Vats, Norway","Norway",319406
330,236,"M",25,"18-25","Rocket Science","Oslo","Northen area","Møre og Romsdal","Molde","Molde, Norway","Norway",269283
343,248,"M",39,"36-40","IT-Management","Oslo","Southen area","Rogaland","Haugesund","Haugesund, Norway","Norway",139029
349,252,"M",31,"31-35","IT-Management","Oslo","Southen area","Agder","Kristiansand","Kristiansand, Norway","Norway",358756
360,261,"M",50,"46-50","IT-Management","Oslo","Northen area","Nordland","Bodo","Bodo, Norway","Norway",351035
362,262,"M",22,"18-25","IT-Management","Oslo","Southen area","Agder","Grimstad","Grimstad, Norway","Norway",329082
367,267,"M",51,"50+","Geology","Oslo","Southen area","Rogaland","Sandnes","Sandnes, Norway","Norway",209893
368,268,"M",25,"18-25","Supply Chain Management","Oslo","Southen area","Rogaland","Sola","Sola, Norway","Norway",421072
372,272,"M",46,"46-50","Defence","Oslo","Southen area","Agder","Kristiansand","Kristiansand, Norway","Norway",590492
386,280,"M",41,"41-45","Mathematics","Oslo","Southen area","Vestfold og Telemark","Porsgrunn","Porsgrunn, Norway","Norway",610994
