Date,Market,Price (ZAR)
2008-01-01 00:00:00.000,"Export",602.11
2008-01-01 00:00:00.000,"South Africa",604.24
2009-01-01 00:00:00.000,"Export",889.64
2009-01-01 00:00:00.000,"South Africa",690.36
2010-01-01 00:00:00.000,"Export",776.83
2010-01-01 00:00:00.000,"South Africa",781.75
2011-01-01 00:00:00.000,"Export",864.65
2011-01-01 00:00:00.000,"South Africa",898.9
2012-01-01 00:00:00.000,"Export",961
2012-01-01 00:00:00.000,"South Africa",957
2013-01-01 00:00:00.000,"Export",889
2013-01-01 00:00:00.000,"South Africa",922
2014-01-01 00:00:00.000,"Export",738.17
2014-01-01 00:00:00.000,"South Africa",983.92
2015-01-01 00:00:00.000,"Export",777.25
2015-01-01 00:00:00.000,"South Africa",1028
2016-01-01 00:00:00.000,"Export",702.17
2016-01-01 00:00:00.000,"South Africa",1021.83
2017-01-01 00:00:00.000,"Export",825.83
2017-01-01 00:00:00.000,"South Africa",1086.33
