Year,Employee metric,Value,Total Employee Cost to Company
2003-01-01 00:00:00.000,"Number of employees",31972,
2003-01-01 00:00:00.000,"Average cost per employee",348333,11136902676
2004-01-01 00:00:00.000,"Number of employees",31520,
2004-01-01 00:00:00.000,"Average cost per employee",366946,11566137920
2005-01-01 00:00:00.000,"Number of employees",31475,
2005-01-01 00:00:00.000,"Average cost per employee",447562,14087013950
2006-01-01 00:00:00.000,"Number of employees",31485,
2006-01-01 00:00:00.000,"Average cost per employee",241156,7592796660
2007-01-01 00:00:00.000,"Number of employees",32674,
2007-01-01 00:00:00.000,"Average cost per employee",289251,9450987174
2008-01-01 00:00:00.000,"Number of employees",35404,
2008-01-01 00:00:00.000,"Average cost per employee",320670,11353000680
2009-01-01 00:00:00.000,"Number of employees",37857,
2009-01-01 00:00:00.000,"Average cost per employee",400613,15166006341
2010-01-01 00:00:00.000,"Number of employees",39222,
2010-01-01 00:00:00.000,"Average cost per employee",455561,17868013542
2011-01-01 00:00:00.000,"Number of employees",41778,
2011-01-01 00:00:00.000,"Average cost per employee",487817,20380018626
2012-01-01 00:00:00.000,"Number of employees",43473,
2012-01-01 00:00:00.000,"Average cost per employee",463943,20168994039
2013-01-01 00:00:00.000,"Number of employees",46624,
2013-01-01 00:00:00.000,"Average cost per employee",510072,23781596928
2014-01-01 00:00:00.000,"Number of employees",46919,
2014-01-01 00:00:00.000,"Average cost per employee",520791,24434992929
2015-01-01 00:00:00.000,"Number of employees",46490,
2015-01-01 00:00:00.000,"Average cost per employee",596501,27731331490
2016-01-01 00:00:00.000,"Number of employees",47978,
2016-01-01 00:00:00.000,"Average cost per employee",574201,27549015578
2017-01-01 00:00:00.000,"Number of employees",47600,
2017-01-01 00:00:00.000,"Average cost per employee",684145,32565302000
2018-01-01 00:00:00.000,"Number of employees",48628,
2018-01-01 00:00:00.000,"Average cost per employee",592786,28825997608
2019-01-01 00:00:00.000,"Number of employees",46665,
2019-01-01 00:00:00.000,"Average cost per employee",693325,32354011125
