Index,Product Name,Product Sales,Client Groups
1,"Product 1",25489299.09999999,"Good Clients"
2,"Product 2",22846497.500000004,"Good Clients"
3,"Product 3",3066281.8000000003,"Ok Clients"
4,"Product 4",2857288.7,"Ok Clients"
5,"Product 5",17021155.700000003,"Good Clients"
6,"Product 6",3341216.2999999993,"Ok Clients"
7,"Product 7",25710124.399999987,"Good Clients"
8,"Product 8",3215604.7000000016,"Ok Clients"
9,"Product 9",9261644.4999999925,"Ok Clients"
10,"Product 10",3114005.8999999994,"Ok Clients"
11,"Product 11",20621809.399999995,"Good Clients"
12,"Product 12",3109289.1,"Ok Clients"
13,"Product 13",11774660.400000008,"Good Clients"
14,"Product 14",3144263.1,"Ok Clients"
