Order Number,Date,Ship Date,Customer Name Index,Channel,Warehouse Code,Warehouse,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Total Unit Cost,Total Revenue,Channel Code 
SO - 000336,2017-03-08 00:00:00.000,2017-03-19 00:00:00.000,7,Distributor,AXW291,AXW,96,7,8,6378.4000000000015,2806.496,51027.2,DIST
SO - 0002631,2018-10-08 00:00:00.000,2018-10-13 00:00:00.000,4,Distributor,GUT930,GUT,70,7,12,1018.4,417.544,12220.8,DIST
SO - 0005402,2018-02-09 00:00:00.000,2018-02-27 00:00:00.000,8,Distributor,AXW291,AXW,57,7,6,2592.9,1685.3850000000002,15557.4,DIST
SO - 0005673,2018-12-30 00:00:00.000,2019-01-08 00:00:00.000,8,Export,GUT930,GUT,54,1,5,3001.6,2251.2,15008.0,EXPO
SO - 0004059,2018-11-05 00:00:00.000,2018-11-15 00:00:00.000,10,Wholesale,GUT930,GUT,26,2,8,1118.9,593.017,8951.2,WHOL
SO - 0007645,2019-02-12 00:00:00.000,2019-02-18 00:00:00.000,49,Distributor,NXH382,NXH,24,7,7,1252.9,764.269,8770.300000000001,DIST
SO - 0006570,2017-07-06 00:00:00.000,2017-07-21 00:00:00.000,26,Wholesale,AXW291,AXW,95,11,11,1132.3,713.3489999999999,12455.3,WHOL
SO - 0004056,2019-08-23 00:00:00.000,2019-08-26 00:00:00.000,5,Wholesale,NXH382,NXH,64,12,10,5835.7,3267.992,58357.0,WHOL
SO - 0005904,2019-12-03 00:00:00.000,2019-12-14 00:00:00.000,20,Wholesale,FLR025,FLR,45,5,12,1031.8,495.264,12381.6,WHOL
SO - 0004266,2017-04-08 00:00:00.000,2017-04-17 00:00:00.000,8,Wholesale,AXW291,AXW,22,4,11,3852.5,2927.9,42377.5,WHOL
SO - 0006338,2019-05-24 00:00:00.000,2019-06-07 00:00:00.000,49,Wholesale,NXH382,NXH,80,7,7,3979.8,3144.0420000000004,27858.6,WHOL
SO - 0005476,2019-12-01 00:00:00.000,2019-12-04 00:00:00.000,29,Wholesale,FLR025,FLR,83,11,11,1072.0,493.12,11792.0,WHOL
SO - 0004404,2017-01-30 00:00:00.000,2017-02-08 00:00:00.000,21,Wholesale,AXW291,AXW,100,2,6,3906.1,2031.172,23436.6,WHOL
SO - 0001737,2018-01-23 00:00:00.000,2018-02-06 00:00:00.000,32,Export,AXW291,AXW,71,8,8,5768.7,3922.716,46149.6,EXPO
SO - 0004079,2019-10-23 00:00:00.000,2019-11-02 00:00:00.000,8,Wholesale,FLR025,FLR,43,7,8,703.5,302.505,5628.0,WHOL
SO - 0004313,2018-07-09 00:00:00.000,2018-07-16 00:00:00.000,12,Wholesale,GUT930,GUT,54,14,11,2599.6,1871.712,28595.6,WHOL
SO - 0003792,2017-01-12 00:00:00.000,2017-01-20 00:00:00.000,27,Wholesale,AXW291,AXW,92,11,7,187.6,146.328,1313.2,WHOL
SO - 0004965,2017-01-22 00:00:00.000,2017-02-07 00:00:00.000,48,Distributor,AXW291,AXW,45,14,7,3825.7,1874.593,26779.9,DIST
SO - 0003255,2018-03-12 00:00:00.000,2018-03-22 00:00:00.000,40,Wholesale,AXW291,AXW,1,10,5,911.2,756.296,4556.0,WHOL
SO - 0004504,2017-07-19 00:00:00.000,2017-07-24 00:00:00.000,12,Wholesale,AXW291,AXW,94,2,11,5768.7,4095.777,63455.7,WHOL
SO - 0003280,2018-07-16 00:00:00.000,2018-07-26 00:00:00.000,2,Wholesale,GUT930,GUT,41,6,9,6009.9000000000015,4026.6330000000007,54089.100000000006,WHOL
SO - 0004768,2019-03-12 00:00:00.000,2019-03-23 00:00:00.000,19,Wholesale,NXH382,NXH,87,8,12,783.9,501.696,9406.8,WHOL
