PKProductID,ProductName,Product Type,Serving Amount,ABV,IBU,Unit Cost,Unit Price,Beer Advocate Score,Cost Rank,Sales Rank,Gross Profit Per Serving
"SSBC0001","Bamboo Grove Maibock","Tasting Room Pour",1,0.065,32,1.05,5,92,21,19,3.95
"SSBC1001","Bamboo Grove Maibock","Six-Pack",6,0.065,32,8.3,9.99,92,14,14,1.69
"SSBC2001","Bamboo Grove Maibock","half keg",124,0.065,32,150.2,180,92,8,8,29.8
"SSBC3001","Bamboo Grove Maibock","Keg",248,0.065,32,285.4,300,92,3,2,14.6
"SSBC0002","Han Dynasty Spiced Lager","Tasting Room Pour",1,0.048,18,0.8,5,86,23,19,4.2
"SSBC1002","Han Dynasty Spiced Lager","Six-Pack",6,0.048,18,6.8,9.99,86,17,14,3.19
"SSBC2002","Han Dynasty Spiced Lager","half keg",124,0.048,18,119.2,180,86,11,8,60.8
"SSBC3002","Han Dynasty Spiced Lager","Keg",248,0.048,18,223.4,300,86,6,2,76.6
"SSBC0003","Imperial Poet Porter","Tasting Room Pour",1,0.095,25,1.5,5,85,20,19,3.5
"SSBC0005","Henan Hops Wheat Beer","Tasting Room Pour",1,0.07,68,0.65,5,91,24,19,4.35
"SSBC1003","Imperial Poet Porter","Six-Pack",6,0.095,25,8,9.99,85,15,14,1.99
"SSBC2005","Henan Hops Wheat Beer","half keg",124,0.07,68,100.6,180,91,12,8,79.4
"SSBC2003","Imperial Poet Porter","half keg",124,0.095,25,145,180,85,9,8,35
"SSBC1005","Henan Hops Wheat Beer","Six-Pack",6,0.07,68,5.9,9.99,91,18,14,4.09
"SSBC3003","Imperial Poet Porter","Keg",248,0.095,25,290,300,85,2,2,10
"SSBC3005","Henan Hops Wheat Beer","Keg",248,0.07,68,186.2,300,91,7,2,113.8
"SSBC0004","Scholar's Saison","Tasting Room Pour",1,0.06,28,1.69,5,90,19,19,3.31
"SSBC1004","Scholar's Saison","Six-Pack",6,0.06,28,12.14,12,90,13,13,-0.14
"SSBC2004","Scholar's Saison","half keg",124,0.06,28,229.56,230,90,5,7,0.44
"SSBC3004","Scholar's Saison","Keg",248,0.06,28,444.12,450,90,1,1,5.88
"SSBC0006","Liu Ling's IPA","Tasting Room Pour",1,0.051,20,0.92,5,89,22,19,4.08
"SSBC2006","Liu Ling's IPA","half keg",124,0.051,20,134.08,180,89,10,8,45.92
"SSBC1006","Liu Ling's IPA","Six-Pack",6,0.051,20,7.52,9.99,89,16,14,2.47
"SSBC3006","Liu Ling's IPA","Keg",248,0.051,20,253.16,300,89,4,2,46.84
