CustID,ProdID,Date,Currency,Quantity
WA012,SSBC3001,2021-03-25 00:00:00.000,USD,1
WA055,SSBC2005,2020-10-29 00:00:00.000,USD,1
BC100,SSBC2006,2020-12-22 00:00:00.000,CAD,1
BC105,SSBC3005,2021-08-20 00:00:00.000,CAD,1
WA007,SSBC3001,2020-11-25 00:00:00.000,USD,1
WA001,SSBC0005,2021-02-28 00:00:00.000,USD,1
WA001,SSBC0006,2021-08-10 00:00:00.000,USD,1
BC102,SSBC2004,2021-07-01 00:00:00.000,CAD,1
WA012,SSBC2001,2021-09-18 00:00:00.000,USD,1
WA001,SSBC0006,2020-10-31 00:00:00.000,USD,1
WA005,SSBC1005,2021-02-20 00:00:00.000,USD,12
WA001,SSBC1005,2021-02-01 00:00:00.000,USD,1
WA001,SSBC1005,2021-03-20 00:00:00.000,USD,1
WA001,SSBC0003,2021-05-20 00:00:00.000,,1
BC110,SSBC3003,2020-12-15 00:00:00.000,CAD,1
WA001,SSBC0006,2021-09-23 00:00:00.000,USD,2
BC100,SSBC2006,2021-05-02 00:00:00.000,,1
BC102,SSBC2003,2020-10-20 00:00:00.000,CAD,1
BC110,SSBC3004,2021-06-16 00:00:00.000,CAD,2
WA001,SSBC0002,2021-02-10 00:00:00.000,USD,2
BC105,SSBC3005,2021-09-01 00:00:00.000,CAD,1
BC110,SSBC1004,2020-11-12 00:00:00.000,CAD,12
WA001,SSBC0002,2020-10-10 00:00:00.000,USD,1
WA001,SSBC0003,2021-02-25 00:00:00.000,USD,1
WA007,SSBC3001,2021-03-10 00:00:00.000,USD,2
WA001,SSBC1005,2021-02-20 00:00:00.000,USD,1
WA001,SSBC0001,2021-04-25 00:00:00.000,USD,2
WA012,SSBC3001,2021-05-10 00:00:00.000,,1
WA001,SSBC0003,2021-04-20 00:00:00.000,USD,2
BC100,SSBC2006,2021-01-02 00:00:00.000,CAD,1
WA001,SSBC0006,2021-03-25 00:00:00.000,USD,1
BC105,SSBC3005,2021-01-02 00:00:00.000,CAD,1
WA055,SSBC2003,2021-09-20 00:00:00.000,USD,6
WA001,SSBC0001,2021-07-24 00:00:00.000,USD,2
WA001,SSBC0002,2020-12-21 00:00:00.000,USD,1
WA007,SSBC3001,2021-06-16 00:00:00.000,USD,1
BC102,SSBC2004,2021-08-20 00:00:00.000,CAD,1
WA001,SSBC0002,2020-12-27 00:00:00.000,USD,1
BC110,SSBC2004,2021-05-25 00:00:00.000,,3
WA001,SSBC0002,2020-11-14 00:00:00.000,USD,1
WA055,SSBC2004,2021-06-25 00:00:00.000,USD,6
BC110,SSBC2004,2021-06-16 00:00:00.000,CAD,3
WA001,SSBC0002,2021-06-15 00:00:00.000,USD,1
WA055,SSBC2004,2021-07-01 00:00:00.000,USD,12
WA001,SSBC0002,2021-04-26 00:00:00.000,USD,1
WA001,SSBC0002,2021-06-15 00:00:00.000,USD,1
WA001,SSBC0002,2021-04-11 00:00:00.000,USD,1
WA001,SSBC0002,2020-11-23 00:00:00.000,USD,1
WA001,SSBC0006,2021-07-19 00:00:00.000,USD,2
WA012,SSBC3001,2021-06-10 00:00:00.000,USD,1
BC105,SSBC3005,2021-05-21 00:00:00.000,,1
WA001,SSBC0001,2020-10-10 00:00:00.000,USD,2
WA012,SSBC2001,2021-06-25 00:00:00.000,USD,1
BC101,SSBC2002,2021-08-20 00:00:00.000,CAD,1
BC110,SSBC2003,2021-01-25 00:00:00.000,CAD,12
WA001,SSBC0003,2020-11-24 00:00:00.000,USD,1
WA001,SSBC0003,2021-01-20 00:00:00.000,USD,2
WA055,SSBC2003,2021-09-01 00:00:00.000,USD,12
WA012,SSBC2001,2021-02-20 00:00:00.000,USD,1
WA001,SSBC1005,2021-07-25 00:00:00.000,USD,6
