Sales Representative Code,Customer Code,Order Date,Product Code,Sales Quantity,Unity Price
24,4,2017-06-06 00:00:00.000,17,20,12.0
24,21,2017-05-20 00:00:00.000,1,98,15.26
7,7,2017-10-31 00:00:00.000,1,95,15.26
7,4,2017-04-22 00:00:00.000,14,21,16.65
23,21,2016-08-14 00:00:00.000,10,80,11.23
23,2,2016-10-24 00:00:00.000,8,66,15.0
5,16,2017-10-20 00:00:00.000,10,33,11.23
1,22,2016-07-28 00:00:00.000,16,3,9.87
21,10,2016-05-08 00:00:00.000,6,86,19.5
9,6,2017-03-22 00:00:00.000,2,75,23.21
25,5,2016-03-02 00:00:00.000,13,77,15.0
11,4,2017-01-19 00:00:00.000,12,17,5.25
16,13,2019-10-25 00:00:00.000,1,36,15.26
10,18,2016-04-17 00:00:00.000,6,75,19.5
18,13,2017-02-28 00:00:00.000,12,32,5.25
25,23,2016-05-01 00:00:00.000,11,86,9.6
16,7,2016-11-08 00:00:00.000,17,59,12.0
12,2,2017-01-16 00:00:00.000,12,14,5.25
18,13,2020-03-18 00:00:00.000,7,8,20.0
10,7,2017-07-28 00:00:00.000,18,19,11.0
9,23,2015-12-24 00:00:00.000,6,81,19.5
18,20,2017-01-03 00:00:00.000,16,26,9.87
6,8,2016-08-20 00:00:00.000,18,19,11.0
12,2,2017-10-02 00:00:00.000,15,7,2.35
24,24,2015-11-30 00:00:00.000,13,34,15.0
10,17,2015-05-08 00:00:00.000,5,42,21.21
25,3,2016-06-18 00:00:00.000,19,81,8.0
9,5,2015-03-18 00:00:00.000,16,40,9.87
3,15,2015-07-04 00:00:00.000,8,7,15.0
21,21,2020-02-01 00:00:00.000,11,97,9.6
20,6,2016-07-25 00:00:00.000,15,25,2.35
3,7,2015-03-01 00:00:00.000,20,99,9.5
16,18,2016-11-04 00:00:00.000,12,31,5.25
20,20,2016-02-10 00:00:00.000,6,8,19.5
11,5,2015-11-14 00:00:00.000,4,72,21.12
14,18,2017-12-01 00:00:00.000,9,57,10.0
24,17,2015-01-08 00:00:00.000,8,98,15.0
12,18,2019-11-13 00:00:00.000,20,24,9.5
12,6,2017-01-30 00:00:00.000,6,8,19.5
11,18,2015-07-27 00:00:00.000,14,28,16.65
6,6,2015-03-05 00:00:00.000,6,57,19.5
6,5,2019-10-16 00:00:00.000,19,71,8.0
10,20,2015-03-01 00:00:00.000,11,95,9.6
22,23,2016-05-25 00:00:00.000,10,81,11.23
22,14,2017-05-10 00:00:00.000,3,73,11.23
22,18,2016-01-10 00:00:00.000,19,78,8.0
12,9,2016-05-02 00:00:00.000,9,23,10.0
13,13,2015-09-01 00:00:00.000,9,81,10.0
5,15,2019-02-12 00:00:00.000,9,8,10.0
23,8,2017-03-15 00:00:00.000,20,92,9.5
15,21,2017-07-01 00:00:00.000,2,88,23.21
11,11,2016-05-17 00:00:00.000,4,10,21.12
15,3,2020-01-03 00:00:00.000,15,99,2.35
2,15,2020-01-15 00:00:00.000,10,65,11.23
14,3,2019-05-27 00:00:00.000,10,92,11.23
25,18,2017-10-06 00:00:00.000,2,55,23.21
22,2,2016-01-13 00:00:00.000,14,60,16.65
16,13,2016-07-21 00:00:00.000,18,11,11.0
11,2,2015-04-29 00:00:00.000,3,42,11.23
12,2,2016-10-17 00:00:00.000,14,68,16.65
3,8,2016-10-17 00:00:00.000,19,67,8.0
10,19,2017-05-07 00:00:00.000,17,97,12.0
10,15,2016-12-03 00:00:00.000,19,32,8.0
2,9,2015-04-14 00:00:00.000,9,9,10.0
11,10,2016-06-09 00:00:00.000,9,39,10.0
18,11,2015-03-08 00:00:00.000,1,95,15.26
19,16,2017-06-01 00:00:00.000,15,1,2.35
18,5,2015-06-24 00:00:00.000,6,97,19.5
22,15,2016-02-29 00:00:00.000,3,58,11.23
4,22,2016-11-02 00:00:00.000,7,22,20.0
5,4,2017-02-17 00:00:00.000,7,85,20.0
24,4,2019-09-04 00:00:00.000,6,97,19.5
18,4,2017-02-11 00:00:00.000,9,4,10.0
9,14,2016-02-09 00:00:00.000,17,18,12.0
1,24,2015-09-19 00:00:00.000,4,50,21.12
17,11,2017-05-04 00:00:00.000,4,30,21.12
9,21,2016-03-03 00:00:00.000,16,89,9.87
7,2,2017-07-21 00:00:00.000,6,76,19.5
24,12,2015-07-28 00:00:00.000,5,42,21.21
15,9,2016-02-19 00:00:00.000,12,40,5.25
22,12,2017-10-05 00:00:00.000,1,43,15.26
16,13,2019-08-16 00:00:00.000,1,64,15.26
6,11,2015-11-19 00:00:00.000,13,48,15.0
17,14,2016-03-08 00:00:00.000,20,90,9.5
11,20,2016-10-17 00:00:00.000,18,78,11.0
5,11,2016-01-31 00:00:00.000,12,67,5.25
25,21,2017-10-18 00:00:00.000,4,35,21.12
24,6,2015-06-07 00:00:00.000,4,4,21.12
22,11,2016-10-25 00:00:00.000,14,75,16.65
10,15,2017-08-06 00:00:00.000,2,59,23.21
21,18,2016-06-04 00:00:00.000,16,34,9.87
14,4,2016-03-03 00:00:00.000,14,99,16.65
14,6,2017-12-04 00:00:00.000,5,34,21.21
24,12,2017-06-10 00:00:00.000,3,81,11.23
16,7,2020-04-20 00:00:00.000,7,88,20.0
4,9,2019-09-17 00:00:00.000,14,26,16.65
3,17,2019-06-08 00:00:00.000,13,84,15.0
13,7,2017-07-18 00:00:00.000,18,61,11.0
21,7,2015-02-10 00:00:00.000,5,83,21.21
8,5,2017-10-11 00:00:00.000,17,89,12.0
