facet,tweetid
#cord,929
#SXSWedu201541297Kristen,3460
#slide,1453
#slide,2616
#ppt,2484
#ppt,983
#hydraulics758049516PPT,9306
#DataDriven,23553
@iliveincloud,17618
#SQLServer,20428
#towel,2343
#Linux,22454
#powerpoint,5523
@authorSTREAM,13245
#SQLServer,23351
@sladetim,6504
#SQLServer,24336
#SQLServer,21344
#training,24359
#Linux,20457
#powerpoint,7545
#powerpoint,9850
#ppt,502
#MachineLearning,18698
#powerpoint,4950
#controllers758049516PPT,6910
#slide,9228
#SQLServer3313821025MSSQL,23801
@JamesMPhillips,18690
#3D,9206
#administration758049516PPT,842
@sinisterBen,16675
#software,21133
#Modeling,18354
#structure758049516PPT,881
#powerpoint,7401
#SQLServer,21621
#effect,13128
#powerpoint,12822
#alimentos,6196
#Linux,23626
#Linux,20444
@httpstco8pkLYtkzDd2565205968Yoda,2327
#slide,8066
#infographic,7974
#cysts,2313
#slide,6347
@laceyjohannes,15450
@scottgu,23784
#templates,8023
@binitamshah,5134
#SQLServer,21297
#ph,10468
#sales758049516PPT,7628
@satyanadella,20006
@CGBPosts,8714
#Gearbox,10621
#gingiva,11999
#Linux,23481
#slide,2549
#SQLServer,22097
#apoptosis,693
#confident,2999
#SSMS716091061Tommy,19734
@MSPowerBI16513881Frank,18877
#powerpoint,10505
#coating,2659
#DataDriven,23559
@SUP3RFRUIT,17383
#digital,3160
#and,13311
@scottgu,22924
@EatonHighSchool,354
#presentation,1155
#treatment3214601910pptsearch365en01457362945000,7505
@ConcurrencyInc,19463
#erythropoietin,4245
#dotnet,24827
#all,2416
@MSFTnews,20767
#of,274
#productioN,7409
#powerpoint,11942
#powerpoint,2848
#slides758049516PPT,254
#Linux,22699
@AzureSQLDW,24869
#siliconvalley,8078
#STRUCTUR,3990
#jobs,12213
@scottgu,23037
#Ppt758049516PPT,2657
#slide,9382
#SQLServer,21995
@AlaskaAir,18543
#LecturerFeels,10307
@MetiscMYOB,18722
#etsy,12212
#SQLServer,21507
@PJPSchoolKenora,3574
