Source.Name,column1,column2,column3,date
"four.csv",1,10,100,2022-01-01 00:00:00.000
"four.csv",2,20,200,2022-01-01 00:00:00.000
"four.csv",3,30,300,2022-01-01 00:00:00.000
"one.csv",1,10,100,2019-01-01 00:00:00.000
"one.csv",2,20,200,2019-01-01 00:00:00.000
"one.csv",3,30,300,2019-01-01 00:00:00.000
"three.csv",1,10,100,2021-01-01 00:00:00.000
"three.csv",2,20,200,2021-01-01 00:00:00.000
"three.csv",3,30,300,2021-01-01 00:00:00.000
"two.csv",1,10,100,2020-01-01 00:00:00.000
"two.csv",2,20,200,2020-01-01 00:00:00.000
"two.csv",3,30,300,2020-01-01 00:00:00.000
