ID,TableID,ExplicitName,InferredName,ExplicitDataType,InferredDataType,DataCategory,Description,IsHidden,State,IsUnique,IsKey,IsNullable,Alignment,TableDetailPosition,IsDefaultLabel,IsDefaultImage,SummarizeBy,ColumnStorageID,Type,SourceColumn,ColumnOriginID,Expression,FormatString,IsAvailableInMDX,SortByColumnID,AttributeHierarchyID,ModifiedTime,StructureModifiedTime,RefreshedTime,SystemFlags,KeepUniqueRows,DisplayOrdinal,ErrorMessage,SourceProviderType,DisplayFolder,EncodingHint,RelatedColumnDetailsID,AlternateOfID,LineageTag,SourceLineageTag
16,15,"RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61","",6,19,"","",True,1,True,True,False,1,-1,False,False,1,71,3,"",,"","",True,,17,2020-03-19 20:46:58.240,2020-03-19 20:46:58.226,1699-12-31 00:00:00.000,2,False,0,"","","",0,,,"",""
19,15,"","Date",1,9,"PaddedDateTableDates","",True,1,False,False,True,1,-1,False,False,2,75,4,"[Date]",,"","",True,,50,2022-07-02 12:03:23.423,2020-03-19 20:46:58.230,1699-12-31 00:00:00.000,2,False,0,"","","",0,,,"ccee773b-27be-4f38-aca1-feaab10f7ae0",""
20,15,"Year","",1,6,"Years","",True,1,False,False,True,1,-1,False,False,2,79,2,"",,"YEAR([Date])","",True,,51,2022-07-02 12:03:23.423,2020-03-19 20:46:58.230,2020-03-19 20:46:58.450,2,False,0,"","","",0,,,"f4948b4a-76d2-48fd-9a83-e217d4b58919",""
21,15,"MonthNo","",1,6,"MonthOfYear","",True,1,False,False,True,1,-1,False,False,2,83,2,"",,"MONTH([Date])","",True,,52,2022-07-02 12:03:23.423,2020-03-19 20:46:58.230,2020-03-19 20:46:58.450,2,False,0,"","","",0,,,"46a5b1df-172d-4e94-baac-ce05c6f3a46a",""
22,15,"Month","",1,2,"Months","",True,1,False,False,True,1,-1,False,False,2,87,2,"",,"FORMAT([Date], ""MMMM"")","",True,21,53,2022-07-02 12:03:23.423,2020-03-19 20:46:58.230,2020-03-19 20:46:58.453,2,False,0,"","","",0,,,"bfc54524-c972-4e88-a4d4-640e9f5956d7",""
23,15,"QuarterNo","",1,6,"QuarterOfYear","",True,1,False,False,True,1,-1,False,False,2,91,2,"",,"INT(([MonthNo] + 2) / 3)","",True,,54,2022-07-02 12:03:23.423,2020-03-19 20:46:58.230,2020-03-19 20:46:58.456,2,False,0,"","","",0,,,"cde237ec-4d7a-4caa-8ff3-6309057c98cb",""
24,15,"Quarter","",1,2,"Quarters","",True,1,False,False,True,1,-1,False,False,2,95,2,"",,"""Qtr "" & [QuarterNo]","",True,23,55,2022-07-02 12:03:23.423,2020-03-19 20:46:58.230,2020-03-19 20:46:58.460,2,False,0,"","","",0,,,"ac658a9d-d41d-47cf-a843-28fe648c9381",""
25,15,"Day","",1,6,"DayOfMonth","",True,1,False,False,True,1,-1,False,False,2,99,2,"",,"DAY([Date])","",True,,56,2022-07-02 12:03:23.423,2020-03-19 20:46:58.230,2020-03-19 20:46:58.450,2,False,0,"","","",0,,,"11e3d473-2d41-4d81-9d16-a35228898b77",""
3840,3839,"RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61","",6,19,"","",True,1,True,True,False,1,-1,False,False,1,3926,3,"",,"","",True,,3841,2020-03-21 00:21:41.910,2020-03-21 00:21:41.896,1699-12-31 00:00:00.000,0,False,0,"","","",0,,,"",""
3847,3839,"federalstate","",2,19,"StateOrProvince","",False,1,False,False,True,1,-1,False,False,2,3934,1,"federalstate",,"","",True,,3903,2022-07-02 12:03:23.423,2020-03-21 00:21:41.900,1699-12-31 00:00:00.000,0,False,0,"","","",0,,,"8707f779-9e97-442b-b553-4f663fcfeb20",""
