Account Code,Account,Parent Account,AccountKey,Account Type,Operator,Parent Account Code,ParentAccountKey,ValueType
10,"Assets","Balance Sheet",2,"Assets","+",1,1,"Currency"
110,"Current Assets","Assets",3,"Assets","+",10,2,"Currency"
1110,"Cash","Current Assets",4,"Assets","+",110,3,"Currency"
1120,"Receivables","Current Assets",5,"Assets","+",110,3,"Currency"
1130,"Trade Receivables","Receivables",6,"Assets","+",1120,5,"Currency"
1140,"Other Receivables","Receivables",7,"Assets","+",1120,5,"Currency"
1150,"Allowance for Bad Debt","Current Assets",8,"Assets","+",110,3,"Currency"
1160,"Inventory","Current Assets",9,"Assets","+",110,3,"Currency"
1162,"Raw Materials","Inventory",10,"Assets","+",1160,9,"Currency"
1164,"Work in Process","Inventory",11,"Assets","+",1160,9,"Currency"
1166,"Finished Goods","Inventory",12,"Assets","+",1160,9,"Currency"
1170,"Deferred Taxes","Current Assets",13,"Assets","+",110,3,"Currency"
1180,"Prepaid Expenses","Current Assets",14,"Assets","+",110,3,"Currency"
1185,"Intercompany Receivables","Current Assets",15,"Assets","+",110,3,"Currency"
1200,"Property, Plant, Equipment","Assets",17,"Assets","+",10,2,"Currency"
1210,"Land & Improvements","Property, Plant, Equipment",18,"Assets","+",1200,17,"Currency"
1220,"Buildings & Improvements","Property, Plant, Equipment",19,"Assets","+",1200,17,"Currency"
1230,"Machinery & Equipment","Property, Plant, Equipment",20,"Assets","+",1200,17,"Currency"
1240,"Office Furniture & Equipment","Property, Plant, Equipment",21,"Assets","+",1200,17,"Currency"
1250,"Leasehold Improvements","Property, Plant, Equipment",22,"Assets","+",1200,17,"Currency"
1260,"Construction In Progress","Property, Plant, Equipment",23,"Assets","+",1200,17,"Currency"
1300,"Other Assets","Assets",24,"Assets","+",10,2,"Currency"
210,"Liabilities","Liabilities and Owners Equity",26,"Liabilities","+",20,25,"Currency"
2200,"Current Liabilities","Liabilities",27,"Liabilities","+",210,26,"Currency"
2210,"Notes Payable","Current Liabilities",28,"Liabilities","+",2200,27,"Currency"
2230,"Accounts Payable","Current Liabilities",29,"Liabilities","+",2200,27,"Currency"
2300,"Accrued Expenses","Current Liabilities",30,"Liabilities","+",2200,27,"Currency"
2310,"Salary & Other Comp","Accrued Expenses",31,"Liabilities","+",2300,30,"Currency"
2320,"Insurance","Accrued Expenses",32,"Liabilities","+",2300,30,"Currency"
2330,"Warranties","Accrued Expenses",33,"Liabilities","+",2300,30,"Currency"
2340,"Intercompany Payables","Current Liabilities",34,"Liabilities","+",2200,27,"Currency"
2350,"Other Current Liabilities","Current Liabilities",35,"Liabilities","+",2200,27,"Currency"
2400,"Long Term Liabilities","Liabilities",36,"Liabilities","+",210,26,"Currency"
2410,"Long Term Obligations","Long Term Liabilities",37,"Liabilities","+",2400,36,"Currency"
