ID,ModelID,Name,DataCategory,Description,IsHidden,TableStorageID,ModifiedTime,StructureModifiedTime,SystemFlags,ShowAsVariationsOnly,IsPrivate,DefaultDetailRowsDefinitionID,AlternateSourcePrecedence,RefreshPolicyID,CalculationGroupID,ExcludeFromModelRefresh,LineageTag,SourceLineageTag
10,1,"DateTableTemplate_f12e7e18-1bd3-49da-81cf-937edc0d419e","","",True,2713,2022-07-14 12:22:13.053,2018-09-17 16:55:34.870,2,False,True,,0,,,False,"a6d7e47e-01fd-43d2-8713-7d3636202695",""
34,1,"&DateTable","","",False,2729,2022-07-14 12:22:13.053,2018-09-17 16:55:34.876,0,False,False,,0,,,False,"df7abd11-d5c1-4a11-9721-aee6d4ebfe27",""
37,1,"LocalDateTable_edaf35e6-e10e-40ed-8d4b-2d8e1519902b","","",True,2731,2022-07-14 12:22:13.053,2018-09-17 16:55:34.876,2,True,False,,0,,,False,"4c44088d-d079-4f56-a1a3-d5f4f53676e6",""
40,1,"LocalDateTable_b7295aad-dff5-4e07-8ca6-b6f9129c8820","","",True,2733,2022-07-14 12:22:13.053,2018-09-17 16:55:34.876,2,True,False,,0,,,False,"b6e8defd-ee1b-41e3-a791-deb6d3e4dffa",""
9572,1,"#StorageContainerContentIndex","","",False,9655,2022-07-14 12:22:13.053,2018-09-25 15:15:26.476,0,False,False,,0,,,False,"6fd07706-fef9-4126-8ebd-3e57f486e93a",""
25413,1,"EmailHardBounced","","",False,25598,2022-07-14 12:22:13.053,2018-11-26 15:10:16.783,0,False,False,,0,,,False,"718d9d96-58ce-43c4-979c-6793b1e24515",""
25794,1,"EmailSoftBounced","","",False,26035,2022-07-14 12:22:13.053,2018-11-26 15:10:18.310,0,False,False,,0,,,False,"1daef833-6a17-4464-8a4a-8a8feb68cfdc",""
25800,1,"LocalDateTable_639e9c42-9c49-47b1-8654-0c95561e9abb","","",True,26039,2022-07-14 12:22:13.053,2018-09-18 12:04:51.256,2,True,False,,0,,,False,"180c3f19-cd49-4f02-85c5-33a7a95bdc01",""
28452,1,"EmailBlockBounced","","",False,28713,2022-07-14 12:22:13.053,2018-11-26 15:10:15.140,0,False,False,,0,,,False,"50f04ec3-b887-47e2-8024-4f7b629edbf5",""
28458,1,"LocalDateTable_1b0a17f4-56b8-4bdc-ab42-f674a126253f","","",True,28717,2022-07-14 12:22:13.053,2018-09-18 13:12:33.076,2,True,False,,0,,,False,"f87a6b8c-1882-4952-a453-d5543765c5e7",""
