OrderHeader_ID,RepresentativeID,CustomerID,ChannelID,Grade_ID,DistributorID,OrderDate,RequiredDate,CreatedDate,CreatedBy,ModifiedDate,ModifiedBy,OrderLine_ID,ItemID,Brand_ID,OrderQuantity,BonusQuantity
1,10,7442,4,1,1,2020-08-07 00:00:00.000,2020-08-11 00:00:00.000,2020-08-07 11:49:50.280,"System",,"System",1,1,1,4,
1,10,7442,4,1,1,2020-08-07 00:00:00.000,2020-08-11 00:00:00.000,2020-08-07 11:49:50.280,"System",,"System",2,39,3,1,
1,10,7442,4,1,1,2020-08-07 00:00:00.000,2020-08-11 00:00:00.000,2020-08-07 11:49:50.280,"System",,"System",3,50,7,2,
2,10,7442,4,1,2,2020-08-07 00:00:00.000,2020-08-14 00:00:00.000,2020-08-07 11:52:34.920,"System",,"System",4,1,1,4,1
2,10,7442,4,1,2,2020-08-07 00:00:00.000,2020-08-14 00:00:00.000,2020-08-07 11:52:34.920,"System",,"System",5,2,1,2,
3,10,7442,4,1,2,2020-08-07 00:00:00.000,2020-08-19 00:00:00.000,2020-08-07 11:53:37.873,"System",,"System",6,1,1,4,
4,10,7442,4,1,1,2020-08-07 00:00:00.000,2020-08-11 00:00:00.000,2020-08-07 11:54:24.553,"System",,"System",7,1,1,4,1
6,10,7442,4,1,3,2020-08-07 00:00:00.000,2020-08-19 00:00:00.000,2020-08-07 11:55:35.566,"System",,"System",8,1,1,1,
7,9,7443,3,1,4,2020-08-10 00:00:00.000,2020-08-12 00:00:00.000,2020-08-10 15:15:30.126,"System",2020-08-11 10:10:59.210,"System",9,1,1,1,1
7,9,7443,3,1,4,2020-08-10 00:00:00.000,2020-08-12 00:00:00.000,2020-08-10 15:15:30.126,"System",2020-08-11 10:10:59.210,"System",11,14,1,1,
7,9,7443,3,1,4,2020-08-10 00:00:00.000,2020-08-12 00:00:00.000,2020-08-10 15:15:30.126,"System",2020-08-11 10:10:59.210,"System",12,46,6,1,
7,9,7443,3,1,4,2020-08-10 00:00:00.000,2020-08-12 00:00:00.000,2020-08-10 15:15:30.126,"System",2020-08-11 10:10:59.210,"System",13,57,7,1,
7,9,7443,3,1,4,2020-08-10 00:00:00.000,2020-08-12 00:00:00.000,2020-08-10 15:15:30.126,"System",2020-08-11 10:10:59.210,"System",14,61,8,1,
7,9,7443,3,1,4,2020-08-10 00:00:00.000,2020-08-12 00:00:00.000,2020-08-10 15:15:30.126,"System",2020-08-11 10:10:59.210,"System",15,64,8,,1
7,9,7443,3,1,4,2020-08-10 00:00:00.000,2020-08-12 00:00:00.000,2020-08-10 15:15:30.126,"System",2020-08-11 10:10:59.210,"System",16,65,8,1,
8,9,7444,7,5,4,2020-08-11 00:00:00.000,,2020-08-11 10:04:37.683,"System",,"System",17,1,1,1,
8,9,7444,7,5,4,2020-08-11 00:00:00.000,,2020-08-11 10:04:37.683,"System",,"System",18,2,1,1,
8,9,7444,7,5,4,2020-08-11 00:00:00.000,,2020-08-11 10:04:37.683,"System",,"System",19,3,1,,2
8,9,7444,7,5,4,2020-08-11 00:00:00.000,,2020-08-11 10:04:37.683,"System",,"System",20,4,1,1,
8,9,7444,7,5,4,2020-08-11 00:00:00.000,,2020-08-11 10:04:37.683,"System",,"System",21,40,3,1,
8,9,7444,7,5,4,2020-08-11 00:00:00.000,,2020-08-11 10:04:37.683,"System",,"System",22,47,6,1,
8,9,7444,7,5,4,2020-08-11 00:00:00.000,,2020-08-11 10:04:37.683,"System",,"System",23,60,8,1,
8,9,7444,7,5,4,2020-08-11 00:00:00.000,,2020-08-11 10:04:37.683,"System",,"System",24,61,8,1,
8,9,7444,7,5,4,2020-08-11 00:00:00.000,,2020-08-11 10:04:37.683,"System",,"System",25,65,8,,1
