Customer_ID,CustomerNumber,CustomerName,ChannelID,GradeID,OwnedByRepresentativeID,CreatedDate,CreatedBy,ModifiedDate,ModifiedBy
1,"A1","Customer 1",4,2,1,2020-08-05 00:00:00.000,"System",,"NULL"
2,"A2","Customer 2",4,2,1,2020-08-05 00:00:00.000,"System",,"NULL"
13,"A3","Customer 3",1,3,1,2020-08-05 00:00:00.000,"System",,"NULL"
7346,"H1","Customer 4",2,3,8,2020-08-05 00:00:00.000,"System",,"NULL"
7347,"H2","Customer 5",4,4,8,2020-08-05 00:00:00.000,"System",,"NULL"
7348,"H3","Customer 6",2,4,8,2020-08-05 00:00:00.000,"System",,"NULL"
7442,"Y1","Customer 7",4,1,10,2020-08-05 00:00:00.000,"System",,"NULL"
7443,"Z1","Customer 8",3,1,9,2020-08-05 00:00:00.000,"System",,"NULL"
7444,"Z2","Customer 9",7,5,9,2020-08-05 00:00:00.000,"System",,"NULL"
7445,"H1","Customer 10",4,5,8,2020-08-05 00:00:00.000,"System",,"NULL"
7446,"H2","Customer 11",4,5,8,2020-08-05 00:00:00.000,"System",,"NULL"
7447,"Z3","Customer Scenario 1",1,1,9,2020-08-05 00:00:00.000,"System",,"NULL"
7448,"Z4","Customer Scenario 2",9,1,9,2020-08-05 00:00:00.000,"System",,"NULL"
7449,"Z5","Customer Scenario 3",6,1,9,2020-08-05 00:00:00.000,"System",,"NULL"
7450,"Z6","Customer Scenario 4",7,1,9,2020-08-05 00:00:00.000,"System",,"NULL"
7451,"Z7","Customer Z7",6,1,9,2020-08-27 00:00:00.000,"System",,"NULL"
