Item_ID,BrandID,ItemDescription,UnitPrice
1,1,"Product 1",20
2,1,"Product 2",10
3,1,"Product 3",10
4,1,"Product 4",10
5,1,"Product 5",10
6,1,"Product 6",10
7,1,"Product 7",10
8,1,"Product 8",10
9,1,"Product 9",10
10,1,"Product 10",10
11,1,"Product 11",10
12,1,"Product 12",10
13,1,"Product 13",10
14,1,"Product 14",10
15,1,"Product 15",10
16,1,"Product 16",20
17,1,"Product 17",20
18,1,"Product 18",20
19,1,"Product 19",20
20,1,"Product 20",0
21,1,"Product 21",0
22,1,"Product 22",0
23,1,"Product 23",0
24,1,"Product 24",0
25,1,"Product 25",0
26,1,"Product 26",0
27,1,"Product 27",0
28,1,"Product 28",0
29,1,"Product 29",0
30,1,"Product 30",0
31,1,"Product 31",0
32,1,"Product 32",0
33,1,"Product 33",0
34,1,"Product 34",0
35,1,"Product 35",0
36,1,"Product 36",0
37,1,"Product 37",0
38,2,"Product 38",0
39,3,"Product 39",15
40,3,"Product 40",15
41,3,"Product 41",15
42,3,"Product 42",15
43,3,"Product 43",15
44,4,"Product 44",12
45,4,"Product 45",12
46,6,"Product 46",13
47,6,"Product 47",13
48,6,"Product 48",13
49,7,"Product 49",30
50,7,"Product 50",30
51,7,"Product 51",30
52,7,"Product 52",30
53,7,"Product 53",20
54,7,"Product 54",14
55,7,"Product 55",14
56,7,"Product 56",40
57,7,"Product 57",40
58,7,"Product 58",40
59,8,"Product 59",10
60,8,"Product 60",10
61,8,"Product 61",30
62,8,"Product 62",30
63,8,"Product 63",30
64,8,"Product 64",30
65,8,"Product 65",30
66,8,"Product 66",30
67,8,"Product 67",30
68,8,"Product 68",0
69,8,"Product 69",0
