Sale_ID,variable,value
558286,Date,2018-04-03 00:00:00.000
734997,Date,2018-07-24 00:00:00.000
181549,Date,2017-06-17 00:00:00.000
323672,Date,2017-10-23 00:00:00.000
155036,Date,2017-05-26 00:00:00.000
755421,Date,2018-08-06 00:00:00.000
19352,Date,2017-01-21 00:00:00.000
349388,Date,2017-11-12 00:00:00.000
563839,Date,2018-04-07 00:00:00.000
130174,Date,2017-05-05 00:00:00.000
310842,Date,2017-10-13 00:00:00.000
123283,Date,2017-04-30 00:00:00.000
376318,Date,2017-12-03 00:00:00.000
109322,Date,2017-04-17 00:00:00.000
452951,Date,2018-01-24 00:00:00.000
648654,Date,2018-05-31 00:00:00.000
381362,Date,2017-12-07 00:00:00.000
782161,Date,2018-08-27 00:00:00.000
488362,Date,2018-02-17 00:00:00.000
821140,Date,2018-09-26 00:00:00.000
59712,Date,2017-03-02 00:00:00.000
203262,Date,2017-07-05 00:00:00.000
117828,Date,2017-04-25 00:00:00.000
398509,Date,2017-12-18 00:00:00.000
778742,Date,2018-08-25 00:00:00.000
567869,Date,2018-04-09 00:00:00.000
40911,Date,2017-02-12 00:00:00.000
804012,Date,2018-09-14 00:00:00.000
332326,Date,2017-10-30 00:00:00.000
371818,Date,2017-11-30 00:00:00.000
607485,Date,2018-05-05 00:00:00.000
186481,Date,2017-06-20 00:00:00.000
808464,Date,2018-09-16 00:00:00.000
511439,Date,2018-03-06 00:00:00.000
291921,Date,2017-09-26 00:00:00.000
701964,Date,2018-07-03 00:00:00.000
81839,Date,2017-03-24 00:00:00.000
619410,Date,2018-05-12 00:00:00.000
13119,Date,2017-01-14 00:00:00.000
79059,Date,2017-03-20 00:00:00.000
469475,Date,2018-02-04 00:00:00.000
551407,Date,2018-03-30 00:00:00.000
643523,Date,2018-05-27 00:00:00.000
506331,Date,2018-03-02 00:00:00.000
267612,Date,2017-09-03 00:00:00.000
541356,Date,2018-03-25 00:00:00.000
602824,Date,2018-05-01 00:00:00.000
611495,Date,2018-05-07 00:00:00.000
244440,Date,2017-08-12 00:00:00.000
42642,Date,2017-02-13 00:00:00.000
283985,Date,2017-09-18 00:00:00.000
408933,Date,2017-12-24 00:00:00.000
307064,Date,2017-10-09 00:00:00.000
72568,Date,2017-03-15 00:00:00.000
736860,Date,2018-07-25 00:00:00.000
150817,Date,2017-05-22 00:00:00.000
358695,Date,2017-11-19 00:00:00.000
10340,Date,2017-01-11 00:00:00.000
527390,Date,2018-03-17 00:00:00.000
731862,Date,2018-07-22 00:00:00.000
222264,Date,2017-07-22 00:00:00.000
433440,Date,2018-01-09 00:00:00.000
114523,Date,2017-04-22 00:00:00.000
595141,Date,2018-04-28 00:00:00.000
170657,Date,2017-06-08 00:00:00.000
798897,Date,2018-09-09 00:00:00.000
817691,Date,2018-09-23 00:00:00.000
196544,Date,2017-06-29 00:00:00.000
674223,Date,2018-06-16 00:00:00.000
777509,Date,2018-08-24 00:00:00.000
747832,Date,2018-08-01 00:00:00.000
455555,Date,2018-01-26 00:00:00.000
703926,Date,2018-07-04 00:00:00.000
260770,Date,2017-08-27 00:00:00.000
441820,Date,2018-01-15 00:00:00.000
748092,Date,2018-08-02 00:00:00.000
726083,Date,2018-07-18 00:00:00.000
587640,Date,2018-04-22 00:00:00.000
724010,Date,2018-07-16 00:00:00.000
613239,Date,2018-05-08 00:00:00.000
560741,Date,2018-04-05 00:00:00.000
794419,Date,2018-09-06 00:00:00.000
551817,Date,2018-03-31 00:00:00.000
753068,Date,2018-08-05 00:00:00.000
162946,Date,2017-06-01 00:00:00.000
251093,Date,2017-08-18 00:00:00.000
332627,Date,2017-10-31 00:00:00.000
630765,Date,2018-05-19 00:00:00.000
62873,Date,2017-03-05 00:00:00.000
147648,Date,2017-05-20 00:00:00.000
487461,Date,2018-02-17 00:00:00.000
231421,Date,2017-07-30 00:00:00.000
433924,Date,2018-01-10 00:00:00.000
814824,Date,2018-09-21 00:00:00.000
395822,Date,2017-12-16 00:00:00.000
127151,Date,2017-05-02 00:00:00.000
350238,Date,2017-11-13 00:00:00.000
751743,Date,2018-08-04 00:00:00.000
578931,Date,2018-04-17 00:00:00.000
732225,Date,2018-07-22 00:00:00.000
558286,Store_ID,29
734997,Store_ID,24
181549,Store_ID,7
323672,Store_ID,9
155036,Store_ID,34
755421,Store_ID,24
19352,Store_ID,21
349388,Store_ID,26
563839,Store_ID,23
130174,Store_ID,35
310842,Store_ID,46
123283,Store_ID,33
376318,Store_ID,8
109322,Store_ID,15
452951,Store_ID,30
648654,Store_ID,7
381362,Store_ID,3
782161,Store_ID,34
488362,Store_ID,45
821140,Store_ID,24
59712,Store_ID,38
203262,Store_ID,16
117828,Store_ID,27
398509,Store_ID,36
778742,Store_ID,11
567869,Store_ID,2
40911,Store_ID,1
804012,Store_ID,29
332326,Store_ID,23
371818,Store_ID,31
607485,Store_ID,2
186481,Store_ID,30
808464,Store_ID,30
511439,Store_ID,49
291921,Store_ID,38
701964,Store_ID,17
81839,Store_ID,16
619410,Store_ID,9
13119,Store_ID,17
79059,Store_ID,48
469475,Store_ID,37
551407,Store_ID,34
643523,Store_ID,31
506331,Store_ID,1
267612,Store_ID,16
541356,Store_ID,8
602824,Store_ID,4
611495,Store_ID,11
244440,Store_ID,21
42642,Store_ID,37
283985,Store_ID,38
408933,Store_ID,22
307064,Store_ID,30
72568,Store_ID,32
736860,Store_ID,25
150817,Store_ID,25
358695,Store_ID,6
10340,Store_ID,16
527390,Store_ID,39
731862,Store_ID,34
222264,Store_ID,21
433440,Store_ID,8
114523,Store_ID,22
595141,Store_ID,44
170657,Store_ID,11
798897,Store_ID,22
817691,Store_ID,7
196544,Store_ID,42
674223,Store_ID,39
777509,Store_ID,22
747832,Store_ID,32
455555,Store_ID,34
703926,Store_ID,4
260770,Store_ID,20
441820,Store_ID,36
748092,Store_ID,42
726083,Store_ID,11
