Date,Item,Sales
2016-10-12 00:00:00.000,"J",206
2015-04-16 00:00:00.000,"J",249
2018-11-17 00:00:00.000,"J",433
2016-12-07 00:00:00.000,"J",133
2017-06-04 00:00:00.000,"J",499
2019-02-16 00:00:00.000,"J",212
2017-08-24 00:00:00.000,"J",168
2015-01-06 00:00:00.000,"J",238
2017-10-07 00:00:00.000,"J",444
2016-05-15 00:00:00.000,"J",160
2018-12-28 00:00:00.000,"J",357
2015-07-22 00:00:00.000,"J",323
2018-01-13 00:00:00.000,"J",328
2018-04-06 00:00:00.000,"J",166
2016-06-26 00:00:00.000,"J",417
2018-05-24 00:00:00.000,"J",360
2015-12-31 00:00:00.000,"J",119
2016-05-17 00:00:00.000,"J",142
2015-06-15 00:00:00.000,"J",359
2015-06-13 00:00:00.000,"J",307
2017-11-06 00:00:00.000,"J",481
2017-03-06 00:00:00.000,"J",212
2018-08-10 00:00:00.000,"J",343
2016-09-20 00:00:00.000,"J",365
2019-03-16 00:00:00.000,"J",495
2015-06-27 00:00:00.000,"J",174
2017-02-25 00:00:00.000,"J",130
2018-03-09 00:00:00.000,"J",453
2018-08-20 00:00:00.000,"J",334
2016-09-08 00:00:00.000,"J",253
2015-01-16 00:00:00.000,"J",241
2017-08-26 00:00:00.000,"J",381
2017-10-16 00:00:00.000,"J",362
2015-11-24 00:00:00.000,"J",460
2015-02-09 00:00:00.000,"J",407
2016-01-14 00:00:00.000,"J",128
2016-06-07 00:00:00.000,"J",410
2015-01-13 00:00:00.000,"J",440
2016-12-11 00:00:00.000,"J",244
2017-07-16 00:00:00.000,"J",415
2018-04-23 00:00:00.000,"J",310
2017-07-23 00:00:00.000,"J",398
2019-02-05 00:00:00.000,"J",286
2015-10-29 00:00:00.000,"J",299
2019-02-28 00:00:00.000,"J",375
2017-04-12 00:00:00.000,"J",120
2015-02-28 00:00:00.000,"J",403
2016-07-03 00:00:00.000,"J",443
2018-02-26 00:00:00.000,"J",465
2018-04-19 00:00:00.000,"J",300
2016-09-30 00:00:00.000,"J",428
2015-01-31 00:00:00.000,"J",389
2016-10-25 00:00:00.000,"J",165
2017-02-05 00:00:00.000,"J",387
2016-11-05 00:00:00.000,"J",146
2018-09-24 00:00:00.000,"J",110
2017-04-19 00:00:00.000,"J",125
2015-08-09 00:00:00.000,"J",419
2018-04-30 00:00:00.000,"J",197
2016-03-28 00:00:00.000,"J",292
2018-05-06 00:00:00.000,"J",429
2015-08-14 00:00:00.000,"J",271
2016-09-23 00:00:00.000,"J",346
2015-10-23 00:00:00.000,"J",351
2019-02-04 00:00:00.000,"J",352
2018-05-02 00:00:00.000,"J",308
2017-09-17 00:00:00.000,"J",222
2018-12-27 00:00:00.000,"J",222
2018-10-24 00:00:00.000,"J",260
2017-03-07 00:00:00.000,"J",466
2017-06-16 00:00:00.000,"J",473
2016-09-12 00:00:00.000,"J",107
2015-11-06 00:00:00.000,"J",470
2016-02-15 00:00:00.000,"J",268
2018-09-13 00:00:00.000,"J",444
2016-03-13 00:00:00.000,"J",461
2015-11-30 00:00:00.000,"J",426
2016-06-25 00:00:00.000,"J",431
2015-07-06 00:00:00.000,"J",417
2017-11-17 00:00:00.000,"J",243
2018-10-02 00:00:00.000,"J",419
2017-04-20 00:00:00.000,"J",469
2018-04-11 00:00:00.000,"J",424
2018-02-12 00:00:00.000,"J",320
2015-02-11 00:00:00.000,"J",441
2015-08-15 00:00:00.000,"J",413
2016-02-11 00:00:00.000,"J",441
2016-01-21 00:00:00.000,"J",259
2015-07-16 00:00:00.000,"J",200
2018-06-12 00:00:00.000,"J",378
2016-04-23 00:00:00.000,"J",390
2017-11-24 00:00:00.000,"J",205
2017-05-24 00:00:00.000,"J",427
2017-08-01 00:00:00.000,"J",134
2015-02-16 00:00:00.000,"J",332
2019-01-25 00:00:00.000,"J",452
2019-01-15 00:00:00.000,"J",109
2015-11-15 00:00:00.000,"J",304
2017-02-16 00:00:00.000,"J",464
2018-12-29 00:00:00.000,"J",368
2016-01-17 00:00:00.000,"J",437
2016-11-15 00:00:00.000,"G",328
2015-07-03 00:00:00.000,"G",268
2017-08-25 00:00:00.000,"G",106
2017-02-01 00:00:00.000,"G",483
2015-05-21 00:00:00.000,"G",360
2017-04-26 00:00:00.000,"G",121
2019-03-12 00:00:00.000,"G",111
2017-09-10 00:00:00.000,"G",303
2018-08-05 00:00:00.000,"G",272
2016-01-15 00:00:00.000,"G",443
2018-08-17 00:00:00.000,"G",415
2016-01-16 00:00:00.000,"G",278
2017-05-03 00:00:00.000,"G",238
2018-08-08 00:00:00.000,"G",274
2018-12-23 00:00:00.000,"G",440
2016-03-21 00:00:00.000,"G",305
2017-04-13 00:00:00.000,"G",107
2015-07-16 00:00:00.000,"G",413
2018-06-16 00:00:00.000,"G",279
2017-07-30 00:00:00.000,"G",192
2017-03-23 00:00:00.000,"G",222
2017-05-04 00:00:00.000,"G",170
2018-06-22 00:00:00.000,"G",348
2017-05-13 00:00:00.000,"G",150
2018-07-06 00:00:00.000,"G",380
2019-02-14 00:00:00.000,"G",485
2016-11-22 00:00:00.000,"G",137
2017-03-27 00:00:00.000,"G",220
2016-09-26 00:00:00.000,"G",119
2017-10-20 00:00:00.000,"G",258
2016-05-18 00:00:00.000,"G",407
2017-03-30 00:00:00.000,"G",293
2017-06-16 00:00:00.000,"G",400
2016-04-14 00:00:00.000,"G",144
2017-04-04 00:00:00.000,"G",495
2017-07-18 00:00:00.000,"G",112
2017-05-28 00:00:00.000,"G",362
2017-01-25 00:00:00.000,"G",221
2015-08-25 00:00:00.000,"G",287
2018-08-14 00:00:00.000,"G",421
2016-05-05 00:00:00.000,"G",332
2019-02-18 00:00:00.000,"G",354
2015-09-20 00:00:00.000,"G",278
2017-07-04 00:00:00.000,"G",107
2019-03-03 00:00:00.000,"G",322
2015-09-19 00:00:00.000,"G",105
2018-04-04 00:00:00.000,"G",457
2018-05-10 00:00:00.000,"G",206
2017-01-08 00:00:00.000,"G",358
2018-05-09 00:00:00.000,"G",494
2016-01-27 00:00:00.000,"G",216
2017-06-22 00:00:00.000,"G",181
2018-08-23 00:00:00.000,"G",101
2018-09-22 00:00:00.000,"G",249
2017-03-11 00:00:00.000,"G",317
2018-06-07 00:00:00.000,"G",494
2015-08-07 00:00:00.000,"G",163
2015-12-18 00:00:00.000,"G",128
2017-11-29 00:00:00.000,"G",265
2018-01-21 00:00:00.000,"G",200
2018-09-10 00:00:00.000,"G",236
2016-07-27 00:00:00.000,"G",225
2015-02-08 00:00:00.000,"G",440
2017-09-08 00:00:00.000,"G",496
2017-03-24 00:00:00.000,"G",330
2018-11-04 00:00:00.000,"G",477
2015-03-02 00:00:00.000,"G",312
2018-10-22 00:00:00.000,"G",258
2015-03-07 00:00:00.000,"G",283
2018-10-09 00:00:00.000,"G",443
2017-10-01 00:00:00.000,"G",165
2015-12-26 00:00:00.000,"G",444
2018-02-09 00:00:00.000,"G",477
2017-04-16 00:00:00.000,"G",237
2016-09-09 00:00:00.000,"G",224
2015-06-30 00:00:00.000,"G",222
2015-09-03 00:00:00.000,"G",218
2018-09-24 00:00:00.000,"G",313
2017-11-30 00:00:00.000,"G",322
2017-09-12 00:00:00.000,"G",463
2015-10-21 00:00:00.000,"G",198
2015-08-09 00:00:00.000,"G",284
2015-07-06 00:00:00.000,"G",173
2015-01-15 00:00:00.000,"G",149
2016-09-17 00:00:00.000,"G",254
2015-08-20 00:00:00.000,"G",340
2015-11-05 00:00:00.000,"G",423
2017-07-14 00:00:00.000,"G",171
2015-07-29 00:00:00.000,"G",460
2016-12-24 00:00:00.000,"G",441
2016-05-20 00:00:00.000,"G",190
2017-02-11 00:00:00.000,"G",160
2019-03-04 00:00:00.000,"G",463
2018-05-11 00:00:00.000,"G",379
2016-12-08 00:00:00.000,"G",492
2019-01-23 00:00:00.000,"G",148
2018-03-23 00:00:00.000,"G",328
2018-05-23 00:00:00.000,"G",263
2018-07-19 00:00:00.000,"G",283
2016-12-20 00:00:00.000,"O",349
2015-09-16 00:00:00.000,"O",406
2017-11-02 00:00:00.000,"O",147
2015-08-06 00:00:00.000,"O",329
2017-02-08 00:00:00.000,"O",102
2018-07-22 00:00:00.000,"O",348
2016-12-13 00:00:00.000,"O",111
2019-01-01 00:00:00.000,"O",180
2018-06-13 00:00:00.000,"O",312
2017-04-02 00:00:00.000,"O",284
2018-07-20 00:00:00.000,"O",281
2016-07-02 00:00:00.000,"O",107
2016-11-20 00:00:00.000,"O",126
2018-07-18 00:00:00.000,"O",170
2017-09-22 00:00:00.000,"O",222
2016-03-18 00:00:00.000,"O",498
2017-11-11 00:00:00.000,"O",372
2018-01-18 00:00:00.000,"O",468
2018-08-26 00:00:00.000,"O",494
2019-01-17 00:00:00.000,"O",340
2016-03-30 00:00:00.000,"O",239
