CO_MUNICIPIO,CO_UF,IN_AGUA_EXISTENTE,IN_AGUA_FILTRADA,IN_ESGOTO_EXISTENTE,IN_BIBLIOTECA_SALA_LEITURA,IN_BANHEIRO,IN_REFEITORIO,IN_AUDITORIO,IN_COMPUTADOR,IN_INTERNET,IN_BANDA_LARGA,IN_ALIMENTACAO,IN_PATIO,IN_AREA_VERDE,IN_LABORATORIO_CIENCIAS,IN_LABORATORIO_INFORMATICA,IN_ENERGIA_EXISTENTE,IN_LIXO_RECICLA,IN_QUADRA_ESPORTES,IN_TP_AEE,IN_DEPENDENCIAS_PNE,IN_TP_ATIVIDADE_COMPLEMENTAR,DS_REGIAO,IN_NECESSIDADE_ESPECIAL,IN_01_FUNDAMENTAL_COMPLETO,IN_02_ENSINO_MEDIO_COMPLETO,IN_03_NIVEL_SUPERIOR_CURSANDO,IN_04_NIVEL_SUPERIOR_COMPLETO,IN_05_POS_GRADUACAO,IN_06_MESTRADO,IN_07_DOUTORADO,SIGLA_UF,NO_MUNICIPIO,REDE,NOTA_IDEB,UF,NM_MUNICIPIO,NUM_POPULACAO,CO_MUNICIPIO_IBGE,VL_RECEITA_REALIZADA,VL_RECEITA_ORCADA,VL_DOTACAO_ATUALIZADA_EDUCACAO,VL_DESPESA_EMPENHADA_EDUCACAO,VL_DESPESA_LIQUIDADA_EDUCACAO,VL_DESPESA_PAGA_EDUCACAO,VL_DESPESA_ORCADA_EDUCACAO,VL_DESPESA_PAG_ED_CID,VL_RECEITA_CID
4125704,41,100.0,42.86,100.0,85.71,100.0,28.57,14.29,100.0,100.0,57.14,100.0,100.0,57.14,42.86,71.43,100.0,0.0,85.71,57.14,85.71,71.43,SUL,0.23,100.0,100.0,12.01,97.69,86.37,13.16,0.0,PR,São Miguel do Iguaçu,Pública,3.9,PR,São Miguel do Iguaçu,27461,412570,106498658.31,90604624.0,30834372.91,29309939.62,29260616.57,29121827.16,24901276.0,1060.48,3878.18
4319208,43,100.0,50.0,100.0,50.0,100.0,100.0,50.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,100.0,50.0,100.0,50.0,SUL,0.0,100.0,100.0,4.44,95.56,68.89,0.0,0.0,RS,São Nicolau,Pública,3.4,RS,São Nicolau,5677,431920,18153850.99,23132701.0,6053104.48,4353274.4,4353274.4,4249318.47,6517061.0,748.51,3197.79
2924678,29,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,NORDESTE,0.0,100.0,100.0,0.0,92.0,74.67,0.0,0.0,BA,Piraí do Norte,Pública,2.3,BA,Piraí do Norte,10411,292467,20058667.93,37850000.0,13330000.0,9345450.48,9345450.48,9000072.2,14980000.0,864.48,1926.68
1503903,15,100.0,100.0,100.0,0.0,50.0,50.0,0.0,100.0,100.0,100.0,50.0,0.0,50.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,NORTE,0.0,100.0,100.0,0.0,100.0,36.36,4.07,0.0,PA,Juruti,Pública,2.8,PA,Juruti,56325,150390,131986643.02,147993000.0,73864896.43,73180849.74,72588978.3,70698145.32,67792000.0,1255.18,2343.3
2313757,23,100.0,100.0,100.0,50.0,100.0,50.0,0.0,100.0,100.0,100.0,100.0,100.0,50.0,50.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,NORDESTE,0.0,100.0,100.0,0.0,100.0,56.22,13.3,3.0,CE,Umirim,Pública,3.4,CE,Umirim,19679,231375,58286906.59,44000000.0,23736590.0,20484397.16,20374802.2,19274796.02,18547050.0,979.46,2961.88
4116901,41,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,SUL,1.82,100.0,100.0,0.91,100.0,90.0,20.61,0.0,PR,Nova Esperança,Pública,3.7,PR,Nova Esperança,28084,411690,62103202.51,64786716.0,18555469.28,15398912.55,15384307.27,15304110.81,16604559.65,544.94,2211.34
2704708,27,100.0,100.0,100.0,100.0,100.0,66.67,66.67,100.0,100.0,66.67,100.0,100.0,66.67,66.67,100.0,100.0,0.0,33.33,0.0,33.33,0.0,NORDESTE,0.0,100.0,100.0,8.75,80.82,23.28,18.06,4.1,AL,Marechal Deodoro,Pública,3.3,AL,Marechal Deodoro,52260,270470,190314216.89,222412593.51,51217480.63,47132313.71,45405749.85,44982743.14,54817730.38,860.75,3641.68
1707108,17,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,NORTE,0.0,100.0,100.0,0.0,100.0,21.01,13.04,0.0,TO,Divinópolis do Tocantins,Pública,3.4,TO,Divinópolis do Tocantins,6868,170710,16853079.72,18471976.78,6269351.69,6189214.29,6189214.29,6131928.81,5883892.69,892.83,2453.86
3203502,32,100.0,100.0,100.0,100.0,100.0,75.0,25.0,100.0,100.0,100.0,75.0,50.0,25.0,75.0,100.0,100.0,0.0,50.0,50.0,50.0,0.0,SUDESTE,0.0,100.0,100.0,1.04,100.0,65.97,26.49,3.38,ES,Montanha,Pública,4.5,ES,Montanha,19391,320350,51737221.84,52000000.0,18190864.24,18174586.2,18174586.2,17735018.87,15249250.0,914.6,2668.1
3526506,35,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0,SUDESTE,0.0,100.0,100.0,1.45,98.55,52.17,0.0,0.0,SP,Lavínia,Pública,5.0,SP,Lavínia,11156,352650,27462794.2,31000000.0,7109440.41,7080519.3,7006246.43,6878419.57,9451700.0,616.57,2461.71
