COD_FILIAL,DT_E_S,COD_ITEM,COR,TAMANHO,COD_PART,VEND_COMP,NUM_DOC,GERENTE,TIPO_PAG,CFOP,QTD,VL_ITEM,VL_DESC_ITEM,VL_ICMS_ITEM,VL_ICMS_ST_ITEM,VL_IPI_ITEM,VL_PIS_ITEM,VL_COFINS_ITEM,VL_ISS_ITEM,VL_COM_VEN,VL_COM_GER,VL_COM_GUIA,VL_CUSTO_ITEM,STATUS,DT_PREV,GUIA_REPR,NUM_SERIE_ITEM,TABELA_PRECO,QTD_PED,OUTRAS_DESP,VL_TOTAL_SIMPLES,DESP_CARTAO,HORA_E_S,TIPO_PED,PRAZO_PAG,CENTRO_CUSTO,DT_CANCELAMENTO,OBS_MOVI,ESTAMPA,VALOR_TOTAL_PEDIDO,CHAVE_MOVI,CODOPER
"3",2018-01-16 00:00:00.000,"26","ÚNICA","ÚNICA","2","VEND4","201801162","GER1","Dinheiro","5102",42,1092,26,0,0,0,0,0,0,21.84,5.46,0,687.96,"0","","","","TABELA2",42,5,109.2,0,"1400","Telemarketing",0,"3","","","ÚNICA",1092,17,"Venda Terceiros"
"2",2018-01-17 00:00:00.000,"19","ÚNICA","ÚNICA","1","VEND4","201801171","GER2","Boleto","5102",50,950,29,0,0,0,0,0,0,19,4.75,0,522.5,"0","","","","TABELA3",50,19,95,0,"1300","Pronta Entrega",0,"2","","","ÚNICA",950,21,"Venda Terceiros"
"1",2018-01-18 00:00:00.000,"6","ÚNICA","ÚNICA","3","VEND4","201801183","GER1","Dinheiro","5102",42,252,14,0,0,0,0,0,0,5.04,1.26,0,113.4,"0","","","","TABELA3",42,13,25.2,0,"1200","Pronta Entrega",45,"1","","","ÚNICA",252,27,"Venda Terceiros"
"1",2018-01-30 00:00:00.000,"12","ÚNICA","ÚNICA","9","VEND3","201801309","GER1","Dinheiro","5102",42,504,11,0,0,0,0,0,0,10.08,2.52,0,241.92,"0","","","","TABELA1",42,7,50.4,0,"1300","Pronta Entrega",0,"1","","","ÚNICA",504,40,"Venda Terceiros"
"1",2018-01-07 00:00:00.000,"18","ÚNICA","ÚNICA","9","VEND2","201801079","GER2","Boleto","5102",58,1044,29,0,0,0,0,0,0,20.88,5.22,0,469.8,"0","","","","TABELA3",58,9,104.4,0,"1400","Telemarketing",45,"1","","","ÚNICA",1044,60,"Venda Terceiros"
"1",2018-01-13 00:00:00.000,"12","ÚNICA","ÚNICA","5","VEND1","201801135","GER2","Dinheiro","5102",45,540,14,0,0,0,0,0,0,10.8,2.7,0,340.2,"0","","","","TABELA2",45,6,54,0,"1500","Telemarketing",0,"1","","","ÚNICA",540,94,"Venda Terceiros"
"2",2018-01-13 00:00:00.000,"21","ÚNICA","ÚNICA","5","VEND1","201801135","GER1","Boleto","5102",53,1113,4,0,0,0,0,0,0,22.26,5.565,0,578.76,"0","","","","TABELA2",53,3,111.3,0,"1400","Telemarketing",45,"2","","","ÚNICA",1113,97,"Venda Terceiros"
"2",2019-01-26 00:00:00.000,"2","ÚNICA","ÚNICA","9","VEND4","201901269","GER2","Dinheiro","5102",46,92,39,0,0,0,0,0,0,1.84,0.46,0,27.6,"0","","","","TABELA1",46,17,9.2,0,"1300","Pronta Entrega",0,"2","","","ÚNICA",92,126,"Venda Terceiros"
"2",2019-01-11 00:00:00.000,"2","ÚNICA","ÚNICA","2","VEND3","201901112","GER1","Boleto","5102",54,108,19,0,0,0,0,0,0,2.16,0.54,0,35.64,"0","","","","TABELA3",54,9,10.8,0,"1500","Telemarketing",0,"2","","","ÚNICA",108,129,"Venda Terceiros"
"3",2019-01-30 00:00:00.000,"16","ÚNICA","ÚNICA","10","VEND2","2019013010","GER1","Dinheiro","5102",44,704,7,0,0,0,0,0,0,14.08,3.52,0,274.56,"0","","","","TABELA2",44,9,70.4,0,"1300","Pronta Entrega",45,"3","","","ÚNICA",704,154,"Venda Terceiros"
