COD_FILIAL,DT_E_S,COD_ITEM,COR,TAMANHO,COD_PART,VEND_COMP,NUM_DOC,GERENTE,TIPO_PAG,STATUS,CENTRO_CUSTO,ESTAMPA,CHAVE_MOVI,COD_CONTA,CHAVE_CONTROLADORIA,GRUPO_ATI,CLASSIFICACAO,DT_COMPETENCIA,DT_EMISSAO,AG_CONTA,CHAVE_FINANCEIRO,CHAVE_ESTOQUE,Indicador,CHAVE_META,CHAVE_ORCAMENTO,CHAVE_SALDOBANCARIO,DT_VENCIMENTO,CODOPER
1,2019-05-29 00:00:00.000,16.0,ÚNICA,ÚNICA,38.0,COMP2,2019052938.0,GER1,Cartao Debito,0.0,1.0,ÚNICA,1387.0,,,,,,,,,,,,,,,Compra Terceiros
1,2018-03-01 00:00:00.000,,,,,,,,,,1.0,,,Salarios e Ordenados,,ATI14,,,,,,,,,723.0,,,
3,2019-06-30 00:00:00.000,,,,,,,,,,3.0,,,Taxa Adm Cartão,4304.0,ATI61,,,,,,,,,,,,
2,2018-07-09 00:00:00.000,18.0,ÚNICA,ÚNICA,6.0,VEND1,201807096.0,GER2,Cartao Debito,0.0,2.0,ÚNICA,1671.0,,,,,,,,,,,,,,,Venda Terceiros
1,2019-01-16 00:00:00.000,,,,,,,,,,1.0,,,Taxa Adm Cartão,553.0,ATI61,,,,,,,,,,,,
3,2019-09-01 00:00:00.000,,,,,,,,,,1.0,,,Quatro,,ATI14,,,,,,,,,561.0,,,
2,2019-05-16 00:00:00.000,,,,,,,,,,2.0,,,Receita Bruta,3920.0,ATI2,,,,,,,,,,,,
1,2018-07-01 00:00:00.000,23.0,ÚNICA,ÚNICA,19.0,VEND5,2018070119.0,GER2,Cartao Debito,2.0,1.0,ÚNICA,1672.0,,,,,,,,,,,,,,,Entrada Devolução Terceiros
3,2018-12-31 00:00:00.000,25.0,ÚNICA,ÚNICA,,,,,,,8.0,ÚNICA,,,,,,,,,,737.0,,,,,,
3,2019-05-23 00:00:00.000,,,,,,,,,,3.0,,,Receita Bruta,3815.0,ATI2,,,,,,,,,,,,
1,2018-05-31 00:00:00.000,,,,,,,,,,1.0,,,Estorno Comissao Vendedor Calculado,3718.0,ATI9,,,,,,,,,,,,
1,2019-10-31 00:00:00.000,3.0,ÚNICA,ÚNICA,,,,,,,6.0,ÚNICA,,,,,,,,,,645.0,,,,,,
2,2019-12-11 00:00:00.000,,,,,,,,,,2.0,,,Comissao Gerente Calculado,7887.0,ATI42,,,,,,,,,,,,
3,2019-02-24 00:00:00.000,,,,11.0,VEND1,2019021611.0,,Cheque,0.0,3.0,,,Tres,,ATI19,,2019-02-21 00:00:00.000,2019-02-16 00:00:00.000,2222-999900,112.0,,,,,,2019-02-21 00:00:00.000,
1,2019-06-01 00:00:00.000,,,,,,,,,,1.0,,,Tres,,ATI19,,,,,,,,,846.0,,,
3,2018-05-31 00:00:00.000,,,,,,,,,,3.0,,,Estorno Comissao Gerente Calculado,3709.0,ATI42,,,,,,,,,,,,
3,2018-03-16 00:00:00.000,,,,,,,,,,3.0,,,Estorno Simples Nacional Calculado,2058.0,ATI41,,,,,,,,,,,,
1,2019-07-12 00:00:00.000,9.0,ÚNICA,ÚNICA,25.0,VEND2,2019071225.0,GER2,Dinheiro,0.0,1.0,ÚNICA,1748.0,,,,,,,,,,,,,,,Venda Terceiros
2,2019-11-20 00:00:00.000,,,,,,,,,,2.0,,,Tres,7436.0,ATI19,,,,,,,,,,,,
3,2018-04-30 00:00:00.000,3.0,ÚNICA,ÚNICA,,,,,,,1.0,ÚNICA,,,,,,,,,,253.0,,,,,,
3,2019-04-28 00:00:00.000,28.0,ÚNICA,ÚNICA,28.0,VEND2,2019042828.0,GER2,Dinheiro,0.0,3.0,ÚNICA,1073.0,,,,,,,,,,,,,,,Venda Terceiros
1,2018-02-16 00:00:00.000,19.0,ÚNICA,ÚNICA,9.0,VEND4,201802169.0,GER2,Dinheiro,0.0,1.0,ÚNICA,412.0,,,,,,,,,,,,,,,Entrada Devolução Terceiros
1,2018-10-29 00:00:00.000,,,,,,,,,,1.0,,,Comissao Guia Calculado,6489.0,ATI43,,,,,,,,,,,,
1,2019-03-27 00:00:00.000,,,,,,,,,,1.0,,,Simples Nacional Calculado,2126.0,ATI41,,,,,,,,,,,,
1,2019-07-17 00:00:00.000,,,,,,,,,,1.0,,,Comissao Gerente Calculado,5105.0,ATI42,,,,,,,,,,,,
2,2019-07-22 00:00:00.000,,,,,,,,,,2.0,,,Tres,5147.0,ATI19,,,,,,,,,,,,
1,2018-09-16 00:00:00.000,,,,,,,,,,1.0,,,Receita Bruta,6008.0,ATI2,,,,,,,,,,,,
1,2018-08-06 00:00:00.000,,,,,,,,,,1.0,,,Receita Bruta,5399.0,ATI2,,,,,,,,,,,,
2,2018-07-01 00:00:00.000,,,,,,,,,,1.0,,,Cinco,,ATI20,,,,,,,,,259.0,,,
2,2019-08-22 00:00:00.000,,,,,,,,,,2.0,,,Receita Bruta,5726.0,ATI2,,,,,,,,,,,,
1,2018-07-11 00:00:00.000,,,,,,,,,,1.0,,,Taxa Adm Cartão,4831.0,ATI61,,,,,,,,,,,,
1,2018-08-28 00:00:00.000,,,,,,,,,,1.0,,,Simples Nacional Calculado,5285.0,ATI41,,,,,,,,,,,,
1,2018-12-12 00:00:00.000,15.0,ÚNICA,ÚNICA,36.0,VEND2,2018121236.0,GER2,Cartao Debito,0.0,1.0,ÚNICA,2610.0,,,,,,,,,,,,,,,Venda Terceiros
3,2018-01-31 00:00:00.000,,,,,,,,,,3.0,,,Simples Nacional Calculado,90.0,ATI41,,,,,,,,,,,,
3,2020-02-23 00:00:00.000,19.0,ÚNICA,ÚNICA,16.0,VEND4,2020022316.0,GER1,Boleto,0.0,3.0,ÚNICA,525.0,,,,,,,,,,,,,,,Venda Terceiros
3,2018-08-01 00:00:00.000,,,,,,,,,,3.0,,,Comissao Vendedor Calculado,5422.0,ATI9,,,,,,,,,,,,
1,2019-02-27 00:00:00.000,,,,,,,,,,1.0,,,Simples Nacional Calculado,1316.0,ATI41,,,,,,,,,,,,
1,2019-08-16 00:00:00.000,,,,,,,,,,1.0,,,Simples Nacional Calculado,5745.0,ATI41,,,,,,,,,,,,
1,2019-02-16 00:00:00.000,,,,,,,,,,1.0,,,Comissao Vendedor Calculado,1453.0,ATI9,,,,,,,,,,,,
3,2018-05-26 00:00:00.000,5.0,ÚNICA,ÚNICA,29.0,VEND4,2018052629.0,GER1,Dinheiro,0.0,3.0,ÚNICA,1195.0,,,,,,,,,,,,,,,Venda Terceiros
2,2018-06-20 00:00:00.000,20.0,ÚNICA,ÚNICA,21.0,VEND3,2018062021.0,GER1,Cartao Debito,0.0,2.0,ÚNICA,1395.0,,,,,,,,,,,,,,,Venda Terceiros
3,2018-06-23 00:00:00.000,,,,,,,,,,3.0,,,Comissao Gerente Calculado,4097.0,ATI42,,,,,,,,,,,,
2,2018-04-01 00:00:00.000,,,,,,,,,,2.0,,,Comissao Guia Calculado,2821.0,ATI43,,,,,,,,,,,,
3,2019-03-31 00:00:00.000,2.0,ÚNICA,ÚNICA,,,,,,,2.0,ÚNICA,,,,,,,,,,207.0,,,,,,
3,2019-07-27 00:00:00.000,,,,,,,,,,3.0,,,Comissao Gerente Calculado,4916.0,ATI42,,,,,,,,,,,,
3,2020-01-22 00:00:00.000,,,,,,,,,,3.0,,,Custo das Mercadorias Vendidas,709.0,ATI11,,,,,,,,,,,,
3,2019-10-01 00:00:00.000,,,,,,,,,,1.0,,,Cinco,,ATI20,,,,,,,,,238.0,,,
2,2020-03-16 00:00:00.000,,,,,,,,,,2.0,,,Comissao Vendedor Calculado,2521.0,ATI9,,,,,,,,,,,,
2,2019-05-25 00:00:00.000,,,,,,,,,,2.0,,,Comissao Vendedor Calculado,3824.0,ATI9,,,,,,,,,,,,
2,2018-12-13 00:00:00.000,,,,,,,,,,2.0,,,Custo das Mercadorias Vendidas,7663.0,ATI11,,,,,,,,,,,,
