COD_CONTA,COD_FILIAL,CENTRO_CUSTO,DT_E_S,VL_ORCA,CHAVE_ORCAMENTO,GRUPO_ATI,CLASSIFICACAO
"Quatro","3","1",2018-01-01 00:00:00.000,-890,541,"ATI14",""
"Quatro","3","1",2018-02-01 00:00:00.000,-771,542,"ATI14",""
"Quatro","3","1",2018-03-01 00:00:00.000,-804,543,"ATI14",""
"Quatro","3","1",2018-04-01 00:00:00.000,-815,544,"ATI14",""
"Quatro","3","1",2018-05-01 00:00:00.000,-441,545,"ATI14",""
"Quatro","3","1",2018-06-01 00:00:00.000,-763,546,"ATI14",""
"Quatro","3","1",2018-07-01 00:00:00.000,-439,547,"ATI14",""
"Quatro","3","1",2018-08-01 00:00:00.000,-521,548,"ATI14",""
"Quatro","3","1",2018-09-01 00:00:00.000,-758,549,"ATI14",""
"Quatro","3","1",2018-10-01 00:00:00.000,-872,550,"ATI14",""
"Quatro","3","1",2018-11-01 00:00:00.000,-968,551,"ATI14",""
"Quatro","3","1",2018-12-01 00:00:00.000,-479,552,"ATI14",""
"Quatro","3","1",2019-01-01 00:00:00.000,-665,553,"ATI14",""
"Quatro","3","1",2019-02-01 00:00:00.000,-507,554,"ATI14",""
"Quatro","3","1",2019-03-01 00:00:00.000,-841,555,"ATI14",""
"Quatro","3","1",2019-04-01 00:00:00.000,-557,556,"ATI14",""
"Quatro","3","1",2019-05-01 00:00:00.000,-775,557,"ATI14",""
"Quatro","3","1",2019-06-01 00:00:00.000,-480,558,"ATI14",""
"Quatro","3","1",2019-07-01 00:00:00.000,-531,559,"ATI14",""
"Quatro","3","1",2019-08-01 00:00:00.000,-400,560,"ATI14",""
"Quatro","3","1",2019-09-01 00:00:00.000,-772,561,"ATI14",""
"Quatro","3","1",2019-10-01 00:00:00.000,-778,562,"ATI14",""
"Quatro","3","1",2019-11-01 00:00:00.000,-872,563,"ATI14",""
"Quatro","3","1",2019-12-01 00:00:00.000,-970,564,"ATI14",""
"Quatro","3","1",2020-01-01 00:00:00.000,-208,565,"ATI14",""
"Quatro","3","1",2020-02-01 00:00:00.000,-329,566,"ATI14",""
"Quatro","3","1",2020-03-01 00:00:00.000,-453,567,"ATI14",""
"Quatro","3","1",2020-04-01 00:00:00.000,-480,568,"ATI14",""
"Quatro","3","1",2020-05-01 00:00:00.000,-379,569,"ATI14",""
"Quatro","3","1",2020-06-01 00:00:00.000,-312,570,"ATI14",""
