COD_FILIAL,GERENTE,VEND_COMP,Indicador,DT_E_S,VL_META,CHAVE_META
"1","GER1","VEND2","ClientePositivado",2018-01-01 00:00:00.000,7,217
"1","GER1","VEND2","ClientePositivado",2018-02-01 00:00:00.000,7,218
"1","GER1","VEND2","ClientePositivado",2018-03-01 00:00:00.000,7,219
"1","GER1","VEND2","ClientePositivado",2018-04-01 00:00:00.000,7,220
"1","GER1","VEND2","ClientePositivado",2018-05-01 00:00:00.000,7,221
"1","GER1","VEND2","ClientePositivado",2018-06-01 00:00:00.000,7,222
"1","GER1","VEND2","ClientePositivado",2018-07-01 00:00:00.000,7,223
"1","GER1","VEND2","ClientePositivado",2018-08-01 00:00:00.000,7,224
"1","GER1","VEND2","ClientePositivado",2018-09-01 00:00:00.000,7,225
"1","GER1","VEND2","ClientePositivado",2018-10-01 00:00:00.000,7,226
"1","GER1","VEND2","ClientePositivado",2018-11-01 00:00:00.000,7,227
"1","GER1","VEND2","ClientePositivado",2018-12-01 00:00:00.000,7,228
"1","GER1","VEND2","ClientePositivado",2019-01-01 00:00:00.000,7,229
"1","GER1","VEND2","ClientePositivado",2019-02-01 00:00:00.000,7,230
"1","GER1","VEND2","ClientePositivado",2019-03-01 00:00:00.000,7,231
"1","GER1","VEND2","ClientePositivado",2019-04-01 00:00:00.000,7,232
"1","GER1","VEND2","ClientePositivado",2019-05-01 00:00:00.000,7,233
"1","GER1","VEND2","ClientePositivado",2019-06-01 00:00:00.000,7,234
"1","GER1","VEND2","ClientePositivado",2019-07-01 00:00:00.000,7,235
"1","GER1","VEND2","ClientePositivado",2019-08-01 00:00:00.000,7,236
"1","GER1","VEND2","ClientePositivado",2019-09-01 00:00:00.000,7,237
"1","GER1","VEND2","ClientePositivado",2019-10-01 00:00:00.000,7,238
"1","GER1","VEND2","ClientePositivado",2019-11-01 00:00:00.000,7,239
"1","GER1","VEND2","ClientePositivado",2019-12-01 00:00:00.000,7,240
"1","GER1","VEND2","ClientePositivado",2020-01-01 00:00:00.000,7,241
"1","GER1","VEND2","ClientePositivado",2020-02-01 00:00:00.000,7,242
"1","GER1","VEND2","ClientePositivado",2020-03-01 00:00:00.000,7,243
"1","GER1","VEND2","ClientePositivado",2020-04-01 00:00:00.000,7,244
"1","GER1","VEND2","ClientePositivado",2020-05-01 00:00:00.000,7,245
"1","GER1","VEND2","ClientePositivado",2020-06-01 00:00:00.000,7,246
"1","GER1","VEND2","ClientePositivado",2020-07-01 00:00:00.000,7,247
"1","GER1","VEND2","ClientePositivado",2020-08-01 00:00:00.000,7,248
"1","GER1","VEND2","ClientePositivado",2020-09-01 00:00:00.000,7,249
"1","GER1","VEND2","ClientePositivado",2020-10-01 00:00:00.000,7,250
"1","GER1","VEND2","ClientePositivado",2020-11-01 00:00:00.000,7,251
"1","GER1","VEND2","ClientePositivado",2020-12-01 00:00:00.000,7,252
