NIVEL1,NIVEL2,NIVEL3,NIVEL4,NIVEL5,NIVEL6,NIVEL7,COD_CTA_REF,TIPOCONTA,GRUPO_ATI
"1 - RESULTADO LÍQUIDO DO PERÍODO","1 - RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE GERAL","1 - RESULTADO OPERACIONAL","1 - RESULTADO BRUTO","1 - RECEITA LIQUIDA","1 - RECEITA BRUTA","Faturamento Venda Fabricação Própria",30101010102,"resultado","ATI1"
"1 - RESULTADO LÍQUIDO DO PERÍODO","1 - RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE GERAL","1 - RESULTADO OPERACIONAL","1 - RESULTADO BRUTO","1 - RECEITA LIQUIDA","1 - RECEITA BRUTA","Faturamento Revenda de Mercadorias",30101010103,"resultado","ATI2"
"1 - RESULTADO LÍQUIDO DO PERÍODO","1 - RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE GERAL","1 - RESULTADO OPERACIONAL","1 - RESULTADO BRUTO","1 - RECEITA LIQUIDA","1 - RECEITA BRUTA","Receita Venda",30101010103,"caixa","ATI51"
"1 - RESULTADO LÍQUIDO DO PERÍODO","1 - RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE GERAL","1 - RESULTADO OPERACIONAL","1 - RESULTADO BRUTO","1 - RECEITA LIQUIDA","1 - RECEITA BRUTA","Faturamento Prestação de Serviços",30101010104,"resultado","ATI3"
"1 - RESULTADO LÍQUIDO DO PERÍODO","1 - RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE GERAL","1 - RESULTADO OPERACIONAL","1 - RESULTADO BRUTO","1 - RECEITA LIQUIDA","2 - DEVOLUÇÕES","Devolucoes Venda",30101010301,"resultado","ATI4"
"1 - RESULTADO LÍQUIDO DO PERÍODO","1 - RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE GERAL","1 - RESULTADO OPERACIONAL","1 - RESULTADO BRUTO","2 - DEDUÇÕES DA RECEITA","3 - IMPOSTOS","ICMS Calculado",30101010302,"resultado","ATI5"
"1 - RESULTADO LÍQUIDO DO PERÍODO","1 - RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE GERAL","1 - RESULTADO OPERACIONAL","1 - RESULTADO BRUTO","2 - DEDUÇÕES DA RECEITA","3 - IMPOSTOS","ICMS Calculado Credito",30101010302,"resultado","ATI58"
"1 - RESULTADO LÍQUIDO DO PERÍODO","1 - RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE GERAL","1 - RESULTADO OPERACIONAL","1 - RESULTADO BRUTO","2 - DEDUÇÕES DA RECEITA","3 - IMPOSTOS","ICMS Pago",30101010302,"caixa","ATI47"
"1 - RESULTADO LÍQUIDO DO PERÍODO","1 - RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE GERAL","1 - RESULTADO OPERACIONAL","1 - RESULTADO BRUTO","2 - DEDUÇÕES DA RECEITA","3 - IMPOSTOS","ICMS ST",30101010302,"caixa","ATI48"
"1 - RESULTADO LÍQUIDO DO PERÍODO","1 - RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE GERAL","1 - RESULTADO OPERACIONAL","1 - RESULTADO BRUTO","2 - DEDUÇÕES DA RECEITA","3 - IMPOSTOS","COFINS Calculado",30101010303,"resultado","ATI6"
"1 - RESULTADO LÍQUIDO DO PERÍODO","1 - RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE GERAL","1 - RESULTADO OPERACIONAL","1 - RESULTADO BRUTO","2 - DEDUÇÕES DA RECEITA","3 - IMPOSTOS","COFINS Calculado Credito",30101010303,"resultado","ATI59"
"1 - RESULTADO LÍQUIDO DO PERÍODO","1 - RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE GERAL","1 - RESULTADO OPERACIONAL","1 - RESULTADO BRUTO","2 - DEDUÇÕES DA RECEITA","3 - IMPOSTOS","PIS Calculado",30101010304,"resultado","ATI7"
"1 - RESULTADO LÍQUIDO DO PERÍODO","1 - RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE GERAL","1 - RESULTADO OPERACIONAL","1 - RESULTADO BRUTO","2 - DEDUÇÕES DA RECEITA","3 - IMPOSTOS","PIS Calculado Credito",30101010304,"resultado","ATI60"
"1 - RESULTADO LÍQUIDO DO PERÍODO","1 - RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE GERAL","1 - RESULTADO OPERACIONAL","1 - RESULTADO BRUTO","2 - DEDUÇÕES DA RECEITA","3 - IMPOSTOS","ISS Calculado",30101010305,"resultado","ATI8"
"1 - RESULTADO LÍQUIDO DO PERÍODO","1 - RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE GERAL","1 - RESULTADO OPERACIONAL","1 - RESULTADO BRUTO","2 - DEDUÇÕES DA RECEITA","3 - IMPOSTOS","Simples Nacional Pago",,"caixa","ATI46"
"1 - RESULTADO LÍQUIDO DO PERÍODO","1 - RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE GERAL","1 - RESULTADO OPERACIONAL","1 - RESULTADO BRUTO","2 - DEDUÇÕES DA RECEITA","3 - IMPOSTOS","Simples Nacional Calculado",30101010305,"resultado","ATI41"
"1 - RESULTADO LÍQUIDO DO PERÍODO","1 - RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE GERAL","1 - RESULTADO OPERACIONAL","1 - RESULTADO BRUTO","2 - DEDUÇÕES DA RECEITA","4 - COMISSÕES","Comissao Vendedor Calculado",30101010307,"resultado","ATI9"
