COD_FILIAL,NUM_TIT,COD_PART,COD_CONTA,NUM_DOC,VEND_COMP,TIPO_PAG,DT_COMPETENCIA,NUM_PARC,DT_EMISSAO,DT_VENCIMENTO,DT_E_S,AG_CONTA,RECEBER_PAGAR,CENTRO_CUSTO,VL_ACRESCIMO,VL_DESCONTO,STATUS,VL_FINANCEIRO,OBS,FORNECEDOR_FIN,RENOGOCIADO,CHAVE_FINANCEIRO,GRUPO_ATI,CLASSIFICACAO,REC_PAG,SITUACAO_TITULO,PRAZO_FINANCEIRO,ATRASO_FINANCEIRO
"2","2018010239","39","Recebimento","2018010239","VEND3","Cheque",2018-01-06 00:00:00.000,"8",2018-01-02 00:00:00.000,2018-01-06 00:00:00.000,2018-01-11 00:00:00.000,"2222-999900","0","2",,,"0",1325,"","","",1,"ATI51","","RECEBER","QUITADO DIA",4,5
"2","2018010540","40","Recebimento","2018010540","VEND4","Boleto",2018-01-15 00:00:00.000,"5",2018-01-05 00:00:00.000,2018-01-15 00:00:00.000,2018-01-20 00:00:00.000,"2222-999900","0","2",,,"0",1767,"","","",11,"ATI51","","RECEBER","QUITADO DIA",10,5
"1","2018010614","14","Recebimento","2018010614","VEND5","Cartao Credito",2018-01-14 00:00:00.000,"8",2018-01-06 00:00:00.000,2018-01-14 00:00:00.000,2018-01-15 00:00:00.000,"2222-999900","0","1",,,"0",1478,"","","",12,"ATI51","","RECEBER","QUITADO DIA",8,1
"1","201801066","6","Recebimento","201801066","VEND2","Cartao Debito",2018-01-10 00:00:00.000,"4",2018-01-06 00:00:00.000,2018-01-10 00:00:00.000,2018-01-11 00:00:00.000,"2222-999900","0","1",,,"0",1159,"","","",13,"ATI51","","RECEBER","QUITADO DIA",4,1
"2","2018010715","15","Recebimento","2018010715","VEND5","Cartao Debito",2018-01-16 00:00:00.000,"8",2018-01-07 00:00:00.000,2018-01-16 00:00:00.000,2018-01-20 00:00:00.000,"2222-999900","0","2",,,"0",1192,"","","",15,"ATI51","","RECEBER","QUITADO DIA",9,4
"2","2018010915","15","Recebimento","2018010915","VEND3","Boleto",2018-01-15 00:00:00.000,"8",2018-01-09 00:00:00.000,2018-01-15 00:00:00.000,2018-01-19 00:00:00.000,"2222-999900","0","2",,,"0",1385,"","","",22,"ATI51","","RECEBER","QUITADO DIA",6,4
"1","201801165","5","Recebimento","201801165","VEND5","Dinheiro",2018-01-17 00:00:00.000,"1",2018-01-16 00:00:00.000,2018-01-17 00:00:00.000,2018-01-18 00:00:00.000,"2222-999900","0","1",,,"0",1018,"","","",30,"ATI51","","RECEBER","QUITADO DIA",1,1
"2","2018011737","37","Recebimento","2018011737","VEND3","Cartao Debito",2018-01-19 00:00:00.000,"7",2018-01-17 00:00:00.000,2018-01-19 00:00:00.000,2018-01-23 00:00:00.000,"2222-999900","0","2",,,"0",1688,"","","",31,"ATI51","","RECEBER","QUITADO DIA",2,4
"3","2018011822","22","Recebimento","2018011822","VEND4","Cartao Credito",2018-01-21 00:00:00.000,"5",2018-01-18 00:00:00.000,2018-01-21 00:00:00.000,2018-01-25 00:00:00.000,"2222-999900","0","3",,,"0",1048,"","","",33,"ATI51","","RECEBER","QUITADO DIA",3,4
"2","2018012038","38","Recebimento","2018012038","VEND5","Cartao Debito",2018-01-22 00:00:00.000,"8",2018-01-20 00:00:00.000,2018-01-22 00:00:00.000,2018-01-27 00:00:00.000,"2222-999900","0","2",,,"0",1797,"","","",37,"ATI51","","RECEBER","QUITADO DIA",2,5
