COD_FILIAL,DT_E_S,CENTRO_CUSTO,COD_CONTA,VL_CONTROLADORIA,CHAVE_CONTROLADORIA,GRUPO_ATI,CLASSIFICACAO
"3",2018-01-20 00:00:00.000,"3","Taxa Adm Cartão",0,21,"ATI61",""
"3",2018-01-31 00:00:00.000,"3","Taxa Adm Cartão",0,91,"ATI61",""
"3",2018-01-27 00:00:00.000,"3","Taxa Adm Cartão",0,105,"ATI61",""
"3",2019-01-27 00:00:00.000,"3","Taxa Adm Cartão",0,413,"ATI61",""
"3",2019-01-23 00:00:00.000,"3","Taxa Adm Cartão",0,434,"ATI61",""
"3",2019-01-26 00:00:00.000,"3","Taxa Adm Cartão",0,469,"ATI61",""
"3",2019-01-28 00:00:00.000,"3","Taxa Adm Cartão",0,525,"ATI61",""
"3",2019-01-12 00:00:00.000,"3","Taxa Adm Cartão",0,539,"ATI61",""
"3",2019-01-20 00:00:00.000,"3","Taxa Adm Cartão",0,616,"ATI61",""
"3",2019-01-21 00:00:00.000,"3","Taxa Adm Cartão",0,644,"ATI61",""
"3",2020-01-22 00:00:00.000,"3","Taxa Adm Cartão",0,714,"ATI61",""
"3",2020-01-21 00:00:00.000,"3","Taxa Adm Cartão",0,868,"ATI61",""
"3",2020-01-20 00:00:00.000,"3","Taxa Adm Cartão",0,896,"ATI61",""
"3",2018-02-20 00:00:00.000,"3","Taxa Adm Cartão",0,936,"ATI61",""
"3",2018-02-07 00:00:00.000,"3","Taxa Adm Cartão",0,1055,"ATI61",""
"3",2018-02-09 00:00:00.000,"3","Taxa Adm Cartão",0,1076,"ATI61",""
"3",2018-02-08 00:00:00.000,"3","Taxa Adm Cartão",0,1083,"ATI61",""
"3",2018-02-11 00:00:00.000,"3","Taxa Adm Cartão",0,1146,"ATI61",""
"3",2018-02-10 00:00:00.000,"3","Taxa Adm Cartão",0,1167,"ATI61",""
"3",2019-02-11 00:00:00.000,"3","Taxa Adm Cartão",0,1296,"ATI61",""
"3",2019-02-28 00:00:00.000,"3","Taxa Adm Cartão",0,1331,"ATI61",""
"3",2019-02-21 00:00:00.000,"3","Taxa Adm Cartão",0,1436,"ATI61",""
"3",2020-02-23 00:00:00.000,"3","Taxa Adm Cartão",0,1555,"ATI61",""
"3",2020-02-28 00:00:00.000,"3","Taxa Adm Cartão",0,1562,"ATI61",""
"3",2020-02-16 00:00:00.000,"3","Taxa Adm Cartão",0,1639,"ATI61",""
"3",2020-02-13 00:00:00.000,"3","Taxa Adm Cartão",0,1646,"ATI61",""
"3",2020-02-15 00:00:00.000,"3","Taxa Adm Cartão",0,1681,"ATI61",""
"3",2020-02-21 00:00:00.000,"3","Taxa Adm Cartão",0,1695,"ATI61",""
"3",2020-02-17 00:00:00.000,"3","Taxa Adm Cartão",0,1716,"ATI61",""
"3",2018-03-27 00:00:00.000,"3","Taxa Adm Cartão",0,1884,"ATI61",""
"3",2018-03-13 00:00:00.000,"3","Taxa Adm Cartão",0,2038,"ATI61",""
"3",2019-03-22 00:00:00.000,"3","Taxa Adm Cartão",0,2134,"ATI61",""
"3",2019-03-26 00:00:00.000,"3","Taxa Adm Cartão",0,2176,"ATI61",""
"3",2019-03-16 00:00:00.000,"3","Taxa Adm Cartão",0,2260,"ATI61",""
"3",2019-03-13 00:00:00.000,"3","Taxa Adm Cartão",0,2288,"ATI61",""
"3",2019-03-21 00:00:00.000,"3","Taxa Adm Cartão",0,2337,"ATI61",""
"3",2020-03-25 00:00:00.000,"3","Taxa Adm Cartão",0,2441,"ATI61",""
"3",2020-03-28 00:00:00.000,"3","Taxa Adm Cartão",0,2469,"ATI61",""
"3",2020-03-27 00:00:00.000,"3","Taxa Adm Cartão",0,2483,"ATI61",""
"3",2020-03-20 00:00:00.000,"3","Taxa Adm Cartão",0,2588,"ATI61",""
"3",2020-03-16 00:00:00.000,"3","Taxa Adm Cartão",0,2609,"ATI61",""
