RU Data Last Updated,Device ID,Device Name,Monitoring Enabled,Resource ID,Resource Value,Resource Type,Resource,Measurement Type,Measurement Metric,Time Period ID,Time Period,Remote Collector Name,Remote Collector IP,Start Time,End Time,Window
2021-11-11 09:04:56.803,"9287","D42-EXCH01.d42-root.local",True,"264951045",0,"DISK","C:\","DISK_IOPS_READ","95TH","1","1 Day","rcup01wh42163","10.42.163.96",2021-10-26 07:00:00.000,2021-10-27 07:00:00.000,16
2021-11-11 09:04:57.153,"9287","D42-EXCH01.d42-root.local",True,"264951320",0,"DISK","C:\","DISK_IOPS_READ","95TH","1","1 Day","rcup01wh42163","10.42.163.96",2021-10-31 07:00:00.000,2021-11-01 07:00:00.000,11
2021-11-11 09:04:57.716,"9287","D42-EXCH01.d42-root.local",True,"264951760",0,"DISK","C:\","DISK_IOPS_READ","95TH","1","1 Day","rcup01wh42163","10.42.163.96",2021-11-08 07:00:00.000,2021-11-09 07:00:00.000,3
2021-11-11 09:04:56.233,"9287","D42-EXCH01.d42-root.local",True,"264950605",0,"DISK","C:\","DISK_IOPS_READ","95TH","1","1 Day","rcup01wh42163","10.42.163.96",2021-10-18 07:00:00.000,2021-10-19 07:00:00.000,24
2021-11-11 09:04:56.873,"9287","D42-EXCH01.d42-root.local",True,"264951100",0,"DISK","C:\","DISK_IOPS_READ","95TH","1","1 Day","rcup01wh42163","10.42.163.96",2021-10-27 07:00:00.000,2021-10-28 07:00:00.000,15
2021-11-11 09:04:56.093,"9287","D42-EXCH01.d42-root.local",True,"264950495",0,"DISK","C:\","DISK_IOPS_READ","95TH","1","1 Day","rcup01wh42163","10.42.163.96",2021-10-16 07:00:00.000,2021-10-17 07:00:00.000,26
2021-11-11 09:04:56.516,"9287","D42-EXCH01.d42-root.local",True,"264950825",0,"DISK","C:\","DISK_IOPS_READ","95TH","1","1 Day","rcup01wh42163","10.42.163.96",2021-10-22 07:00:00.000,2021-10-23 07:00:00.000,20
2021-11-11 09:04:56.303,"9287","D42-EXCH01.d42-root.local",True,"264950660",0,"DISK","C:\","DISK_IOPS_READ","95TH","1","1 Day","rcup01wh42163","10.42.163.96",2021-10-19 07:00:00.000,2021-10-20 07:00:00.000,23
2021-11-11 09:04:56.943,"9287","D42-EXCH01.d42-root.local",True,"264951155",0,"DISK","C:\","DISK_IOPS_READ","95TH","1","1 Day","rcup01wh42163","10.42.163.96",2021-10-28 07:00:00.000,2021-10-29 07:00:00.000,14
2021-11-11 09:04:56.733,"9287","D42-EXCH01.d42-root.local",True,"264950990",0,"DISK","C:\","DISK_IOPS_READ","95TH","1","1 Day","rcup01wh42163","10.42.163.96",2021-10-25 07:00:00.000,2021-10-26 07:00:00.000,17
2021-11-11 09:04:57.506,"9287","D42-EXCH01.d42-root.local",True,"264951595",0,"DISK","C:\","DISK_IOPS_READ","95TH","1","1 Day","rcup01wh42163","10.42.163.96",2021-11-05 07:00:00.000,2021-11-06 07:00:00.000,6
2021-11-11 09:04:57.226,"9287","D42-EXCH01.d42-root.local",True,"264951375",0,"DISK","C:\","DISK_IOPS_READ","95TH","1","1 Day","rcup01wh42163","10.42.163.96",2021-11-01 07:00:00.000,2021-11-02 07:00:00.000,10
2021-11-11 09:04:57.856,"9287","D42-EXCH01.d42-root.local",True,"264951870",0,"DISK","C:\","DISK_IOPS_READ","95TH","1","1 Day","rcup01wh42163","10.42.163.96",2021-11-10 07:00:00.000,2021-11-11 07:00:00.000,1
