DATES,Values
2019-01-22 00:00:00.000,9
2019-02-12 00:00:00.000,9
2018-07-24 00:00:00.000,12
2017-05-02 00:00:00.000,8
2019-06-08 00:00:00.000,15
2018-12-21 00:00:00.000,10
2017-01-24 00:00:00.000,6
2017-12-21 00:00:00.000,8
2017-08-22 00:00:00.000,15
2019-04-24 00:00:00.000,2
2018-01-26 00:00:00.000,14
2019-08-29 00:00:00.000,15
2018-06-16 00:00:00.000,14
2017-08-11 00:00:00.000,1
2017-05-13 00:00:00.000,3
2019-05-29 00:00:00.000,6
2018-05-15 00:00:00.000,10
2019-07-12 00:00:00.000,5
2019-05-23 00:00:00.000,3
2017-07-13 00:00:00.000,4
2017-10-21 00:00:00.000,11
2017-12-10 00:00:00.000,9
2019-01-02 00:00:00.000,7
2017-02-15 00:00:00.000,3
2018-09-15 00:00:00.000,6
2018-10-02 00:00:00.000,3
2017-03-06 00:00:00.000,13
2018-12-04 00:00:00.000,3
2017-07-10 00:00:00.000,13
2018-10-21 00:00:00.000,6
2017-07-17 00:00:00.000,6
2018-01-28 00:00:00.000,12
2017-05-09 00:00:00.000,4
2017-04-20 00:00:00.000,3
2017-09-12 00:00:00.000,12
2019-06-04 00:00:00.000,2
2018-11-30 00:00:00.000,12
2018-11-08 00:00:00.000,7
2017-12-13 00:00:00.000,3
2019-07-05 00:00:00.000,4
2018-12-14 00:00:00.000,1
2017-10-07 00:00:00.000,8
2018-02-09 00:00:00.000,15
2019-05-18 00:00:00.000,10
2017-03-21 00:00:00.000,15
2019-04-05 00:00:00.000,3
2017-05-03 00:00:00.000,13
2019-02-13 00:00:00.000,12
2019-07-24 00:00:00.000,8
2018-10-03 00:00:00.000,6
2017-06-10 00:00:00.000,8
2017-07-23 00:00:00.000,10
2019-01-15 00:00:00.000,2
2017-03-15 00:00:00.000,14
2019-01-27 00:00:00.000,8
2017-10-05 00:00:00.000,12
2017-04-29 00:00:00.000,13
2018-10-13 00:00:00.000,2
2017-10-02 00:00:00.000,2
2018-01-22 00:00:00.000,2
2019-05-22 00:00:00.000,5
2019-01-23 00:00:00.000,13
2017-05-04 00:00:00.000,2
2017-01-18 00:00:00.000,5
2018-03-15 00:00:00.000,6
2018-09-05 00:00:00.000,1
2017-01-30 00:00:00.000,1
2018-05-19 00:00:00.000,7
2019-02-16 00:00:00.000,1
2018-12-29 00:00:00.000,5
2017-08-16 00:00:00.000,4
2019-03-07 00:00:00.000,7
2018-11-16 00:00:00.000,13
2017-07-04 00:00:00.000,7
2018-11-26 00:00:00.000,14
2017-07-08 00:00:00.000,8
2017-05-25 00:00:00.000,1
2019-03-13 00:00:00.000,14
2018-06-01 00:00:00.000,2
2017-06-21 00:00:00.000,10
2019-05-03 00:00:00.000,14
2018-12-05 00:00:00.000,15
2019-03-23 00:00:00.000,2
2018-08-31 00:00:00.000,3
2019-03-31 00:00:00.000,2
2019-01-03 00:00:00.000,6
2017-09-04 00:00:00.000,6
2018-04-11 00:00:00.000,11
2019-05-02 00:00:00.000,3
2018-06-13 00:00:00.000,9
2017-10-09 00:00:00.000,9
2018-03-30 00:00:00.000,14
2018-02-10 00:00:00.000,5
2018-11-22 00:00:00.000,13
2017-11-05 00:00:00.000,11
2017-02-24 00:00:00.000,15
2017-11-16 00:00:00.000,7
2018-02-12 00:00:00.000,15
2019-09-25 00:00:00.000,2
2019-02-27 00:00:00.000,2
