SalesOrderLineKey,ResellerKey,CustomerKey,ProductKey,OrderDateKey,DueDateKey,ShipDateKey,SalesTerritoryKey,Order Quantity,Unit Price,Extended Amount,Unit Price Discount Pct,Product Standard Cost,Total Product Cost,Sales Amount
61228011,81,-1,222,20200120,20200130,20200127.0,5,2,20.994,41.988,0,13.0863,26.1726,41.988
74079002,-1,28288,477,20200529,20200608,20200605.0,4,1,4.99,4.99,0,1.8663,1.8663,4.99
49085025,653,-1,470,20190209,20190219,20190216.0,6,3,22.794,68.382,0,15.6709,47.0127,68.382
74084002,-1,19004,529,20200529,20200608,20200605.0,4,1,3.99,3.99,0,1.4923,1.4923,3.99
67435001,-1,26497,535,20200302,20200312,20200309.0,1,1,24.99,24.99,0,9.3463,9.3463,24.99
49477001,147,-1,327,20190310,20190320,20190317.0,3,4,469.794,1879.176,0,486.7066,1946.8264,1879.176
48339027,461,-1,343,20181215,20181225,20181222.0,6,2,469.794,939.588,0,486.7066,973.4132,939.588
65519002,-1,12969,477,20200202,20200212,20200209.0,6,1,4.99,4.99,0,1.8663,1.8663,4.99
48392033,54,-1,381,20181229,20190108,20190105.0,2,7,600.2625,4201.8375,0,605.6492,4239.5444,4201.8375
64742002,-1,27754,480,20200123,20200202,20200130.0,4,1,2.29,2.29,0,0.8565,0.8565,2.29
69412020,328,-1,287,20200505,20200515,20200512.0,4,2,202.332,404.664,0,204.6251,409.2502,404.664
51716010,363,-1,500,20190804,20190814,20190811.0,3,5,602.346,3011.73,0,601.7437,3008.7185,3011.73
56244002,-1,15543,476,20190916,20190926,20190923.0,6,1,69.99,69.99,0,26.1763,26.1763,69.99
67893001,-1,21886,376,20200308,20200318,20200315.0,9,1,2443.35,2443.35,0,1554.9479,1554.9479,2443.35
51857024,85,-1,493,20190829,20190908,20190905.0,7,6,200.052,1200.312,0,199.8519,1199.1114,1200.312
65218006,282,-1,566,20200313,20200323,20200320.0,6,3,445.41,1336.23,0,461.4448,1384.3344,1336.23
58444001,-1,16195,529,20191023,20191102,20191030.0,7,1,3.99,3.99,0,1.4923,1.4923,3.99
57587001,-1,11984,574,20191007,20191017,20191014.0,6,1,2384.07,2384.07,0,1481.9379,1481.9379,2384.07
56797002,-1,12630,537,20190927,20191007,20191004.0,10,1,35.0,35.0,0,13.09,13.09,35.0
48757019,146,-1,366,20190115,20190125,20190122.0,1,4,647.994,2591.976,0,598.4354,2393.7416,2591.976
54370001,-1,21909,604,20190814,20190824,20190821.0,4,1,539.99,539.99,0,343.6496,343.6496,539.99
67969002,-1,28305,467,20200310,20200320,20200317.0,9,1,24.49,24.49,0,9.1593,9.1593,24.49
71836041,254,-1,555,20200606,20200616,20200613.0,1,2,63.9,127.8,0,47.286,94.572,127.8
71396003,-1,14547,222,20200425,20200505,20200502.0,10,1,34.99,34.99,0,13.0863,13.0863,34.99
68616002,-1,21271,539,20200319,20200329,20200326.0,4,1,24.99,24.99,0,9.3463,9.3463,24.99
57054029,614,-1,506,20191108,20191118,20191115.0,7,2,200.052,400.104,0,199.8519,399.7038,400.104
61123001,-1,25006,535,20191130,20191210,20191207.0,1,1,24.99,24.99,0,9.3463,9.3463,24.99
57140001,359,-1,481,20191121,20191201,20191128.0,2,6,5.394,32.364,0,3.3623,20.1738,32.364
49479007,72,-1,221,20190310,20190320,20190317.0,2,3,20.1865,60.5595,0,13.8782,41.6346,60.5595
46077007,469,-1,349,20180521,20180531,20180528.0,1,3,2024.994,6074.982,0,1898.0944,5694.2832,6074.982
74988001,-1,14258,485,20200613,20200623,,4,1,21.98,21.98,0,8.2205,8.2205,21.98
