Date,Daily_Total_Deaths
2020-01-22 00:00:00.000,17
2020-01-23 00:00:00.000,18
2020-01-24 00:00:00.000,26
2020-01-25 00:00:00.000,42
2020-01-26 00:00:00.000,56
2020-01-27 00:00:00.000,82
2020-01-28 00:00:00.000,131
2020-01-29 00:00:00.000,133
2020-01-30 00:00:00.000,171
2020-01-31 00:00:00.000,213
2020-02-01 00:00:00.000,259
2020-02-02 00:00:00.000,362
2020-02-03 00:00:00.000,426
2020-02-04 00:00:00.000,492
2020-02-05 00:00:00.000,564
2020-02-06 00:00:00.000,634
2020-02-07 00:00:00.000,719
2020-02-08 00:00:00.000,806
2020-02-09 00:00:00.000,906
2020-02-10 00:00:00.000,1013
2020-02-11 00:00:00.000,1113
2020-02-12 00:00:00.000,1118
2020-02-13 00:00:00.000,1371
2020-02-14 00:00:00.000,1523
2020-02-15 00:00:00.000,1666
2020-02-16 00:00:00.000,1770
2020-02-17 00:00:00.000,1868
2020-02-18 00:00:00.000,2007
2020-02-19 00:00:00.000,2122
2020-02-20 00:00:00.000,2247
2020-02-21 00:00:00.000,2251
2020-02-22 00:00:00.000,2458
2020-02-23 00:00:00.000,2469
2020-02-24 00:00:00.000,2629
2020-02-25 00:00:00.000,2708
2020-02-26 00:00:00.000,2770
2020-02-27 00:00:00.000,2814
2020-02-28 00:00:00.000,2872
2020-02-29 00:00:00.000,2941
2020-03-01 00:00:00.000,2996
2020-03-02 00:00:00.000,3085
2020-03-03 00:00:00.000,3160
2020-03-04 00:00:00.000,3254
2020-03-05 00:00:00.000,3347
2020-03-06 00:00:00.000,3459
2020-03-07 00:00:00.000,3558
2020-03-08 00:00:00.000,3801
2020-03-09 00:00:00.000,3987
2020-03-10 00:00:00.000,4263
2020-03-11 00:00:00.000,4611
2020-03-12 00:00:00.000,4913
2020-03-13 00:00:00.000,5411
2020-03-14 00:00:00.000,5830
2020-03-15 00:00:00.000,6469
2020-03-16 00:00:00.000,7148
2020-03-17 00:00:00.000,7954
2020-03-18 00:00:00.000,8849
2020-03-19 00:00:00.000,9954
2020-03-20 00:00:00.000,11435
2020-03-21 00:00:00.000,13141
2020-03-22 00:00:00.000,14841
2020-03-23 00:00:00.000,16758
2020-03-24 00:00:00.000,19028
2020-03-25 00:00:00.000,21803
2020-03-26 00:00:00.000,24810
2020-03-27 00:00:00.000,28324
2020-03-28 00:00:00.000,32003
2020-03-29 00:00:00.000,35471
2020-03-30 00:00:00.000,39633
2020-03-31 00:00:00.000,44477
2020-04-01 00:00:00.000,50027
2020-04-02 00:00:00.000,56334
2020-04-03 00:00:00.000,62314
2020-04-04 00:00:00.000,68163
2020-04-05 00:00:00.000,73178
2020-04-06 00:00:00.000,79015
2020-04-07 00:00:00.000,86922
2020-04-08 00:00:00.000,93651
2020-04-09 00:00:00.000,101266
2020-04-10 00:00:00.000,108531
2020-04-11 00:00:00.000,114586
2020-04-12 00:00:00.000,120317
2020-04-13 00:00:00.000,126070
2020-04-14 00:00:00.000,132972
2020-04-15 00:00:00.000,141271
2020-04-16 00:00:00.000,148568
2020-04-17 00:00:00.000,157457
2020-04-18 00:00:00.000,163928
2020-04-19 00:00:00.000,168506
2020-04-20 00:00:00.000,173929
2020-04-21 00:00:00.000,181080
2020-04-22 00:00:00.000,187837
2020-04-23 00:00:00.000,194706
2020-04-24 00:00:00.000,201387
2020-04-25 00:00:00.000,206961
2020-04-26 00:00:00.000,210840
2020-04-27 00:00:00.000,215478
2020-04-28 00:00:00.000,221931
2020-04-29 00:00:00.000,228695
2020-04-30 00:00:00.000,234652
2020-05-01 00:00:00.000,239824
2020-05-02 00:00:00.000,245142
2020-05-03 00:00:00.000,248584
2020-05-04 00:00:00.000,252739
2020-05-05 00:00:00.000,258618
2020-05-06 00:00:00.000,265272
2020-05-07 00:00:00.000,270689
2020-05-08 00:00:00.000,276252
2020-05-09 00:00:00.000,280515
2020-05-10 00:00:00.000,284085
2020-05-11 00:00:00.000,287547
2020-05-12 00:00:00.000,293090
2020-05-13 00:00:00.000,298321
2020-05-14 00:00:00.000,303592
2020-05-15 00:00:00.000,308805
2020-05-16 00:00:00.000,312958
2020-05-17 00:00:00.000,316297
2020-05-18 00:00:00.000,319584
2020-05-19 00:00:00.000,324375
2020-05-20 00:00:00.000,329236
2020-05-21 00:00:00.000,334028
2020-05-22 00:00:00.000,339314
2020-05-23 00:00:00.000,343305
2020-05-24 00:00:00.000,346127
2020-05-25 00:00:00.000,347309
2020-05-26 00:00:00.000,351520
2020-05-27 00:00:00.000,356707
2020-05-28 00:00:00.000,361392
2020-05-29 00:00:00.000,366076
2020-05-30 00:00:00.000,370211
2020-05-31 00:00:00.000,373078
2020-06-01 00:00:00.000,376608
2020-06-02 00:00:00.000,381307
2020-06-03 00:00:00.000,387013
2020-06-04 00:00:00.000,392161
2020-06-05 00:00:00.000,396983
2020-06-06 00:00:00.000,400801
2020-06-07 00:00:00.000,403550
2020-06-08 00:00:00.000,407306
2020-06-09 00:00:00.000,412161
2020-06-10 00:00:00.000,417366
2020-06-11 00:00:00.000,422150
2020-06-12 00:00:00.000,426445
2020-06-13 00:00:00.000,430695
2020-06-14 00:00:00.000,434041
2020-06-15 00:00:00.000,437545
2020-06-16 00:00:00.000,444334
2020-06-17 00:00:00.000,449605
2020-06-18 00:00:00.000,454614
2020-06-19 00:00:00.000,460883
2020-06-20 00:00:00.000,465151
