Date,Daily_Total_Cases
2020-01-22 00:00:00.000,555
2020-01-23 00:00:00.000,654
2020-01-24 00:00:00.000,941
2020-01-25 00:00:00.000,1434
2020-01-26 00:00:00.000,2118
2020-01-27 00:00:00.000,2927
2020-01-28 00:00:00.000,5578
2020-01-29 00:00:00.000,6166
2020-01-30 00:00:00.000,8234
2020-01-31 00:00:00.000,9927
2020-02-01 00:00:00.000,12038
2020-02-02 00:00:00.000,16787
2020-02-03 00:00:00.000,19887
2020-02-04 00:00:00.000,23898
2020-02-05 00:00:00.000,27642
2020-02-06 00:00:00.000,30801
2020-02-07 00:00:00.000,34397
2020-02-08 00:00:00.000,37130
2020-02-09 00:00:00.000,40161
2020-02-10 00:00:00.000,42768
2020-02-11 00:00:00.000,44809
2020-02-12 00:00:00.000,45228
2020-02-13 00:00:00.000,60376
2020-02-14 00:00:00.000,66894
2020-02-15 00:00:00.000,69039
2020-02-16 00:00:00.000,71233
2020-02-17 00:00:00.000,73268
2020-02-18 00:00:00.000,75146
2020-02-19 00:00:00.000,75650
2020-02-20 00:00:00.000,76210
2020-02-21 00:00:00.000,76833
2020-02-22 00:00:00.000,78586
2020-02-23 00:00:00.000,78977
2020-02-24 00:00:00.000,79542
2020-02-25 00:00:00.000,80393
2020-02-26 00:00:00.000,81370
2020-02-27 00:00:00.000,82733
2020-02-28 00:00:00.000,84106
2020-02-29 00:00:00.000,86005
2020-03-01 00:00:00.000,88383
2020-03-02 00:00:00.000,90356
2020-03-03 00:00:00.000,92933
2020-03-04 00:00:00.000,95235
2020-03-05 00:00:00.000,98023
2020-03-06 00:00:00.000,101971
2020-03-07 00:00:00.000,106004
2020-03-08 00:00:00.000,109963
2020-03-09 00:00:00.000,113844
2020-03-10 00:00:00.000,118880
2020-03-11 00:00:00.000,126546
2020-03-12 00:00:00.000,132240
2020-03-13 00:00:00.000,146672
2020-03-14 00:00:00.000,157773
2020-03-15 00:00:00.000,168954
2020-03-16 00:00:00.000,183593
2020-03-17 00:00:00.000,199419
2020-03-18 00:00:00.000,218989
2020-03-19 00:00:00.000,246905
2020-03-20 00:00:00.000,276475
2020-03-21 00:00:00.000,308790
2020-03-22 00:00:00.000,342252
2020-03-23 00:00:00.000,384404
2020-03-24 00:00:00.000,425535
2020-03-25 00:00:00.000,476369
2020-03-26 00:00:00.000,539307
2020-03-27 00:00:00.000,603674
2020-03-28 00:00:00.000,671309
2020-03-29 00:00:00.000,730880
2020-03-30 00:00:00.000,795425
2020-03-31 00:00:00.000,871674
2020-04-01 00:00:00.000,947840
2020-04-02 00:00:00.000,1029275
2020-04-03 00:00:00.000,1112215
2020-04-04 00:00:00.000,1192742
2020-04-05 00:00:00.000,1264109
2020-04-06 00:00:00.000,1337062
2020-04-07 00:00:00.000,1413812
2020-04-08 00:00:00.000,1497403
2020-04-09 00:00:00.000,1583844
2020-04-10 00:00:00.000,1671729
2020-04-11 00:00:00.000,1748223
2020-04-12 00:00:00.000,1845226
2020-04-13 00:00:00.000,1915142
2020-04-14 00:00:00.000,1984840
2020-04-15 00:00:00.000,2065566
2020-04-16 00:00:00.000,2162241
2020-04-17 00:00:00.000,2250566
2020-04-18 00:00:00.000,2323831
2020-04-19 00:00:00.000,2404673
2020-04-20 00:00:00.000,2477668
2020-04-21 00:00:00.000,2552783
2020-04-22 00:00:00.000,2629660
2020-04-23 00:00:00.000,2719097
2020-04-24 00:00:00.000,2806113
2020-04-25 00:00:00.000,2890304
2020-04-26 00:00:00.000,2963242
2020-04-27 00:00:00.000,3032503
2020-04-28 00:00:00.000,3107085
2020-04-29 00:00:00.000,3183962
2020-04-30 00:00:00.000,3267740
2020-05-01 00:00:00.000,3354731
2020-05-02 00:00:00.000,3435281
2020-05-03 00:00:00.000,3513023
2020-05-04 00:00:00.000,3589133
2020-05-05 00:00:00.000,3669172
2020-05-06 00:00:00.000,3759093
2020-05-07 00:00:00.000,3848305
2020-05-08 00:00:00.000,3939833
2020-05-09 00:00:00.000,4023441
2020-05-10 00:00:00.000,4099732
2020-05-11 00:00:00.000,4176006
2020-05-12 00:00:00.000,4259403
2020-05-13 00:00:00.000,4344421
2020-05-14 00:00:00.000,4441499
2020-05-15 00:00:00.000,4537879
2020-05-16 00:00:00.000,4629672
2020-05-17 00:00:00.000,4708205
2020-05-18 00:00:00.000,4796476
2020-05-19 00:00:00.000,4892934
2020-05-20 00:00:00.000,4995742
2020-05-21 00:00:00.000,5102278
2020-05-22 00:00:00.000,5209244
2020-05-23 00:00:00.000,5308225
2020-05-24 00:00:00.000,5403524
2020-05-25 00:00:00.000,5490497
2020-05-26 00:00:00.000,5583031
2020-05-27 00:00:00.000,5685633
2020-05-28 00:00:00.000,5803599
2020-05-29 00:00:00.000,5924709
2020-05-30 00:00:00.000,6053134
2020-05-31 00:00:00.000,6160243
2020-06-01 00:00:00.000,6256493
2020-06-02 00:00:00.000,6369046
2020-06-03 00:00:00.000,6496381
2020-06-04 00:00:00.000,6623083
2020-06-05 00:00:00.000,6755724
2020-06-06 00:00:00.000,6881530
2020-06-07 00:00:00.000,6993970
2020-06-08 00:00:00.000,7097409
2020-06-09 00:00:00.000,7220392
2020-06-10 00:00:00.000,7354172
2020-06-11 00:00:00.000,7492360
2020-06-12 00:00:00.000,7621346
2020-06-13 00:00:00.000,7755445
2020-06-14 00:00:00.000,7888575
2020-06-15 00:00:00.000,8010360
2020-06-16 00:00:00.000,8149939
2020-06-17 00:00:00.000,8325831
2020-06-18 00:00:00.000,8464706
2020-06-19 00:00:00.000,8645640
2020-06-20 00:00:00.000,8803904
2020-06-21 00:00:00.000,8934807
2020-06-22 00:00:00.000,9072666
2020-06-23 00:00:00.000,9238013
2020-06-24 00:00:00.000,9405649
2020-06-25 00:00:00.000,9583608
2020-06-26 00:00:00.000,9774609
2020-06-27 00:00:00.000,9952423
2020-06-28 00:00:00.000,10117641
2020-06-29 00:00:00.000,10273510
2020-06-30 00:00:00.000,10447879
2020-07-01 00:00:00.000,10664168
2020-07-02 00:00:00.000,10871926
2020-07-03 00:00:00.000,11074878
2020-07-04 00:00:00.000,11267309
2020-07-05 00:00:00.000,11449707
