Date,Daily_Total_Recovered
2020-01-22 00:00:00.000,28
2020-01-23 00:00:00.000,30
2020-01-24 00:00:00.000,36
2020-01-25 00:00:00.000,39
2020-01-26 00:00:00.000,52
2020-01-27 00:00:00.000,61
2020-01-28 00:00:00.000,107
2020-01-29 00:00:00.000,126
2020-01-30 00:00:00.000,143
2020-01-31 00:00:00.000,222
2020-02-01 00:00:00.000,284
2020-02-02 00:00:00.000,472
2020-02-03 00:00:00.000,623
2020-02-04 00:00:00.000,852
2020-02-05 00:00:00.000,1124
2020-02-06 00:00:00.000,1487
2020-02-07 00:00:00.000,2011
2020-02-08 00:00:00.000,2616
2020-02-09 00:00:00.000,3244
2020-02-10 00:00:00.000,3946
2020-02-11 00:00:00.000,4683
2020-02-12 00:00:00.000,5150
2020-02-13 00:00:00.000,6295
2020-02-14 00:00:00.000,8058
2020-02-15 00:00:00.000,9395
2020-02-16 00:00:00.000,10865
2020-02-17 00:00:00.000,12583
2020-02-18 00:00:00.000,14352
2020-02-19 00:00:00.000,16121
2020-02-20 00:00:00.000,18177
2020-02-21 00:00:00.000,18890
2020-02-22 00:00:00.000,22886
2020-02-23 00:00:00.000,23394
2020-02-24 00:00:00.000,25227
2020-02-25 00:00:00.000,27905
2020-02-26 00:00:00.000,30384
2020-02-27 00:00:00.000,33277
2020-02-28 00:00:00.000,36711
2020-02-29 00:00:00.000,39782
2020-03-01 00:00:00.000,42716
2020-03-02 00:00:00.000,45602
2020-03-03 00:00:00.000,48228
2020-03-04 00:00:00.000,51170
2020-03-05 00:00:00.000,53796
2020-03-06 00:00:00.000,55865
2020-03-07 00:00:00.000,58359
2020-03-08 00:00:00.000,60694
2020-03-09 00:00:00.000,62493
2020-03-10 00:00:00.000,64404
2020-03-11 00:00:00.000,67002
2020-03-12 00:00:00.000,68323
2020-03-13 00:00:00.000,70250
2020-03-14 00:00:00.000,72621
2020-03-15 00:00:00.000,76031
2020-03-16 00:00:00.000,78085
2020-03-17 00:00:00.000,80837
2020-03-18 00:00:00.000,83320
2020-03-19 00:00:00.000,84957
2020-03-20 00:00:00.000,87402
2020-03-21 00:00:00.000,91666
2020-03-22 00:00:00.000,97881
2020-03-23 00:00:00.000,98346
2020-03-24 00:00:00.000,107985
2020-03-25 00:00:00.000,113768
2020-03-26 00:00:00.000,122133
2020-03-27 00:00:00.000,130902
2020-03-28 00:00:00.000,139396
2020-03-29 00:00:00.000,148863
2020-03-30 00:00:00.000,164300
2020-03-31 00:00:00.000,177786
2020-04-01 00:00:00.000,192876
2020-04-02 00:00:00.000,209917
2020-04-03 00:00:00.000,225364
2020-04-04 00:00:00.000,245777
2020-04-05 00:00:00.000,259616
2020-04-06 00:00:00.000,276249
2020-04-07 00:00:00.000,299637
2020-04-08 00:00:00.000,328353
2020-04-09 00:00:00.000,353689
2020-04-10 00:00:00.000,375508
2020-04-11 00:00:00.000,401755
2020-04-12 00:00:00.000,421158
2020-04-13 00:00:00.000,448324
2020-04-14 00:00:00.000,473417
2020-04-15 00:00:00.000,510084
2020-04-16 00:00:00.000,540912
2020-04-17 00:00:00.000,567032
2020-04-18 00:00:00.000,590955
2020-04-19 00:00:00.000,622609
2020-04-20 00:00:00.000,644611
2020-04-21 00:00:00.000,679438
2020-04-22 00:00:00.000,709867
2020-04-23 00:00:00.000,738658
2020-04-24 00:00:00.000,788691
2020-04-25 00:00:00.000,816470
2020-04-26 00:00:00.000,845073
2020-04-27 00:00:00.000,872876
2020-04-28 00:00:00.000,906142
2020-04-29 00:00:00.000,948310
2020-04-30 00:00:00.000,1013281
2020-05-01 00:00:00.000,1051512
2020-05-02 00:00:00.000,1092429
2020-05-03 00:00:00.000,1124752
2020-05-04 00:00:00.000,1158816
2020-05-05 00:00:00.000,1195421
2020-05-06 00:00:00.000,1241339
2020-05-07 00:00:00.000,1280836
2020-05-08 00:00:00.000,1317358
2020-05-09 00:00:00.000,1370907
2020-05-10 00:00:00.000,1404501
2020-05-11 00:00:00.000,1451495
2020-05-12 00:00:00.000,1488530
2020-05-13 00:00:00.000,1544372
2020-05-14 00:00:00.000,1584107
2020-05-15 00:00:00.000,1632096
2020-05-16 00:00:00.000,1688687
2020-05-17 00:00:00.000,1729573
2020-05-18 00:00:00.000,1782471
2020-05-19 00:00:00.000,1834636
2020-05-20 00:00:00.000,1893549
2020-05-21 00:00:00.000,1944814
2020-05-22 00:00:00.000,2053465
2020-05-23 00:00:00.000,2108436
2020-05-24 00:00:00.000,2163876
2020-05-25 00:00:00.000,2227599
2020-05-26 00:00:00.000,2282813
2020-05-27 00:00:00.000,2346206
2020-05-28 00:00:00.000,2413063
2020-05-29 00:00:00.000,2490390
2020-05-30 00:00:00.000,2560862
2020-05-31 00:00:00.000,2637170
2020-06-01 00:00:00.000,2692065
2020-06-02 00:00:00.000,2796188
2020-06-03 00:00:00.000,2875330
2020-06-04 00:00:00.000,2945359
2020-06-05 00:00:00.000,3014515
2020-06-06 00:00:00.000,3086717
2020-06-07 00:00:00.000,3141810
2020-06-08 00:00:00.000,3293408
2020-06-09 00:00:00.000,3375668
2020-06-10 00:00:00.000,3454807
2020-06-11 00:00:00.000,3540696
2020-06-12 00:00:00.000,3620412
2020-06-13 00:00:00.000,3706353
2020-06-14 00:00:00.000,3777131
2020-06-15 00:00:00.000,3857338
2020-06-16 00:00:00.000,3955169
2020-06-17 00:00:00.000,4073955
2020-06-18 00:00:00.000,4155099
2020-06-19 00:00:00.000,4250107
2020-06-20 00:00:00.000,4365932
2020-06-21 00:00:00.000,4434628
2020-06-22 00:00:00.000,4526333
2020-06-23 00:00:00.000,4630391
2020-06-24 00:00:00.000,4746118
2020-06-25 00:00:00.000,4838921
2020-06-26 00:00:00.000,4945557
2020-06-27 00:00:00.000,5051864
2020-06-28 00:00:00.000,5140899
2020-06-29 00:00:00.000,5235813
2020-06-30 00:00:00.000,5353205
2020-07-01 00:00:00.000,5469134
2020-07-02 00:00:00.000,5754006
2020-07-03 00:00:00.000,5863847
2020-07-04 00:00:00.000,6059565
2020-07-05 00:00:00.000,6179006
