Hard Skills,Title,Certification,Education,Score
"Microsoft Project - Primavera","Artillery Military Mechanic","","",6
"Microsoft Skills","Artillery Military Mechanic","","",7
"Presentation Skills","Artillery Military Mechanic","","",10
"Quality Control","Artillery Military Mechanic","","",10
"Analytical Skills","Business Development Executive & Sales","","",10
"Business Strategy","Business Development Executive & Sales","","",10
"Marketing Skills","Business Development Executive & Sales","","",10
"Presentation Skills","Business Development Executive & Sales","","",7
"Procurement","Business Development Executive & Sales","","",8
"Project Management Skills","Business Development Executive & Sales","","",8
"Analytical Skills","","Business Development Foundations @ LinkedIn","",8
"Budgeting","","Business Development Foundations @ LinkedIn","",8
"Business Strategy","","Business Development Foundations @ LinkedIn","",10
"Marketing Skills","","Business Development Foundations @ LinkedIn","",9
"Analytical Skills","","","Executive M.B.A. @ International Hellenic University",10
"Budgeting","","","Executive M.B.A. @ International Hellenic University",8
"Business Strategy","","","Executive M.B.A. @ International Hellenic University",10
"Marketing Skills","","","Executive M.B.A. @ International Hellenic University",10
"Microsoft Project - Primavera","","","Executive M.B.A. @ International Hellenic University",8
"Microsoft Skills","","","Executive M.B.A. @ International Hellenic University",9
"Power BI","","","Executive M.B.A. @ International Hellenic University",9
"Presentation Skills","","","Executive M.B.A. @ International Hellenic University",8
"Project Management Skills","","","Executive M.B.A. @ International Hellenic University",9
"Analytical Skills","Internship","","",8
"Microsoft Skills","Internship","","",8
"Procurement","Internship","","",7
"Quality Control","Internship","","",8
"Budgeting","","LNG @ Lloyd's Maritime Academy","",7
"Business Strategy","","LNG @ Lloyd's Maritime Academy","",8
"Project Management Skills","","LNG @ Lloyd's Maritime Academy","",7
"Analytical Skills","Mechanical Supervisor","","",8
"Budgeting","Mechanical Supervisor","","",9
"Business Strategy","Mechanical Supervisor","","",7
"Microsoft Project - Primavera","Mechanical Supervisor","","",10
"Microsoft Skills","Mechanical Supervisor","","",10
"Procurement","Mechanical Supervisor","","",7
"Project Management Skills","Mechanical Supervisor","","",9
"Quality Control","Mechanical Supervisor","","",9
"Analytical Skills","","Microsoft Power BI @ Udemy","",9
"Business Strategy","","Microsoft Power BI @ Udemy","",8
"Microsoft Skills","","Microsoft Power BI @ Udemy","",9
"Power BI","","Microsoft Power BI @ Udemy","",10
"Analytical Skills","","Microsoft Project ALL: BEGINNER to EXPERT @ Udemy","",9
"Budgeting","","Microsoft Project ALL: BEGINNER to EXPERT @ Udemy","",8
"Microsoft Project - Primavera","","Microsoft Project ALL: BEGINNER to EXPERT @ Udemy","",10
"Microsoft Skills","","Microsoft Project ALL: BEGINNER to EXPERT @ Udemy","",10
"Project Management Skills","","Microsoft Project ALL: BEGINNER to EXPERT @ Udemy","",8
"Analytical Skills","","","MSc Mechanical Engineering @ University of Western Macedonia",10
"Budgeting","","","MSc Mechanical Engineering @ University of Western Macedonia",7
"Business Strategy","","","MSc Mechanical Engineering @ University of Western Macedonia",6
"Microsoft Project - Primavera","","","MSc Mechanical Engineering @ University of Western Macedonia",7
"Microsoft Skills","","","MSc Mechanical Engineering @ University of Western Macedonia",10
"Presentation Skills","","","MSc Mechanical Engineering @ University of Western Macedonia",7
"Project Management Skills","","","MSc Mechanical Engineering @ University of Western Macedonia",7
"Quality Control","","","MSc Mechanical Engineering @ University of Western Macedonia",8
"Analytical Skills","","PMP @ Project Management Institution","",9
"Budgeting","","PMP @ Project Management Institution","",7
"Business Strategy","","PMP @ Project Management Institution","",8
"Marketing Skills","","PMP @ Project Management Institution","",9
"Microsoft Project - Primavera","","PMP @ Project Management Institution","",10
"Procurement","","PMP @ Project Management Institution","",8
"Project Management Skills","","PMP @ Project Management Institution","",9
"Analytical Skills","Project Expeditor - Logistics Department","","",9
"Microsoft Skills","Project Expeditor - Logistics Department","","",8
"Quality Control","Project Expeditor - Logistics Department","","",8
"Analytical Skills","","Project Management Foundations : Small Projects @ LinkedIn","",9
"Business Strategy","","Project Management Foundations : Small Projects @ LinkedIn","",8
"Marketing Skills","","Project Management Foundations : Small Projects @ LinkedIn","",8
"Microsoft Project - Primavera","","Project Management Foundations : Small Projects @ LinkedIn","",9
"Procurement","","Project Management Foundations : Small Projects @ LinkedIn","",8
"Project Management Skills","","Project Management Foundations : Small Projects @ LinkedIn","",8
"Analytical Skills","Purchase Specialist","","",9
"Budgeting","Purchase Specialist","","",10
"Business Strategy","Purchase Specialist","","",7
"Microsoft Project - Primavera","Purchase Specialist","","",8
"Procurement","Purchase Specialist","","",10
"Project Management Skills","Purchase Specialist","","",8
"Quality Control","Purchase Specialist","","",7
"Analytical Skills","Quality Department - Pre-commissioning","","",10
"Microsoft Skills","Quality Department - Pre-commissioning","","",10
"Quality Control","Quality Department - Pre-commissioning","","",7
"Analytical Skills","Quality Engineer - QA/QC Department","","",8
"Microsoft Skills","Quality Engineer - QA/QC Department","","",9
"Quality Control","Quality Engineer - QA/QC Department","","",10
"Analytical Skills","","R- Programming @ Udemy","",10
"Microsoft Skills","","R- Programming @ Udemy","",10
"Analytical Skills","","Strategic Thinking @ LinkedIn","",9
"Budgeting","","Strategic Thinking @ LinkedIn","",9
"Business Strategy","","Strategic Thinking @ LinkedIn","",9
"Procurement","","Strategic Thinking @ LinkedIn","",9
"Project Management Skills","","Strategic Thinking @ LinkedIn","",9
