Area,Country,Location
"WE","Austria","Vienna, Austria"
"WE","WE HQ","Paris, France"
"WE","Belgium","Brussels, Belgium"
"WE","Denmark","Copenhagen, Denmark"
"WE","Finland","Helsinki, Finland"
"WE","Ireland","Dublin, Ireland"
"WE","Italy","Milan, Italy"
"WE","Netherlands","Amsterdam, Netherlands"
"WE","Norway","Oslo, Norway"
"WE","Portugal","Lisbon, Portugal"
"CEE","CEE HQ","Munich, Germany"
"CEE","Czech Republic","Prague, Czech Republic"
"CEE","Hungary","Budapest, Hungary"
"CEE","Poland","Warsaw, Poland"
"CEE","Romania","Bucharest, Romania"
"CEE","Slovakia","Bratislava, Slovakia"
"CEE","Ukraine","Kiev, Ukraine"
"CEE","Estonia","Talinn, Estonia"
"CEE","Latvia","Riga, Latvia"
"CEE","Lithuania","Vilnius, Lithuania"
"CEE","Bulgaria","Sofia, Bulgaria"
