Rev Sum Division,Business,BG,BG 2
"PC Hardware","SDA SMSG","WWLD","01. WWLD"
"MDOP-Client","Windows Client","WWLD","01. WWLD"
"Windows Client","Windows Client","WWLD","01. WWLD"
"Windows Legalization","Windows Client","WWLD","01. WWLD"
"Windows Intune - Client","Windows Client","WWLD","01. WWLD"
"Windows Client (Non-SMSG)","Windows Client (Local OEM)","WWLD","01. WWLD"
"Windows Live Display","Windows Live","WWLD","01. WWLD"
"Windows Live Subs & Trans","Windows Live","WWLD","01. WWLD"
"Developer Tools","Developer Tools","STB","02. STB"
"Biztalk Server","Other Server & Tools","STB","02. STB"
"Other Server","Other Server & Tools","STB","02. STB"
"S&T CAL Suites - Core CAL","Other Server & Tools","STB","02. STB"
"S&T CAL Suites - ECAL","Other Server & Tools","STB","02. STB"
"System Center Client","Other Server & Tools","STB","02. STB"
"System Center Server","Other Server & Tools","STB","02. STB"
"Identity & Direct Access","Other Server & Tools","STB","02. STB"
"Windows Intune - Server and Tools","Other Server & Tools","STB","02. STB"
"SQL Server Premium","SQL Server","STB","02. STB"
"SQL Server Standard & CAL","SQL Server","STB","02. STB"
"SQL Azure","SQL Server","STB","02. STB"
"Windows Server & Solutions & CAL","Windows Server and Azure","STB","02. STB"
"Windows Server Other","Windows Server and Azure","STB","02. STB"
"Windows Server Premium","Windows Server and Azure","STB","02. STB"
"Windows Azure","Windows Server and Azure","STB","02. STB"
"Office","Information Worker","MOD","03. MOD"
"Other IW Apps","Information Worker","MOD","03. MOD"
"Visio","Information Worker","MOD","03. MOD"
"Exchange Server & CAL","OBPG","MOD","03. MOD"
"IW CAL Suites - ECAL","OBPG","MOD","03. MOD"
"Project","OBPG","MOD","03. MOD"
"SharePoint CAL","OBPG","MOD","03. MOD"
"SharePoint Server","OBPG","MOD","03. MOD"
"IW CAL Suites - Core CAL","OBPG","MOD","03. MOD"
"Forefront Protection","OBPG","MOD","03. MOD"
"Office 365","OBPG","MOD","03. MOD"
"SharePoint for Internet Sites","OBPG","MOD","03. MOD"
"Lync Server & CAL","OBPG","MOD","03. MOD"
"FAST Legacy","OBPG","MOD","03. MOD"
"Office for Mac","Office for Mac","MOD","03. MOD"
"MPN (formerly MSPP)","MPN","MPN","06. MPN"
"Dynamics CRM","MBS","MBS","04. MBS"
"Dynamics ERP","MBS","MBS","04. MBS"
"Other MBS","MBS","MBS","04. MBS"
"Xbox LIVE Subscriptions","IEB (SMSG Retail)","IEB","07. IEB"
"Kinect Sensor","IEB (SMSG Retail)","IEB","07. IEB"
"Studios","IEB (SMSG Retail)","IEB","07. IEB"
"Accessories","IEB (SMSG Retail)","IEB","07. IEB"
"Xbox LIVE Transactions","IEB (SMSG Retail)","IEB","07. IEB"
"2nd Party Games","IEB (SMSG Retail)","IEB","07. IEB"
"Console","IEB (SMSG Retail)","IEB","07. IEB"
"Mediaroom Products and Services","IEB (SMSG)","IEB","07. IEB"
"LIVE Advertising","IEB C&O","IEB","07. IEB"
"Connected Devices","Windows Phone","MCB","08. MCB"
"Other Mobile","Windows Phone","MCB","08. MCB"
"WP Classic","Windows Phone","MCB","08. MCB"
"Zune Accessories","Zune Hardware","MCB","08. MCB"
"Zune Devices","Zune Hardware","MCB","08. MCB"
"OSD Tools","3rd Party/Tools","OSD","05. OSD"
"3rd Party Inventory","3rd Party/Tools","OSD","05. OSD"
"Search Network Affiliate","Affiliate Search","OSD","05. OSD"
"Bing Advertising","Bing","OSD","05. OSD"
"OSD Subs & Trans OSD SMSG","Bing OSD SMSG","OSD","05. OSD"
"Speech at Microsoft","Bing OSD SMSG","OSD","05. OSD"
"OSD Other SMSG","Bing OSD SMSG","OSD","05. OSD"
"Emerging Ads","Emerging Ads","OSD","05. OSD"
"MSN Advertising","MSN","OSD","05. OSD"
"OSD Subs & Trans","MSN","OSD","05. OSD"
