Fiscal Year,Period,Area,Country,Std Rptg Mid Reported Subsegment,Rev Sum Division,Forecast Planning Level,Budget Sales,Forecast Sales
"FY18",12,"WE","Denmark","EPG Public Sector","SQL Server Premium","EA Add-On",3921248.1779,0
"FY18",12,"WE","Denmark","EPG Public Sector","Exchange Server & CAL","EA Add-On",467874.4621,0
"FY18",12,"WE","Denmark","EPG Public Sector","Windows Client","EA Add-On",424508.9528,0
"FY18",12,"WE","Denmark","EPG Public Sector","Windows Server Premium","EA Add-On",420034.2225,0
"FY18",12,"WE","Denmark","EPG Public Sector","S&T CAL Suites - Core CAL","EA Add-On",396562.3536,0
"FY18",12,"WE","Denmark","EPG Public Sector","System Center Server","EA Add-On",371503.2293,0
"FY18",6,"WE","Denmark","EPG Public Sector","Biztalk Server","EA Add-On",365035.4544,0
"FY18",12,"WE","Denmark","EPG Public Sector","Windows Server & Solutions & CAL","EA Add-On",322890.814,0
"FY18",12,"WE","Denmark","EPG Public Sector","Developer Tools","EA Add-On",297092.8485,0
"FY18",12,"WE","Denmark","EPG Public Sector","IW CAL Suites - Core CAL","EA Add-On",247153.4314,0
"FY18",11,"WE","Denmark","EPG Public Sector","Office 365","EA Add-On",239109.0658,0
"FY18",8,"WE","Denmark","EPG Public Sector","S&T CAL Suites - Core CAL","EA Add-On",177959.3003,0
"FY18",8,"WE","Denmark","EPG Public Sector","IW CAL Suites - Core CAL","EA Add-On",167939.8529,0
"FY18",8,"WE","Denmark","EPG Public Sector","Project","EA Add-On",156321.969,0
"FY18",12,"WE","Denmark","EPG Public Sector","Lync Server & CAL","EA Add-On",150890.9543,0
"FY18",6,"WE","Denmark","EPG Public Sector","Office","EA Add-On",107053.4375,0
"FY18",12,"WE","Denmark","EPG Public Sector","Identity & Direct Access","EA Add-On",95988.0495,0
"FY18",5,"WE","Denmark","EPG Public Sector","SQL Server Premium","EA Add-On",80611.1387,0
"FY18",11,"WE","Denmark","EPG Public Sector","Dynamics CRM","EA Add-On",78822.519,0
"FY18",10,"WE","Denmark","EPG Public Sector","Windows Server & Solutions & CAL","EA Add-On",72581.677,0
"FY18",7,"WE","Denmark","EPG Public Sector","Office","EA Add-On",68725.9542,0
"FY18",12,"WE","Denmark","EPG Public Sector","SharePoint for Internet Sites","EA Add-On",67660.9245,0
"FY18",9,"WE","Denmark","EPG Public Sector","Visio","EA Add-On",63714.513,0
"FY18",12,"WE","Denmark","EPG Public Sector","IW CAL Suites - ECAL","EA Add-On",48868.7353,0
"FY18",6,"WE","Denmark","EPG Public Sector","Windows Client","EA Add-On",46372.2021,0
"FY18",12,"WE","Denmark","EPG Public Sector","System Center Client","EA Add-On",30463.8779,0
"FY18",11,"WE","Denmark","EPG Public Sector","Windows Server & Solutions & CAL","EA Add-On",29181.1581,0
