Fiscal Year,Area,Subsidiary,Rev Sum Division,Std Rptg Mid Reported Subsegment,Forecast Planning Level,Period,Sales
"FY18","WE","Denmark","Biztalk Server","EPG Commercial","EA Recurring",1,4556.598
"FY18","WE","Denmark","Biztalk Server","EPG Commercial","EA Recurring",4,957.6404
"FY18","WE","Denmark","Biztalk Server","EPG Commercial","EA Recurring",5,123.0008
"FY18","WE","Denmark","Biztalk Server","EPG Commercial","EA Recurring",7,581.81
"FY18","WE","Denmark","Biztalk Server","EPG Commercial","EA Recurring",9,10720.8
"FY18","WE","Denmark","Biztalk Server","EPG Commercial","EA Recurring",10,52935.4721
"FY18","WE","Denmark","Biztalk Server","EPG Commercial","EA Recurring",11,298196.1318
"FY18","WE","Denmark","Biztalk Server","EPG Commercial","EA Recurring",12,19537.126
"FY18","WE","Denmark","Developer Tools","EPG Commercial","EA Recurring",1,137250.192
"FY18","WE","Denmark","Developer Tools","EPG Commercial","EA Recurring",2,9703.92
"FY18","WE","Denmark","Developer Tools","EPG Commercial","EA Recurring",3,1067.34
"FY18","WE","Denmark","Developer Tools","EPG Commercial","EA Recurring",4,95242.193
"FY18","WE","Denmark","Developer Tools","EPG Commercial","EA Recurring",5,9703.92
"FY18","WE","Denmark","Developer Tools","EPG Commercial","EA Recurring",6,168916.3262
"FY18","WE","Denmark","Developer Tools","EPG Commercial","EA Recurring",7,120223.6843
"FY18","WE","Denmark","Developer Tools","EPG Commercial","EA Recurring",8,17125.68
"FY18","WE","Denmark","Developer Tools","EPG Commercial","EA Recurring",9,111280.82
"FY18","WE","Denmark","Developer Tools","EPG Commercial","EA Recurring",10,1276138.771
"FY18","WE","Denmark","Developer Tools","EPG Commercial","EA Recurring",11,409133.102
"FY18","WE","Denmark","Developer Tools","EPG Commercial","EA Recurring",12,1215517.198
"FY18","WE","Denmark","Dynamics CRM","EPG Commercial","EA Recurring",1,8334.13
"FY18","WE","Denmark","Dynamics CRM","EPG Commercial","EA Recurring",2,3759.33
"FY18","WE","Denmark","Dynamics CRM","EPG Commercial","EA Recurring",3,16348.93
"FY18","WE","Denmark","Dynamics CRM","EPG Commercial","EA Recurring",4,8704.1933
"FY18","WE","Denmark","Dynamics CRM","EPG Commercial","EA Recurring",5,3387.55
"FY18","WE","Denmark","Dynamics CRM","EPG Commercial","EA Recurring",6,3387.55
"FY18","WE","Denmark","Dynamics CRM","EPG Commercial","EA Recurring",7,4829.8282
"FY18","WE","Denmark","Dynamics CRM","EPG Commercial","EA Recurring",8,3387.55
"FY18","WE","Denmark","Dynamics CRM","EPG Commercial","EA Recurring",9,16348.93
"FY18","WE","Denmark","Dynamics CRM","EPG Commercial","EA Recurring",10,198814.6747
"FY18","WE","Denmark","Dynamics CRM","EPG Commercial","EA Recurring",11,12908.1764
"FY18","WE","Denmark","Dynamics CRM","EPG Commercial","EA Recurring",12,263953.8321
"FY18","WE","Denmark","Exchange Server & CAL","EPG Commercial","EA Recurring",1,42753.388
"FY18","WE","Denmark","Exchange Server & CAL","EPG Commercial","EA Recurring",2,7815.17
"FY18","WE","Denmark","Exchange Server & CAL","EPG Commercial","EA Recurring",3,1716.2101
"FY18","WE","Denmark","Exchange Server & CAL","EPG Commercial","EA Recurring",4,109954.1907
"FY18","WE","Denmark","Exchange Server & CAL","EPG Commercial","EA Recurring",5,8188.1313
"FY18","WE","Denmark","Exchange Server & CAL","EPG Commercial","EA Recurring",6,65861.9138
"FY18","WE","Denmark","Exchange Server & CAL","EPG Commercial","EA Recurring",7,135222.6155
"FY18","WE","Denmark","Exchange Server & CAL","EPG Commercial","EA Recurring",8,8244.03
"FY18","WE","Denmark","Exchange Server & CAL","EPG Commercial","EA Recurring",9,54653.28
"FY18","WE","Denmark","Exchange Server & CAL","EPG Commercial","EA Recurring",10,282823.4434
"FY18","WE","Denmark","Exchange Server & CAL","EPG Commercial","EA Recurring",11,19324.7704
"FY18","WE","Denmark","Exchange Server & CAL","EPG Commercial","EA Recurring",12,65692.2873
"FY18","WE","Denmark","Forefront Protection","EPG Commercial","EA Recurring",3,170.2122
"FY18","WE","Denmark","Forefront Protection","EPG Commercial","EA Recurring",4,4379.8754
"FY18","WE","Denmark","Forefront Protection","EPG Commercial","EA Recurring",6,159.8174
"FY18","WE","Denmark","Forefront Protection","EPG Commercial","EA Recurring",7,57991.727
"FY18","WE","Denmark","Forefront Protection","EPG Commercial","EA Recurring",9,46512
"FY18","WE","Denmark","Forefront Protection","EPG Commercial","EA Recurring",10,15345.36
"FY18","WE","Denmark","Forefront Protection","EPG Commercial","EA Recurring",12,71448.0324
"FY18","WE","Denmark","Identity & Direct Access","EPG Commercial","EA Recurring",1,11504.19
"FY18","WE","Denmark","Identity & Direct Access","EPG Commercial","EA Recurring",2,2689.36
"FY18","WE","Denmark","Identity & Direct Access","EPG Commercial","EA Recurring",3,414
"FY18","WE","Denmark","Identity & Direct Access","EPG Commercial","EA Recurring",4,28026.2267
"FY18","WE","Denmark","Identity & Direct Access","EPG Commercial","EA Recurring",5,1213.44
"FY18","WE","Denmark","Identity & Direct Access","EPG Commercial","EA Recurring",6,4781.11
