MS Sales Month,MonthName,Quarter,Period,MonthNumber
2017-07-01 00:00:00.000,"July","FY18-Q1",1,"2017-07"
2017-08-01 00:00:00.000,"August","FY18-Q1",2,"2017-08"
2017-09-01 00:00:00.000,"September","FY18-Q1",3,"2017-09"
2017-10-01 00:00:00.000,"October","FY18-Q2",4,"2017-10"
2017-11-01 00:00:00.000,"November","FY18-Q2",5,"2017-11"
2017-12-01 00:00:00.000,"December","FY18-Q2",6,"2017-12"
2018-01-01 00:00:00.000,"January","FY18-Q3",7,"2018-01"
2018-02-01 00:00:00.000,"February","FY18-Q3",8,"2018-02"
2018-03-01 00:00:00.000,"March","FY18-Q3",9,"2018-03"
2018-04-01 00:00:00.000,"April","FY18-Q4",10,"2018-04"
2018-05-01 00:00:00.000,"May","FY18-Q4",11,"2018-05"
2018-06-01 00:00:00.000,"June","FY18-Q4",12,"2018-06"
