School Name,MOE Programmes,ID
HWA CHONG INSTITUTION,LANGUAGE ELECTIVE PROGRAMME (CHINESE),136
AHMAD IBRAHIM SECONDARY SCHOOL,ENHANCED MUSIC PROGRAMME,4
CHUNG CHENG HIGH SCHOOL (MAIN),ENHANCED MUSIC PROGRAMME,70
HWA CHONG INSTITUTION,BICULTURAL STUDIES PROGRAMME,136
CHIJ SECONDARY (TOA PAYOH),ART ELECTIVE PROGRAMME,61
EUNOIA JUNIOR COLLEGE,MUSIC ELECTIVE PROGRAMME,95
BUKIT PANJANG GOVT. HIGH SCHOOL,ART ELECTIVE PROGRAMME,38
TEMASEK JUNIOR COLLEGE,LANGUAGE ELECTIVE PROGRAMME (CHINESE),297
ANGLICAN HIGH SCHOOL,LANGUAGE ELECTIVE PROGRAMME (CHINESE),13
BUKIT PANJANG GOVT. HIGH SCHOOL,LANGUAGE ELECTIVE PROGRAMME (MALAY),38
NATIONAL JUNIOR COLLEGE,LANGUAGE ELECTIVE PROGRAMME (TAMIL),184
JURONG PIONEER JUNIOR COLLEGE,LANGUAGE ELECTIVE PROGRAMME (CHINESE),142
TANJONG KATONG GIRLS' SCHOOL,MUSIC ELECTIVE PROGRAMME,289
JURONG WEST SECONDARY SCHOOL,ENHANCED ART PROGRAMME,146
TANJONG KATONG SECONDARY SCHOOL,LANGUAGE ELECTIVE PROGRAMME (MALAY),291
NANYANG JUNIOR COLLEGE,ART ELECTIVE PROGRAMME,182
VICTORIA SCHOOL,ART ELECTIVE PROGRAMME,305
RIVERSIDE SECONDARY SCHOOL,LANGUAGE ELECTIVE PROGRAMME (TAMIL),244
RAFFLES GIRLS' SCHOOL (SECONDARY),MUSIC ELECTIVE PROGRAMME,237
NAN CHIAU HIGH SCHOOL,ENHANCED ART PROGRAMME,177
ANGLO-CHINESE SCHOOL (INDEPENDENT),MUSIC ELECTIVE PROGRAMME,16
ST. MARGARET'S SECONDARY SCHOOL,ENHANCED MUSIC PROGRAMME,279
ANGLO-CHINESE JUNIOR COLLEGE,MUSIC ELECTIVE PROGRAMME,14
NATIONAL JUNIOR COLLEGE,ART ELECTIVE PROGRAMME,184
JURONG PIONEER JUNIOR COLLEGE,LANGUAGE ELECTIVE PROGRAMME (MALAY),142
SINGAPORE CHINESE GIRLS' SCHOOL,BICULTURAL STUDIES PROGRAMME,260
NANYANG GIRLS' HIGH SCHOOL,BICULTURAL STUDIES PROGRAMME,181
RAFFLES GIRLS' SCHOOL (SECONDARY),REGIONAL STUDIES PROGRAMME,237
CEDAR GIRLS' SECONDARY SCHOOL,REGIONAL STUDIES PROGRAMME,50
NAN CHIAU HIGH SCHOOL,LANGUAGE ELECTIVE PROGRAMME (CHINESE),177
RAFFLES INSTITUTION,LANGUAGE ELECTIVE PROGRAMME (MALAY),238
ZHONGHUA SECONDARY SCHOOL,ART ELECTIVE PROGRAMME,346
ANGLO-CHINESE JUNIOR COLLEGE,LANGUAGE ELECTIVE PROGRAMME (ENGLISH),14
NAVAL BASE SECONDARY SCHOOL,ENHANCED ART PROGRAMME,186
ORCHID PARK SECONDARY SCHOOL,ENHANCED ART PROGRAMME,204
CHIJ ST. NICHOLAS GIRLS' SCHOOL,BICULTURAL STUDIES PROGRAMME,63
TAMPINES MERIDIAN JUNIOR COLLEGE,LANGUAGE ELECTIVE PROGRAMME (MALAY),284
DUNMAN HIGH SCHOOL,LANGUAGE ELECTIVE PROGRAMME (CHINESE),87
NANYANG GIRLS' HIGH SCHOOL,ART ELECTIVE PROGRAMME,181
CATHOLIC HIGH SCHOOL,MUSIC ELECTIVE PROGRAMME,48
YISHUN INNOVA JUNIOR COLLEGE,LANGUAGE ELECTIVE PROGRAMME (MALAY),331
ANDERSON SECONDARY SCHOOL,LANGUAGE ELECTIVE PROGRAMME (TAMIL),9
CHIJ KATONG CONVENT,ENHANCED ART PROGRAMME,56
METHODIST GIRLS' SCHOOL (SECONDARY),MUSIC ELECTIVE PROGRAMME,173
ANGLO-CHINESE SCHOOL (INDEPENDENT),REGIONAL STUDIES PROGRAMME,16
TAMPINES MERIDIAN JUNIOR COLLEGE,DRAMA ELECTIVE PROGRAMME,284
ANGLO-CHINESE JUNIOR COLLEGE,DRAMA ELECTIVE PROGRAMME,14
MARIS STELLA HIGH SCHOOL,LANGUAGE ELECTIVE PROGRAMME (CHINESE),163
VICTORIA JUNIOR COLLEGE,DRAMA ELECTIVE PROGRAMME,304
RAFFLES INSTITUTION,LANGUAGE ELECTIVE PROGRAMME (ENGLISH),238
NANYANG JUNIOR COLLEGE,LANGUAGE ELECTIVE PROGRAMME (CHINESE),182
YUHUA SECONDARY SCHOOL,ENHANCED MUSIC PROGRAMME,338
CATHOLIC JUNIOR COLLEGE,LANGUAGE ELECTIVE PROGRAMME (ENGLISH),49
DUNMAN HIGH SCHOOL,BICULTURAL STUDIES PROGRAMME,87
NAN HUA HIGH SCHOOL,LANGUAGE ELECTIVE PROGRAMME (CHINESE),179
DUNMAN HIGH SCHOOL,MUSIC ELECTIVE PROGRAMME,87
NATIONAL JUNIOR COLLEGE,LANGUAGE ELECTIVE PROGRAMME (MALAY),184
CRESCENT GIRLS' SCHOOL,MUSIC ELECTIVE PROGRAMME,79
NANYANG GIRLS' HIGH SCHOOL,LANGUAGE ELECTIVE PROGRAMME (CHINESE),181
YISHUN TOWN SECONDARY SCHOOL,LANGUAGE ELECTIVE PROGRAMME (TAMIL),334
RAFFLES INSTITUTION,REGIONAL STUDIES PROGRAMME,238
BUKIT PANJANG GOVT. HIGH SCHOOL,ELECTIVE PROGRAMME IN MALAY LANGUAGE FOR SECONDARY SCHOOL (EMAS),38
HWA CHONG INSTITUTION,ART ELECTIVE PROGRAMME,136
VICTORIA SCHOOL,REGIONAL STUDIES PROGRAMME,305
RAFFLES INSTITUTION,MUSIC ELECTIVE PROGRAMME,238
ST. ANDREW'S SECONDARY SCHOOL,ENHANCED ART PROGRAMME,268
TANJONG KATONG SECONDARY SCHOOL,ELECTIVE PROGRAMME IN MALAY LANGUAGE FOR SECONDARY SCHOOL (EMAS),291
MERIDIAN SECONDARY SCHOOL,ENHANCED ART PROGRAMME,171
EUNOIA JUNIOR COLLEGE,BICULTURAL STUDIES PROGRAMME,95
ANDERSON SECONDARY SCHOOL,ELECTIVE PROGRAMME IN MALAY LANGUAGE FOR SECONDARY SCHOOL (EMAS),9
NGEE ANN SECONDARY SCHOOL,ENHANCED ART PROGRAMME,190
CHUNG CHENG HIGH SCHOOL (MAIN),LANGUAGE ELECTIVE PROGRAMME (CHINESE),70
ANDERSON SECONDARY SCHOOL,LANGUAGE ELECTIVE PROGRAMME (MALAY),9
COMMONWEALTH SECONDARY SCHOOL,LANGUAGE ELECTIVE PROGRAMME (TAMIL),74
CHIJ ST. NICHOLAS GIRLS' SCHOOL,MUSIC ELECTIVE PROGRAMME,63
RIVER VALLEY HIGH SCHOOL,BICULTURAL STUDIES PROGRAMME,241
TEMASEK JUNIOR COLLEGE,MUSIC ELECTIVE PROGRAMME,297
CATHOLIC HIGH SCHOOL,BICULTURAL STUDIES PROGRAMME,48
NEW TOWN SECONDARY SCHOOL,ENHANCED ART PROGRAMME,188
