Zip,City,State,Region,District,Country,ZipCountry
"68274","","Oaxaca","","Oaxaca de Juarez","Mexico","68274,Mexico"
"68275","","Oaxaca","","Oaxaca de Juarez","Mexico","68275,Mexico"
"68276","","Oaxaca","","Oaxaca de Juarez","Mexico","68276,Mexico"
"71512","","Oaxaca","","Ocotlan de Morelos","Mexico","71512,Mexico"
"71513","","Oaxaca","","Ocotlan de Morelos","Mexico","71513,Mexico"
"71515","","Oaxaca","","Ocotlan de Morelos","Mexico","71515,Mexico"
"71565","","Oaxaca","","La Pe","Mexico","71565,Mexico"
"71566","","Oaxaca","","La Pe","Mexico","71566,Mexico"
"71750","","Oaxaca","","Pinotepa de Don Luis","Mexico","71750,Mexico"
"70960","","Oaxaca","","Pluma Hidalgo","Mexico","70960,Mexico"
"70961","","Oaxaca","","Pluma Hidalgo","Mexico","70961,Mexico"
"70962","","Oaxaca","","Pluma Hidalgo","Mexico","70962,Mexico"
"71550","","Oaxaca","","San Jose Del Progreso","Mexico","71550,Mexico"
"71000","","Oaxaca","","Putla Villa de Guerrero","Mexico","71000,Mexico"
"71001","","Oaxaca","","Putla Villa de Guerrero","Mexico","71001,Mexico"
"71002","","Oaxaca","","Putla Villa de Guerrero","Mexico","71002,Mexico"
"71003","","Oaxaca","","Putla Villa de Guerrero","Mexico","71003,Mexico"
"71004","","Oaxaca","","Putla Villa de Guerrero","Mexico","71004,Mexico"
"71005","","Oaxaca","","Putla Villa de Guerrero","Mexico","71005,Mexico"
"71010","","Oaxaca","","Putla Villa de Guerrero","Mexico","71010,Mexico"
"71011","","Oaxaca","","Putla Villa de Guerrero","Mexico","71011,Mexico"
"71012","","Oaxaca","","Putla Villa de Guerrero","Mexico","71012,Mexico"
"71014","","Oaxaca","","Putla Villa de Guerrero","Mexico","71014,Mexico"
"71015","","Oaxaca","","Putla Villa de Guerrero","Mexico","71015,Mexico"
"71016","","Oaxaca","","Putla Villa de Guerrero","Mexico","71016,Mexico"
"71017","","Oaxaca","","Putla Villa de Guerrero","Mexico","71017,Mexico"
"71018","","Oaxaca","","Putla Villa de Guerrero","Mexico","71018,Mexico"
"71020","","Oaxaca","","Putla Villa de Guerrero","Mexico","71020,Mexico"
"70590","","Oaxaca","","Santa Catarina Quioquitani","Mexico","70590,Mexico"
"70170","","Oaxaca","","Reforma de Pineda","Mexico","70170,Mexico"
"71080","","Oaxaca","","La Reforma","Mexico","71080,Mexico"
"71081","","Oaxaca","","La Reforma","Mexico","71081,Mexico"
"71087","","Oaxaca","","La Reforma","Mexico","71087,Mexico"
"68237","","Oaxaca","","Reyes Etla","Mexico","68237,Mexico"
"70450","","Oaxaca","","Rojas de Cuauhtemoc","Mexico","70450,Mexico"
"70700","","Oaxaca","","Salina Cruz","Mexico","70700,Mexico"
"70701","","Oaxaca","","Salina Cruz","Mexico","70701,Mexico"
"70703","","Oaxaca","","Salina Cruz","Mexico","70703,Mexico"
"70704","","Oaxaca","","Salina Cruz","Mexico","70704,Mexico"
"71580","","Oaxaca","","San Agustin Amatengo","Mexico","71580,Mexico"
"69440","","Oaxaca","","San Agustin Atenango","Mexico","69440,Mexico"
"69449","","Oaxaca","","San Agustin Atenango","Mexico","69449,Mexico"
"71764","","Oaxaca","","San Agustin Chayuco","Mexico","71764,Mexico"
"71765","","Oaxaca","","San Agustin Chayuco","Mexico","71765,Mexico"
"71766","","Oaxaca","","San Agustin Chayuco","Mexico","71766,Mexico"
"71767","","Oaxaca","","San Agustin Chayuco","Mexico","71767,Mexico"
"71238","","Oaxaca","","San Agustin de las Juntas","Mexico","71238,Mexico"
"68247","","Oaxaca","","San Agustin Etla","Mexico","68247,Mexico"
"70920","","Oaxaca","","San Agustin Loxicha","Mexico","70920,Mexico"
"70921","","Oaxaca","","San Agustin Loxicha","Mexico","70921,Mexico"
"69860","","Oaxaca","","San Agustin Tlacotepec","Mexico","69860,Mexico"
"68290","","Oaxaca","","San Agustin Yatareni","Mexico","68290,Mexico"
"71170","","Oaxaca","","San Andres Cabecera Nueva","Mexico","71170,Mexico"
"69064","","Oaxaca","","San Andres Dinicuiti","Mexico","69064,Mexico"
"71770","","Oaxaca","","San Andres Huaxpaltepec","Mexico","71770,Mexico"
"71771","","Oaxaca","","San Andres Huaxpaltepec","Mexico","71771,Mexico"
"68287","","Oaxaca","","San Andres Huayapam","Mexico","68287,Mexico"
"71224","","Oaxaca","","San Andres Ixtlahuaca","Mexico","71224,Mexico"
"69550","","Oaxaca","","San Andres Lagunas","Mexico","69550,Mexico"
"69551","","Oaxaca","","San Andres Lagunas","Mexico","69551,Mexico"
"69950","","Oaxaca","","San Andres Nuxiño","Mexico","69950,Mexico"
"69951","","Oaxaca","","San Andres Nuxiño","Mexico","69951,Mexico"
"70868","","Oaxaca","","San Andres Paxtlan","Mexico","70868,Mexico"
"70869","","Oaxaca","","San Andres Paxtlan","Mexico","70869,Mexico"
"69665","","Oaxaca","","San Andres Sinaxtla","Mexico","69665,Mexico"
"68844","","Oaxaca","","San Andres Solaga","Mexico","68844,Mexico"
"68846","","Oaxaca","","San Andres Solaga","Mexico","68846,Mexico"
"68630","","Oaxaca","","San Andres Teotilalpam","Mexico","68630,Mexico"
