ProductID,Category,Segment,ManufacturerID,Product,Product (clusters)
536,"Urban","Convenience",7,"Maximus UC","Cluster1"
537,"Urban","Convenience",7,"Maximus UC","Cluster1"
538,"Urban","Convenience",7,"Maximus UC","Cluster1"
539,"Urban","Convenience",7,"Maximus UC","Cluster1"
540,"Urban","Convenience",7,"Maximus UC","Cluster1"
541,"Urban","Convenience",7,"Maximus UC","Cluster1"
542,"Urban","Convenience",7,"Maximus UC","Cluster1"
543,"Urban","Convenience",7,"Maximus UC","Cluster1"
544,"Urban","Convenience",7,"Maximus UC","Cluster1"
545,"Urban","Convenience",7,"Maximus UC","Cluster1"
546,"Urban","Convenience",7,"Maximus UC","Cluster1"
547,"Urban","Convenience",7,"Maximus UC","Cluster1"
548,"Urban","Convenience",7,"Maximus UC","Cluster1"
549,"Urban","Convenience",7,"Maximus UC","Cluster1"
550,"Urban","Convenience",7,"Maximus UC","Cluster1"
551,"Urban","Convenience",7,"Maximus UC","Cluster1"
552,"Urban","Convenience",7,"Maximus UC","Cluster1"
553,"Urban","Convenience",7,"Maximus UC","Cluster1"
554,"Urban","Convenience",7,"Maximus UC","Cluster1"
555,"Urban","Convenience",7,"Maximus UC","Cluster1"
556,"Urban","Convenience",7,"Maximus UC","Cluster1"
557,"Urban","Convenience",7,"Maximus UC","Cluster1"
558,"Urban","Convenience",7,"Maximus UC","Cluster1"
559,"Urban","Convenience",7,"Maximus UC","Cluster1"
560,"Urban","Convenience",7,"Maximus UC","Cluster1"
561,"Urban","Convenience",7,"Maximus UC","Cluster1"
562,"Urban","Convenience",7,"Maximus UC","Cluster1"
563,"Urban","Convenience",7,"Maximus UC","Cluster1"
564,"Urban","Convenience",7,"Maximus UC","Cluster1"
565,"Urban","Convenience",7,"Maximus UC","Cluster1"
566,"Urban","Convenience",7,"Maximus UC","Cluster1"
567,"Urban","Convenience",7,"Maximus UC","Cluster1"
568,"Urban","Convenience",7,"Maximus UC","Cluster1"
569,"Urban","Convenience",7,"Maximus UC","Cluster1"
570,"Urban","Convenience",7,"Maximus UC","Cluster1"
571,"Urban","Convenience",7,"Maximus UC","Cluster1"
572,"Urban","Convenience",7,"Maximus UC","Cluster1"
573,"Urban","Convenience",7,"Maximus UC","Cluster1"
574,"Urban","Convenience",7,"Maximus UC","Cluster1"
575,"Urban","Convenience",7,"Maximus UC","Cluster1"
576,"Urban","Convenience",7,"Maximus UC","Cluster1"
577,"Urban","Convenience",7,"Maximus UC","Cluster1"
578,"Urban","Convenience",7,"Maximus UC","Cluster1"
579,"Urban","Convenience",7,"Maximus UC","Cluster1"
580,"Urban","Convenience",7,"Maximus UC","Cluster1"
581,"Urban","Convenience",7,"Maximus UC","Cluster1"
582,"Urban","Convenience",7,"Maximus UC","Cluster1"
583,"Urban","Convenience",7,"Maximus UC","Cluster1"
584,"Urban","Convenience",7,"Maximus UC","Cluster1"
585,"Urban","Convenience",7,"Maximus UC","Cluster1"
586,"Urban","Convenience",7,"Maximus UC","Cluster1"
587,"Urban","Convenience",7,"Maximus UC","Cluster1"
588,"Urban","Convenience",7,"Maximus UC","Cluster1"
589,"Urban","Convenience",7,"Maximus UC","Cluster1"
590,"Urban","Convenience",7,"Maximus UC","Cluster1"
591,"Urban","Convenience",7,"Maximus UC","Cluster1"
592,"Urban","Convenience",7,"Maximus UC","Cluster1"
