id,pesid,data_inversa,dia_semana,horario,uf,br,km,municipio,elemento_transito,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,condicao_metereologica,tipo_pista,tracado_via,uso_solo,tipo_veiculo,tipo_envolvido,estado_fisico,sexo,ilesos,feridos_leves,feridos_graves,mortos,latitude,longitude
66994,144487,2017-09-02 00:00:00.000,sábado,1899-12-30 10:00:00.000,MG,381,908,CAMBUI,Homem,Falta de Atenção à Condução,Colisão lateral,Com Vítimas Feridas,Pleno dia,Céu Claro,Dupla,Curva,Rural,Automóvel,Condutor,Lesões Leves,Masculino,0,1,0,0,-22.68552,-46.10174
40245,88525,2017-05-24 00:00:00.000,quarta-feira,1899-12-30 18:35:00.000,MG,153,111,PRATA,Homem,Falta de Atenção à Condução,Colisão lateral,Com Vítimas Feridas,Anoitecer,Céu Claro,Simples,Reta,Urbano,Automóvel,Condutor,Lesões Leves,Masculino,0,1,0,0,-19.3289149,-48.90512082
315943,703640,2020-10-20 00:00:00.000,terça-feira,1899-12-30 13:30:00.000,MG,40,518,RIBEIRAO DAS NEVES,Via,Pista Escorregadia,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Chuva,Dupla,Curva,Urbano,Caminhão,Testemunha,Não Informado,Não Informado,0,0,0,0,-19.8321242,-44.08208533
177216,392074,2018-12-10 00:00:00.000,segunda-feira,1899-12-30 17:00:00.000,MG,153,129,PRATA,Homem,Falta de Atenção à Condução,Colisão traseira,Com Vítimas Feridas,Pleno dia,Céu Claro,Simples,Reta,Rural,Caminhonete,Passageiro,Ileso,Masculino,1,0,0,0,-19.48331511,-48.86289865
158357,347866,2018-09-09 00:00:00.000,domingo,1899-12-30 15:55:00.000,MG,381,561,ITAGUARA,Veículo,Defeito Mecânico no Veículo,Derramamento de carga,Com Vítimas Feridas,Pleno dia,Sol,Dupla,Não Informado,Rural,Automóvel,Passageiro,Ileso,Masculino,1,0,0,0,-20.3781,-44.4763
167867,368029,2018-10-26 00:00:00.000,sexta-feira,1899-12-30 16:40:00.000,MG,459,103,POUSO ALEGRE,Homem,Falta de Atenção à Condução,Colisão traseira,Com Vítimas Feridas,Pleno dia,Nublado,Dupla,Reta,Urbano,Motocicleta,Testemunha,Não Informado,Não Informado,0,0,0,0,-22.217806,-45.917549
297350,660997,2020-07-25 00:00:00.000,sábado,1899-12-30 08:55:00.000,MG,116,277,TEOFILO OTONI,Homem,Falta de Atenção à Condução,Colisão traseira,Com Vítimas Feridas,Pleno dia,Nublado,Simples,Curva,Urbano,Automóvel,Condutor,Ileso,Masculino,1,0,0,0,-17.859603,-41.515177
163028,358785,2018-10-03 00:00:00.000,quarta-feira,1899-12-30 06:10:00.000,MG,116,653,FERVEDOURO,Homem,Falta de Atenção à Condução,Colisão traseira,Com Vítimas Feridas,Amanhecer,Nublado,Simples,Interseção de vias,Urbano,Motocicleta,Condutor,Lesões Leves,Masculino,0,1,0,0,-20.72842162,-42.28164017
99510,216449,2017-12-30 00:00:00.000,sábado,1899-12-30 11:00:00.000,MG,262,549,LUZ,Homem,Velocidade Incompatível,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Garoa/Chuvisco,Simples,Não Informado,Rural,Automóvel,Passageiro,Lesões Leves,Feminino,0,1,0,0,-19.71544,-45.883
112378,245276,2018-02-19 00:00:00.000,segunda-feira,1899-12-30 15:30:00.000,MG,40,472,SETE LAGOAS,Homem,Falta de Atenção à Condução,Colisão lateral,Com Vítimas Feridas,Pleno dia,Céu Claro,Dupla,Reta,Rural,Camioneta,Condutor,Ileso,Masculino,1,0,0,0,-19.4914,-44.2802
