Empresa,Exercício,Nome 1,Tipo Despesa,Data de lançamento,Real_TipoDespesa,Plano_TipoDespesa,Comp_TipoDespesa
"3200","2020","DIR. LOGÍSTICA","Materiais e Serviços p/Escritório",2020-04-01 00:00:00.000,0,322872.58,631043.53999999992
"3200","2020","DIR. LOGÍSTICA","Materiais e Serviços p/Escritório",2020-05-01 00:00:00.000,0,333292.14999999997,681440.42999999993
"3200","2020","DIR. LOGÍSTICA","Materiais e Serviços p/Escritório",2020-06-01 00:00:00.000,0,324840.01999999996,576947.37000000011
"3200","2020","DIR. LOGÍSTICA","Materiais e Serviços p/Escritório",2020-07-01 00:00:00.000,0,340518.35999999993,509265.56999999989
"3200","2020","DIR. LOGÍSTICA","Materiais e Serviços p/Escritório",2020-08-01 00:00:00.000,0,317751.38,407194.42000000004
"3200","2020","DIR. LOGÍSTICA","Materiais e Serviços p/Escritório",2020-09-01 00:00:00.000,0,319567.91999999993,473675.86999999994
"3200","2020","DIR. LOGÍSTICA","Materiais e Serviços p/Escritório",2020-10-01 00:00:00.000,0,320277.15999999992,639664.51000000013
"3200","2020","DIR. LOGÍSTICA","Materiais e Serviços p/Escritório",2020-11-01 00:00:00.000,0,315547.66000000003,560151.04000000027
"3200","2020","DIR. LOGÍSTICA","Materiais e Serviços p/Escritório",2020-12-01 00:00:00.000,0,295913.92,622636.94000000029
"3200","2020","DIR. LOGÍSTICA","Rateio",2020-03-01 00:00:00.000,0,1643098.8000000003,641835.63
"3200","2020","DIR. LOGÍSTICA","Rateio",2020-04-01 00:00:00.000,0,1657422.6300000001,647430.75
"3200","2020","DIR. LOGÍSTICA","Rateio",2020-05-01 00:00:00.000,0,1641846.79,641346.48
"3200","2020","DIR. LOGÍSTICA","Rateio",2020-06-01 00:00:00.000,0,1639638.1600000001,640483.79
"3200","2020","DIR. LOGÍSTICA","Rateio",2020-07-01 00:00:00.000,0,1619694.3399999996,632693.27
"3200","2020","DIR. LOGÍSTICA","Rateio",2020-08-01 00:00:00.000,0,1633616.3599999999,638131.53999999992
"3200","2020","DIR. LOGÍSTICA","Rateio",2020-09-01 00:00:00.000,0,1642945.5799999998,641775.88
"3200","2020","DIR. LOGÍSTICA","Rateio",2020-10-01 00:00:00.000,0,1632544.14,637712.60000000009
"3200","2020","DIR. LOGÍSTICA","Rateio",2020-11-01 00:00:00.000,0,1619225.72,632510.18
