Empresa,Exercício,Centro custo,Denominação,Tipo Despesa,Data de lançamento,Pacote,Nome 1,Nome 2,Real,Plano,Comparativo
"3100","2020","310151408","TREF - APOIO TREFILA","Depreciação e amortização",2020-03-01 00:00:00.000,"FORA DE PACOTE","DIR. INDUSTRIAL","GER. TREFILA",0,187515.72,378572.42
"3100","2020","310151408","TREF - APOIO TREFILA","Depreciação e amortização",2020-04-01 00:00:00.000,"FORA DE PACOTE","DIR. INDUSTRIAL","GER. TREFILA",0,181869.88,366765.28
"3100","2020","310151408","TREF - APOIO TREFILA","Depreciação e amortização",2020-05-01 00:00:00.000,"FORA DE PACOTE","DIR. INDUSTRIAL","GER. TREFILA",0,187932.31,379086.51
"3100","2020","310151408","TREF - APOIO TREFILA","Depreciação e amortização",2020-06-01 00:00:00.000,"FORA DE PACOTE","DIR. INDUSTRIAL","GER. TREFILA",0,181805.75,366898.94
"3100","2020","310151408","TREF - APOIO TREFILA","Depreciação e amortização",2020-07-01 00:00:00.000,"FORA DE PACOTE","DIR. INDUSTRIAL","GER. TREFILA",0,187648.93,378970.45
"3100","2020","310151408","TREF - APOIO TREFILA","Depreciação e amortização",2020-08-01 00:00:00.000,"FORA DE PACOTE","DIR. INDUSTRIAL","GER. TREFILA",0,186895.63,378220.93
"3100","2020","310151408","TREF - APOIO TREFILA","Depreciação e amortização",2020-09-01 00:00:00.000,"FORA DE PACOTE","DIR. INDUSTRIAL","GER. TREFILA",0,179107.23,362502.65
"3100","2020","310151408","TREF - APOIO TREFILA","Depreciação e amortização",2020-10-01 00:00:00.000,"FORA DE PACOTE","DIR. INDUSTRIAL","GER. TREFILA",0,185077.41,374551.91
"3100","2020","310151408","TREF - APOIO TREFILA","Depreciação e amortização",2020-11-01 00:00:00.000,"FORA DE PACOTE","DIR. INDUSTRIAL","GER. TREFILA",0,179106.81,362380.28
"3100","2020","310151408","TREF - APOIO TREFILA","Depreciação e amortização",2020-12-01 00:00:00.000,"FORA DE PACOTE","DIR. INDUSTRIAL","GER. TREFILA",0,186786.49,376465.14
"3100","2020","310151409","TREF - TELAS","Depreciação e amortização",2020-12-01 00:00:00.000,"FORA DE PACOTE","DIR. INDUSTRIAL","GER. TREFILA",0,78544.67,157444.77
"3100","2020","310151409","TREF - TELAS","Depreciação e amortização",2020-11-01 00:00:00.000,"FORA DE PACOTE","DIR. INDUSTRIAL","GER. TREFILA",0,76030.75,152357.11
"3100","2020","310151409","TREF - TELAS","Depreciação e amortização",2020-10-01 00:00:00.000,"FORA DE PACOTE","DIR. INDUSTRIAL","GER. TREFILA",0,77962.4,156815.9
"3100","2020","310151409","TREF - TELAS","Depreciação e amortização",2020-09-01 00:00:00.000,"FORA DE PACOTE","DIR. INDUSTRIAL","GER. TREFILA",0,75447.46,151767.21
"3100","2020","310151409","TREF - TELAS","Depreciação e amortização",2020-08-01 00:00:00.000,"FORA DE PACOTE","DIR. INDUSTRIAL","GER. TREFILA",0,78349.7,157199.96
