ProductKey,CustomerKey,CurrencyKey,PromotionKey,SalesTerritoryKey,Sales Amount,Freight,Order Quantity,Discount Amount,Total Product Cost,Sales order number,Tax Amount,Order Date,Due Date,Ship Date,Unit Price,Product Standard Cost,Extended Amount
375,23994,6,1,9,2181.5625,54.5391,1,0,1320.6838,SO49799,174.525,2016-09-25 00:00:00.000,2016-10-07 00:00:00.000,2016-10-02 00:00:00.000,2181.5625,1320.6838,2181.5625
228,17486,100,1,1,49.99,1.2498,1,0,38.4923,SO56982,3.9992,2017-04-29 00:00:00.000,2017-05-11 00:00:00.000,2017-05-06 00:00:00.000,49.99,38.4923,49.99
530,27850,100,1,7,4.99,0.1248,1,0,1.8663,SO55120,0.3992,2016-03-27 00:00:00.000,2016-04-08 00:00:00.000,2016-04-03 00:00:00.000,4.99,1.8663,4.99
465,27561,100,1,4,24.49,0.6123,1,0,9.1593,SO53363,1.9592,2016-02-26 00:00:00.000,2016-03-10 00:00:00.000,2016-03-05 00:00:00.000,24.49,9.1593,24.49
350,28491,100,1,7,3374.99,84.3748,1,0,1898.0944,SO46264,269.9992,2015-11-19 00:00:00.000,2015-12-01 00:00:00.000,2015-11-26 00:00:00.000,3374.99,1898.0944,3374.99
237,13363,100,2,1,49.99,1.2498,1,0,38.4923,SO53649,3.9992,2016-02-28 00:00:00.000,2016-03-12 00:00:00.000,2016-03-07 00:00:00.000,49.99,38.4923,49.99
529,20820,6,1,9,3.99,0.0998,1,0,1.4923,SO54362,0.3192,2017-03-13 00:00:00.000,2017-03-25 00:00:00.000,2017-03-20 00:00:00.000,3.99,1.4923,3.99
584,24169,6,1,9,539.99,13.4998,1,0,343.6496,SO65440,43.1992,2016-08-30 00:00:00.000,2016-09-11 00:00:00.000,2016-09-06 00:00:00.000,539.99,343.6496,539.99
528,13628,6,1,9,4.99,0.1248,1,0,1.8663,SO55456,0.3992,2017-04-01 00:00:00.000,2017-04-13 00:00:00.000,2017-04-08 00:00:00.000,4.99,1.8663,4.99
341,15348,100,1,1,782.99,19.5748,1,0,486.7066,SO47806,62.6392,2016-04-10 00:00:00.000,2016-04-22 00:00:00.000,2016-04-17 00:00:00.000,782.99,486.7066,782.99
530,13815,98,1,10,4.99,0.1248,1,0,1.8663,SO52508,0.3992,2016-02-09 00:00:00.000,2016-02-21 00:00:00.000,2016-02-16 00:00:00.000,4.99,1.8663,4.99
369,12929,100,2,1,2443.35,61.0838,1,0,1518.7864,SO46688,195.468,2015-12-31 00:00:00.000,2016-01-12 00:00:00.000,2016-01-07 00:00:00.000,2443.35,1518.7864,2443.35
463,25390,100,1,4,24.49,0.6123,1,0,9.1593,SO57525,1.9592,2017-05-05 00:00:00.000,2017-05-17 00:00:00.000,2017-05-12 00:00:00.000,24.49,9.1593,24.49
361,11611,100,1,7,2294.99,57.3748,1,0,1251.9813,SO61093,183.5992,2017-06-29 00:00:00.000,2017-07-11 00:00:00.000,2017-07-06 00:00:00.000,2294.99,1251.9813,2294.99
478,11992,6,1,9,9.99,0.2498,1,0,3.7363,SO62078,0.7992,2016-07-13 00:00:00.000,2016-07-25 00:00:00.000,2016-07-20 00:00:00.000,9.99,3.7363,9.99
530,27098,100,1,1,4.99,0.1248,1,0,1.8663,SO64479,0.3992,2017-08-18 00:00:00.000,2017-08-30 00:00:00.000,2017-08-25 00:00:00.000,4.99,1.8663,4.99
566,13261,100,1,8,742.35,18.5588,1,0,461.4448,SO62513,59.388,2016-07-20 00:00:00.000,2016-08-01 00:00:00.000,2016-07-27 00:00:00.000,742.35,461.4448,742.35
536,23207,100,1,4,29.99,0.7498,1,0,11.2163,SO63775,2.3992,2017-08-07 00:00:00.000,2017-08-19 00:00:00.000,2017-08-14 00:00:00.000,29.99,11.2163,29.99
540,24769,100,1,4,32.6,0.815,1,0,12.1924,SO68970,2.608,2016-10-23 00:00:00.000,2016-11-04 00:00:00.000,2016-10-30 00:00:00.000,32.6,12.1924,32.6
363,14049,6,1,9,2294.99,57.3748,1,0,1251.9813,SO73567,183.5992,2016-12-20 00:00:00.000,2017-01-01 00:00:00.000,2016-12-27 00:00:00.000,2294.99,1251.9813,2294.99
371,24372,6,1,9,2181.5625,54.5391,1,0,1320.6838,SO50577,174.525,2016-11-20 00:00:00.000,2016-12-02 00:00:00.000,2016-11-27 00:00:00.000,2181.5625,1320.6838,2181.5625
214,16186,100,1,7,34.99,0.8748,1,0,13.0863,SO61136,2.7992,2017-06-29 00:00:00.000,2017-07-11 00:00:00.000,2017-07-06 00:00:00.000,34.99,13.0863,34.99
478,11267,100,1,4,9.99,0.2498,1,0,3.7363,SO51345,0.7992,2017-01-07 00:00:00.000,2017-01-19 00:00:00.000,2017-01-14 00:00:00.000,9.99,3.7363,9.99
352,11480,100,1,7,2071.4196,51.7855,1,0,1117.8559,SO51053,165.7136,2016-12-25 00:00:00.000,2017-01-06 00:00:00.000,2017-01-01 00:00:00.000,2071.4196,1117.8559,2071.4196
536,14591,100,1,4,29.99,0.7498,1,0,11.2163,SO61834,2.3992,2017-07-09 00:00:00.000,2017-07-21 00:00:00.000,2017-07-16 00:00:00.000,29.99,11.2163,29.99
463,28590,100,1,1,24.49,0.6123,1,0,9.1593,SO54663,1.9592,2016-03-19 00:00:00.000,2016-03-31 00:00:00.000,2016-03-26 00:00:00.000,24.49,9.1593,24.49
583,20241,6,1,9,1700.99,42.5248,1,0,1082.51,SO62516,136.0792,2016-07-20 00:00:00.000,2016-08-01 00:00:00.000,2016-07-27 00:00:00.000,1700.99,1082.51,1700.99
222,12621,100,1,7,34.99,0.8748,1,0,13.0863,SO53877,2.7992,2017-03-05 00:00:00.000,2017-03-17 00:00:00.000,2017-03-12 00:00:00.000,34.99,13.0863,34.99
384,25250,6,1,9,1120.49,28.0123,1,0,713.0798,SO65140,89.6392,2016-08-28 00:00:00.000,2016-09-09 00:00:00.000,2016-09-04 00:00:00.000,1120.49,713.0798,1120.49
529,26900,98,1,10,3.99,0.0998,1,0,1.4923,SO66981,0.3192,2016-09-24 00:00:00.000,2016-10-06 00:00:00.000,2016-10-01 00:00:00.000,3.99,1.4923,3.99
357,13873,100,1,4,2319.99,57.9998,1,0,1265.6195,SO60094,185.5992,2016-06-13 00:00:00.000,2016-06-25 00:00:00.000,2016-06-20 00:00:00.000,2319.99,1265.6195,2319.99
370,16444,98,1,10,2443.35,61.0838,1,0,1518.7864,SO47627,195.468,2016-03-25 00:00:00.000,2016-04-06 00:00:00.000,2016-04-01 00:00:00.000,2443.35,1518.7864,2443.35
487,21372,6,1,9,54.99,1.3748,1,0,20.5663,SO64680,4.3992,2017-08-21 00:00:00.000,2017-09-02 00:00:00.000,2017-08-28 00:00:00.000,54.99,20.5663,54.99
336,14750,100,1,4,699.0982,17.4775,1,0,413.1463,SO45699,55.9279,2015-09-15 00:00:00.000,2015-09-27 00:00:00.000,2015-09-22 00:00:00.000,699.0982,413.1463,699.0982
535,15442,100,1,7,24.99,0.6248,1,0,9.3463,SO61460,1.9992,2016-07-03 00:00:00.000,2016-07-15 00:00:00.000,2016-07-10 00:00:00.000,24.99,9.3463,24.99
477,23219,98,1,10,4.99,0.1248,1,0,1.8663,SO56729,0.3992,2017-04-24 00:00:00.000,2017-05-06 00:00:00.000,2017-05-01 00:00:00.000,4.99,1.8663,4.99
380,20447,6,1,9,2443.35,61.0838,1,0,1554.9479,SO62860,195.468,2017-07-26 00:00:00.000,2017-08-07 00:00:00.000,2017-08-02 00:00:00.000,2443.35,1554.9479,2443.35
378,18746,6,1,9,2443.35,61.0838,1,0,1554.9479,SO53969,195.468,2016-03-06 00:00:00.000,2016-03-18 00:00:00.000,2016-03-13 00:00:00.000,2443.35,1554.9479,2443.35
484,21548,98,1,10,7.95,0.1988,1,0,2.9733,SO66670,0.636,2016-09-19 00:00:00.000,2016-10-01 00:00:00.000,2016-09-26 00:00:00.000,7.95,2.9733,7.95
537,11666,100,1,4,35.0,0.875,1,0,13.09,SO52396,2.8,2017-02-07 00:00:00.000,2017-02-19 00:00:00.000,2017-02-14 00:00:00.000,35.0,13.09,35.0
471,14352,100,1,1,63.5,1.5875,1,0,23.749,SO61882,5.08,2017-07-10 00:00:00.000,2017-07-22 00:00:00.000,2017-07-17 00:00:00.000,63.5,23.749,63.5
