Reseller,Year Opened,Bank Name,Business Type,Year of First Order,Year of Last Order,Reseller Annual Sales,Reseller Phone,Number of Employees,Annual Revenue,Reseller Address,Reseller City,Reseller Country Code,Reseller Country,Reseller Zip Code,Reseller State Province,Reseller State Province Code,Minimum Payment Amt,Reseller Product Line,Reseller Order Frequency,Reseller Order Month,Reseller Sales Territory Country,Reseller Sales Territory Group,Reseller Sales Territory Region,Reseller Key
"Advanced Bike Components",1978,"Primary International","Warehouse",2011,2013,1500000,"279-555-0130",40,150000,"12345 Sterling Avenue","Irving","US","United States","75061","Texas","TX",,"Road","Q",6,"United States","North America","Southwest",3
"Metropolitan Sports Supply",1982,"Primary Bank & Reserve","Specialty Bike Shop",2012,2013,800000,"828-555-0186",13,80000,"482505 Warm Springs Blvd.","Fremont","US","United States","94536","California","CA",,"Road","A",6,"United States","North America","Southwest",5
"Aerobic Exercise Company",1984,"Guardian Bank","Warehouse",2013,2013,1500000,"244-555-0112",43,150000,"39933 Mission Oaks Blvd","Camarillo","US","United States","93010","California","CA",,"Road","Q",6,"United States","North America","Southwest",6
"Chic Department Stores",2003,"Reserve Security","Warehouse",2012,2013,3000000,"928-555-0116",58,300000,"90025 Sterling St","Irving","US","United States","75061","Texas","TX",,"Mountain","Q",6,"United States","North America","Southwest",21
"Bike World",2002,"International Security","Specialty Bike Shop",2012,2013,1500000,"216-555-0122",31,150000,"60025 Bollinger Canyon Road","San Ramon","US","United States","94583","California","CA",,"Mountain","A",6,"United States","North America","Southwest",23
"Eastside Department Store",1983,"Primary International","Warehouse",2012,2013,3000000,"926-555-0164",61,300000,"9992 Whipple Rd","Union City","US","United States","94587","California","CA",,"Road","Q",6,"United States","North America","Southwest",24
"Coalition Bike Company",2001,"United Security","Value Added Reseller",2012,2013,800000,"357-555-0161",18,80000,"Corporate Office","El Segundo","US","United States","90245","California","CA",,"Mountain","S",6,"United States","North America","Southwest",25
"Finer Mart",2001,"Primary International","Specialty Bike Shop",2013,2013,1500000,"867-555-0114",46,150000,"640 South 994th St. W.","Billings","US","United States","59101","Montana","MT",,"Touring","A",6,"United States","North America","Northwest",38
"Fitness Hotel",1994,"United Security","Warehouse",2012,2013,3000000,"377-555-0132",76,300000,"74400 France Avenue South","Edina","US","United States","55436","Minnesota","MN",,"Road","Q",6,"United States","North America","Central",39
"Games and Sport Supply Company",1998,"International Security","Specialty Bike Shop",2013,2013,1500000,"552-555-0141",48,150000,"2525 Electrics Blvd.","Huntsville","US","United States","35801","Alabama","AL",,"Touring","A",6,"United States","North America","Southeast",44
"Larger Cycle Shop",1993,"Primary Bank & Reserve","Warehouse",2011,2013,3000000,"140-555-0128",83,300000,"Attn: Accounts Payable 44 Main Place","Melville","US","United States","11747","New York","NY",,"Road","Q",6,"United States","North America","Northeast",54
"Kickstands and Accessories Company",1986,"Guardian Bank","Value Added Reseller",2013,2013,300000,"932-555-0163",8,30000,"25300 Biddle Road","Medford","US","United States","97504","Oregon","OR",,"Touring","S",6,"United States","North America","Northwest",55
"Many Bikes Store",1983,"Primary Bank & Reserve","Value Added Reseller",2012,2013,300000,"452-555-0179",6,30000,"Receiving","Fullerton","US","United States","92831","California","CA",,"Mountain","S",6,"United States","North America","Southwest",61
"Outdoor Equipment Store",1984,"International Security","Warehouse",2012,2013,3000000,"820-555-0166",89,300000,"6 Cotton Road","Nashua","US","United States","03064","New Hampshire","NH",,"Road","Q",6,"United States","North America","Northeast",72
"Sales and Supply Company",1984,"Guardian Bank","Warehouse",2012,2013,3000000,"572-555-0156",95,300000,"Corporate Ofc A/p 123 Fourth Ave","Chantilly","US","United States","20151","Virginia","VA",,"Road","Q",6,"United States","North America","Southeast",90
"Superlative Bikes",2000,"Reserve Security","Specialty Bike Shop",2012,2013,1500000,"752-555-0187",30,150000,"8525 Nw 17th St.","Miami","US","United States","33127","Florida","FL",,"Mountain","A",6,"United States","North America","Southeast",98
"Travel Sports",2001,"United Security","Value Added Reseller",2013,2013,800000,"247-555-0197",17,80000,"755 Nw Grandstand","Issaquah","US","United States","98027","Washington","WA",,"Mountain","S",6,"United States","North America","Northwest",109
"Town Industries",1978,"Reserve Security","Warehouse",2013,2013,1500000,"803-555-0116",40,150000,"P.O. Box 6256916","Dallas","US","United States","75201","Texas","TX",,"Touring","Q",6,"United States","North America","Southwest",112
