SurveyResponseKey,DateKey,CustomerKey,ProductCategoryKey,EnglishProductCategoryName,ProductSubcategoryKey,EnglishProductSubcategoryName,Date
17,20170426,11048,4,"Accessories",36,"Pumps",2017-04-26 00:00:00.000
19,20170408,11057,4,"Accessories",36,"Pumps",2017-04-08 00:00:00.000
34,20170325,11125,4,"Accessories",36,"Pumps",2017-03-25 00:00:00.000
67,20170407,11500,4,"Accessories",36,"Pumps",2017-04-07 00:00:00.000
80,20170419,11618,4,"Accessories",36,"Pumps",2017-04-19 00:00:00.000
102,20170322,11904,4,"Accessories",36,"Pumps",2017-03-22 00:00:00.000
107,20170315,11918,4,"Accessories",36,"Pumps",2017-03-15 00:00:00.000
111,20170410,11963,4,"Accessories",36,"Pumps",2017-04-10 00:00:00.000
116,20170408,11991,4,"Accessories",36,"Pumps",2017-04-08 00:00:00.000
135,20170421,12248,4,"Accessories",36,"Pumps",2017-04-21 00:00:00.000
141,20170311,12327,4,"Accessories",36,"Pumps",2017-03-11 00:00:00.000
155,20170319,12363,4,"Accessories",36,"Pumps",2017-03-19 00:00:00.000
200,20170317,12840,4,"Accessories",36,"Pumps",2017-03-17 00:00:00.000
227,20170323,13024,4,"Accessories",36,"Pumps",2017-03-23 00:00:00.000
264,20170419,13474,4,"Accessories",36,"Pumps",2017-04-19 00:00:00.000
288,20170426,13639,4,"Accessories",36,"Pumps",2017-04-26 00:00:00.000
302,20170409,13837,4,"Accessories",36,"Pumps",2017-04-09 00:00:00.000
311,20170409,13973,4,"Accessories",36,"Pumps",2017-04-09 00:00:00.000
312,20170331,13995,4,"Accessories",36,"Pumps",2017-03-31 00:00:00.000
315,20170423,14008,4,"Accessories",36,"Pumps",2017-04-23 00:00:00.000
337,20170320,14142,4,"Accessories",36,"Pumps",2017-03-20 00:00:00.000
350,20170304,14220,4,"Accessories",36,"Pumps",2017-03-04 00:00:00.000
359,20170330,14264,4,"Accessories",36,"Pumps",2017-03-30 00:00:00.000
363,20170415,14278,4,"Accessories",36,"Pumps",2017-04-15 00:00:00.000
375,20170425,14525,4,"Accessories",36,"Pumps",2017-04-25 00:00:00.000
381,20170419,14626,4,"Accessories",36,"Pumps",2017-04-19 00:00:00.000
416,20170324,15021,4,"Accessories",36,"Pumps",2017-03-24 00:00:00.000
437,20170305,15153,4,"Accessories",36,"Pumps",2017-03-05 00:00:00.000
441,20170404,15187,4,"Accessories",36,"Pumps",2017-04-04 00:00:00.000
447,20170309,15215,4,"Accessories",36,"Pumps",2017-03-09 00:00:00.000
499,20170318,15730,4,"Accessories",36,"Pumps",2017-03-18 00:00:00.000
574,20170319,16527,4,"Accessories",36,"Pumps",2017-03-19 00:00:00.000
620,20170228,16743,4,"Accessories",36,"Pumps",2017-02-28 00:00:00.000
661,20170410,17112,4,"Accessories",36,"Pumps",2017-04-10 00:00:00.000
674,20170309,17235,4,"Accessories",36,"Pumps",2017-03-09 00:00:00.000
721,20170416,17709,4,"Accessories",36,"Pumps",2017-04-16 00:00:00.000
727,20170427,17728,4,"Accessories",36,"Pumps",2017-04-27 00:00:00.000
740,20170424,17786,4,"Accessories",36,"Pumps",2017-04-24 00:00:00.000
744,20170403,17882,4,"Accessories",36,"Pumps",2017-04-03 00:00:00.000
756,20170302,17951,4,"Accessories",36,"Pumps",2017-03-02 00:00:00.000
763,20170306,18160,4,"Accessories",36,"Pumps",2017-03-06 00:00:00.000
772,20170331,18206,4,"Accessories",36,"Pumps",2017-03-31 00:00:00.000
851,20170403,18841,4,"Accessories",36,"Pumps",2017-04-03 00:00:00.000
