SupplierID,AddressID,PhoneNumber,SupplierName,Notes
1,11,"(559) 555-7473","Crown Printing",""
2,12,"(614) 555-4435","Micro Center",""
3,13,"(559) 555-2993","Zee Medical Service Co",""
4,14,"(800) 555-8110","Nielson",""
5,15,"(559) 555-8060","Shields Design",""
6,16,"(559) 555-1704","Executive Office Products",""
7,17,"(233) 555-6400","Zip Print & Copy Center",""
8,18,"(800) 555-7000","Ford Motor Credit Company",""
9,19,"(202) 555-5561","Reiters Scientific & Pro Books",""
10,20,"(559) 555-3112","Valprint",""
11,21,"(559) 555-6643","Lou Gentile Flower Basket",""
12,72,"(617) 555-6668","Ingram Content Group",""
13,73,"(857) 555-6456","Baker and Taylor",""
