TimeSheetID,EmployeeID,ApprovedBy,StartDate,StartTime,EndTime,ApprovalStatus
1,9,26,2020-11-02 00:00:00.000,1899-12-30 10:30:00.000,1899-12-30 18:30:00.000,"Approved"
2,9,26,2020-11-03 00:00:00.000,1899-12-30 10:30:00.000,1899-12-30 18:30:00.000,"Approved"
3,9,26,2020-11-04 00:00:00.000,1899-12-30 10:30:00.000,1899-12-30 18:30:00.000,"Approved"
4,9,26,2020-11-05 00:00:00.000,1899-12-30 10:30:00.000,1899-12-30 18:30:00.000,"Approved"
5,9,26,2020-11-06 00:00:00.000,1899-12-30 10:30:00.000,1899-12-30 18:30:00.000,"Approved"
6,19,21,2020-11-02 00:00:00.000,1899-12-30 06:30:00.000,1899-12-30 17:30:00.000,"Approved"
7,19,21,2020-11-03 00:00:00.000,1899-12-30 06:30:00.000,1899-12-30 17:30:00.000,"Approved"
8,19,21,2020-11-04 00:00:00.000,1899-12-30 06:30:00.000,1899-12-30 17:30:00.000,"Approved"
9,19,21,2020-11-05 00:00:00.000,1899-12-30 06:30:00.000,1899-12-30 17:30:00.000,"Approved"
10,19,21,2020-11-06 00:00:00.000,1899-12-30 06:30:00.000,1899-12-30 17:30:00.000,"Approved"
11,20,25,2020-11-02 00:00:00.000,1899-12-30 09:30:00.000,1899-12-30 19:30:00.000,"Approved"
12,20,25,2020-11-03 00:00:00.000,1899-12-30 09:30:00.000,1899-12-30 19:30:00.000,"Approved"
13,20,25,2020-11-04 00:00:00.000,1899-12-30 09:30:00.000,1899-12-30 19:30:00.000,"Declined"
14,20,25,2020-11-05 00:00:00.000,1899-12-30 09:30:00.000,1899-12-30 19:30:00.000,"Submitted"
15,20,25,2020-11-06 00:00:00.000,1899-12-30 09:30:00.000,1899-12-30 19:30:00.000,"Submitted"
16,9,26,2020-11-09 00:00:00.000,1899-12-30 10:30:00.000,1899-12-30 18:30:00.000,"Approved"
17,9,26,2020-11-10 00:00:00.000,1899-12-30 10:30:00.000,1899-12-30 18:30:00.000,"Approved"
18,9,26,2020-11-11 00:00:00.000,1899-12-30 10:30:00.000,1899-12-30 18:30:00.000,"Submitted"
19,9,26,2020-11-12 00:00:00.000,1899-12-30 10:30:00.000,1899-12-30 18:30:00.000,"Submitted"
20,9,26,2020-11-13 00:00:00.000,1899-12-30 10:30:00.000,1899-12-30 18:30:00.000,"Submitted"
21,19,21,2020-11-09 00:00:00.000,1899-12-30 06:30:00.000,1899-12-30 17:30:00.000,"Approved"
22,19,21,2020-11-10 00:00:00.000,1899-12-30 06:30:00.000,1899-12-30 17:30:00.000,"Approved"
23,19,21,2020-11-11 00:00:00.000,1899-12-30 06:30:00.000,1899-12-30 17:30:00.000,"Approved"
24,19,21,2020-11-12 00:00:00.000,1899-12-30 06:30:00.000,1899-12-30 17:30:00.000,"Approved"
25,19,21,2020-11-13 00:00:00.000,1899-12-30 06:30:00.000,1899-12-30 17:30:00.000,"Approved"
26,20,25,2020-11-09 00:00:00.000,1899-12-30 09:30:00.000,1899-12-30 19:30:00.000,"Declined"
27,20,25,2020-11-10 00:00:00.000,1899-12-30 09:30:00.000,1899-12-30 19:30:00.000,"Declined"
28,20,25,2020-11-11 00:00:00.000,1899-12-30 09:30:00.000,1899-12-30 19:30:00.000,"Declined"
29,20,25,2020-11-12 00:00:00.000,1899-12-30 09:30:00.000,1899-12-30 19:30:00.000,"Declined"
30,20,25,2020-11-13 00:00:00.000,1899-12-30 09:30:00.000,1899-12-30 19:30:00.000,"Declined"
