Product ID,Name of the Product,Total Quantity of Each Product Sold
111,"Women T-Shirts",13
112,"Pantalons & Shorts",12
113,"Robes",4
115,"Men T-shirts",20
116,"Shirts",3
117,"Pyjamas",5
119,"Flowers",6
123,"Outdoor Tools",6
125,"College Wellness Essentials Collection",4
128,"College Ruled Notebook",6
133,"Hand and Face Wipes",2
134,"Crest Whitening Toothaste",7
136,"Face Cleansing Device",16
141,"SaraLee Bread",5
145,"Bose Noise Cancellation Headphones",14
153,"Mens Ankle Rain Boots",9
158,"Long Sleeve T-shirt",8
164,"shoes",2
165,"slings",20
166,"bathroom brush",26
167,"Non-Stick Pan",2
