OrderItemID,OrderID,ProductID,Quantity,UnitPrice,TotalPrice,UnitDiscount,TotalDiscount
34,3,111,1,30,30,15,15
35,3,112,4,28,112,14,56
36,3,119,3,7.89,23.67,0,0
37,1,115,2,25,50,12.5,25
38,1,116,3,45,135,0,0
39,4,133,2,1.77,3.54,0.885,1.77
40,4,136,5,24.99,124.95,12.495,62.475
41,5,136,2,24.99,49.98,12.495,24.99
42,5,113,4,20.69,82.76,0,0
43,6,112,2,28,56,14,28
44,6,115,5,25,125,12.5,62.5
45,7,115,6,25,150,12.5,75
46,7,117,5,10.99,54.95,0,0
47,8,119,3,7.89,23.67,0,0
48,8,111,2,30,60,0,0
50,9,115,2,25,50,0,0
51,9,134,2,5.99,11.98,0,0
52,10,134,5,5.99,29.95,0,0
53,10,136,4,24.99,99.96,0,0
54,11,111,2,30,60,0,0
55,18,111,2,30,60,0,0
57,20,115,3,25,75,0,0
58,21,115,2,25,50,12.5,25
59,22,136,5,24.99,124.95,12.495,62.475
60,12,111,2,30,60,15,30
61,13,111,4,30,120,15,60
62,16,112,6,28,168,14,84
63,11,164,2,30,60,0,0
64,11,165,20,30,600,0,0
65,11,123,6,34.56,207.36,0,0
66,11,158,8,14.99,119.92,0,0
67,11,153,9,44.99,404.91,0,0
68,11,141,5,2.69,13.45,0,0
69,11,128,6,0.99,5.94,0,0
70,11,166,26,30,780,0,0
71,11,167,2,30,60,0,0
72,11,125,4,23.99,95.96,0,0
73,11,145,14,300.99,4213.86,0,0
