ProductCategoryID,CategoryName,Description
1,"Accessories","This section contains all Accessories"
2,"Bags","This section contains Bags for all Sections"
3,"Beauty","This section contains Beauty Related Products"
4,"Household","This section contains Household Products"
5,"Kids","This section contains products for kids(0-10years)"
6,"Shoes","This section contains shoes for men and women"
7,"Groceries","This section contains day-to-day used groceries"
8,"Office Supplies","This section contains Office Essentials"
9,"Cleaning","This section contains cleaning products for all purposes"
10,"Kitchen","This section contains Kitchen Essentials"
11,"Men","This section contains Men Clothing and other essentials"
12,"Women","This section contains Women Clothing and other essentials"
13,"Pharmacy","This section contains Pharmaceutical Products"
14,"Electronics","This section contains all Eletronics Products"
