PromotionID,PromotionName,StartDate,ExpiryDate,DiscountPercentage
5001,"Thanks Giving",2020-11-20 00:00:00.000,2020-12-30 23:59:00.000,50
5002,"Black Friday Sale",2020-11-27 00:00:00.000,2020-11-27 23:59:00.000,75
5003,"Christmus Sale",2020-12-20 00:00:00.000,2020-12-30 23:59:00.000,40
5004,"Halloween Sale",2020-10-31 00:00:00.000,2020-10-31 23:59:00.000,25
5005,"New Year Day Sale",2020-01-01 00:00:00.000,2020-01-01 23:59:00.000,30
5006,"Memorial Day Sale",2020-05-25 00:00:00.000,2020-05-25 23:59:00.000,35
5007,"Independence Day Sale",2020-07-03 00:00:00.000,2020-07-03 23:59:00.000,25
5008,"Labor Day Sale",2020-09-01 00:00:00.000,2020-09-06 23:59:00.000,15
5009,"Columbus Day Sale",2020-10-01 00:00:00.000,2020-10-04 23:59:00.000,15
5010,"President Day Sale",2020-02-15 00:00:00.000,2020-02-22 23:59:00.000,20
5011,"Cyber Monday Sale",2020-11-30 00:00:00.000,2020-11-30 23:59:00.000,40
