OrderID,CustomerID,ApprovedBy,OnlineOrderFlag,OrderStatus,OrderedDate,DeliveredDate
1,4,11,1,"placed",2020-11-30 09:15:50.140,
3,5,11,1,"placed",2020-11-30 09:16:58.540,
4,5,11,1,"placed",2020-11-30 10:15:20.383,
5,7,22,1,"placed",2020-11-30 10:15:39.336,
6,8,22,1,"placed",2020-11-30 10:21:16.366,
7,9,22,0,"placed",2020-11-30 10:21:29.986,
8,11,24,0,"placed",2020-11-30 10:21:43.006,
9,12,24,0,"placed",2020-11-30 10:21:56.313,
10,13,24,1,"placed",2020-11-30 10:22:10.370,
11,14,24,1,"placed",2020-11-30 10:22:21.826,
12,14,11,1,"placed",2020-11-30 13:38:46.703,
13,16,11,1,"placed",2020-11-30 13:39:09.160,
16,5,22,1,"placed",2020-11-30 13:39:56.470,
18,5,24,0,"placed",2020-11-29 13:09:12.000,
20,7,24,0,"placed",2020-11-29 12:10:20.000,
21,7,11,0,"placed",2020-11-27 12:10:20.000,
22,8,11,0,"placed",2020-11-27 15:09:20.000,
