ReturnAndExchangeID,OrderItemID,ReturnedQuantity,ReturnedType,ReturnedDate
10,34,1,"return",2020-11-30 21:49:18.066
11,36,1,"return",2020-11-30 21:49:37.473
12,38,2,"return",2020-11-30 21:49:47.926
13,39,3,"return",2020-11-30 21:50:00.316
14,40,3,"exchange",2020-11-30 21:53:06.306
15,41,3,"exchange",2020-11-30 21:53:15.373
16,42,4,"return",2020-11-30 21:54:03.930
17,45,1,"return",2020-11-30 21:54:18.130
18,46,1,"exchange",2020-11-30 21:54:32.576
19,48,1,"exchange",2020-11-30 21:54:54.050
