Listening Device PK,Listening Device Name,Client Device PK,Client Device Name,Listening Device Service Level,Client Device Service Level,Is Dev/Prod Mismatch
"10399","peter-ubu1604-90615.device42.pvt","16032","Ian_Aaron_RC","Decommissioned","Production","Yes"
"10406","s5-apache-9064.device42.pvt","14554","Freshworks-RC","Decommissioned","Production","Yes"
"10409","s3-tomcat-9066.device42.pvt","16032","Ian_Aaron_RC","Decommissioned","Production","Yes"
"2904","pfsense.device42.pvt","5564","zabbix-01","Decommissioned","Production","Yes"
"10403","peter-ubu1804-90614.device42.pvt","13854","trial-demo-rc","Decommissioned","Production","Yes"
"10404","s8-firefox-9065.device42.pvt","16773","Dino_Release_Machine","Decommissioned","Production","Yes"
"10409","s3-tomcat-9066.device42.pvt","16644","d42-rc.localdomain","Decommissioned","Production","Yes"
"5583","packstack-003.device42.pvt","10449","qa-wds-90-7-4","Decommissioned","Production","Yes"
"2904","pfsense.device42.pvt","5573","openvz-001.device42.pvt","Decommissioned","Production","Yes"
"10404","s8-firefox-9065.device42.pvt","13854","trial-demo-rc","Decommissioned","Production","Yes"
"10403","peter-ubu1804-90614.device42.pvt","14125","SA-RHEL4-1","Decommissioned","Production","Yes"
"2904","pfsense.device42.pvt","5618","hadoop-001.device42.pvt","Decommissioned","Production","Yes"
"10432","WINDOWS-BBAOSIB","10417","win-90317","Decommissioned","Production","Yes"
"2904","pfsense.device42.pvt","10389","qa-ubujen-90-4-18","Decommissioned","Production","Yes"
"10423","WINDOWS-M3AQVSI","6234","winsupjump-2-238","Decommissioned","Production","Yes"
"2904","pfsense.device42.pvt","14245","LPAR1 -","Decommissioned","Production","Yes"
"10404","s8-firefox-9065.device42.pvt","16644","d42-rc.localdomain","Decommissioned","Production","Yes"
"10425","WINDOWS-GHNRR1J","10417","win-90317","Decommissioned","Production","Yes"
"10406","s5-apache-9064.device42.pvt","14603","ubutest","Decommissioned","Production","Yes"
"10447","winmem16384","9116","WIN-V1BGG39U9C1.forest1.pvt","Decommissioned","Production","Yes"
"10453","winmem512","13700","AzureMigrateApp - Test","Decommissioned","Production","Yes"
"10407","s2-tomcat-9063.device42.pvt","16042","s5-apache-9064","Decommissioned","Production","Yes"
