DATEKEY,YEAR,QUARTER,MONTH,UNIQUE_CARRIER,ORIGIN,DEST,PASSENGERS,FREIGHT_KG,MAIL_COUNT,DISTANCE_KM,FLIGHTCOUNT
2019-03-31 00:00:00.000,2019,1,3,"UA","ABQ","GUA",0,0,0,1727,1
2019-02-28 00:00:00.000,2019,1,2,"UA","ANU","RSW",0,0,0,1433,1
2019-02-28 00:00:00.000,2019,1,2,"UA","AUA","CLT",0,0,0,1706,1
2019-08-31 00:00:00.000,2019,3,8,"UA","AUA","RDU",0,0,0,1700,1
2019-05-31 00:00:00.000,2019,2,5,"UA","BDA","BOS",0,0,0,772,1
2019-08-31 00:00:00.000,2019,3,8,"UA","BDA","IAH",0,0,0,1818,1
2019-06-30 00:00:00.000,2019,2,6,"UA","BDA","OMA",0,0,0,1825,1
2019-06-30 00:00:00.000,2019,2,6,"UA","BOG","MCO",0,0,0,1698,1
2019-09-30 00:00:00.000,2019,3,9,"UA","BOS","DUB",0,0,0,2993,1
2019-10-31 00:00:00.000,2019,4,10,"UA","BOS","YYZ",0,0,0,446,1
2019-08-31 00:00:00.000,2019,3,8,"UA","BUF","YVR",0,0,0,2148,1
2019-11-30 00:00:00.000,2019,4,11,"UA","BWI","PVR",0,0,0,2121,1
2019-01-31 00:00:00.000,2019,1,1,"UA","CLT","BZE",0,0,0,1298,1
2019-01-31 00:00:00.000,2019,1,1,"UA","CLT","CUN",0,0,0,1040,1
2019-07-31 00:00:00.000,2019,3,7,"UA","CRP","CUN",0,0,0,814,1
2019-07-31 00:00:00.000,2019,3,7,"UA","CUN","DTW",0,0,0,1473,1
2019-02-28 00:00:00.000,2019,1,2,"UA","CUN","MEM",0,0,0,982,1
2019-06-30 00:00:00.000,2019,2,6,"UA","CUN","TOL",0,0,0,1427,1
2019-12-31 00:00:00.000,2019,4,12,"UA","CZM","GRR",0,0,0,1543,1
2019-03-31 00:00:00.000,2019,1,3,"UA","DFW","YYZ",0,0,0,1199,1
2019-02-28 00:00:00.000,2019,1,2,"UA","ABQ","PTY",0,0,0,2481,1
2019-10-31 00:00:00.000,2019,4,10,"UA","ABQ","YYZ",0,0,0,1554,1
2019-09-30 00:00:00.000,2019,3,9,"UA","AMS","BGR",0,0,0,3267,1
2019-04-30 00:00:00.000,2019,2,4,"UA","AMS","SMF",0,0,0,5388,1
2019-03-31 00:00:00.000,2019,1,3,"UA","ANC","HND",0,0,0,3465,1
2019-07-31 00:00:00.000,2019,3,7,"UA","ARN","BTV",0,0,0,3693,1
2019-01-31 00:00:00.000,2019,1,1,"UA","AUA","CLT",0,0,0,1706,1
2019-02-28 00:00:00.000,2019,1,2,"UA","AUA","JAX",0,0,0,1446,1
2019-01-31 00:00:00.000,2019,1,1,"UA","AUA","PVD",0,0,0,2014,1
2019-07-31 00:00:00.000,2019,3,7,"UA","BCN","SWF",0,0,0,3819,1
2019-12-31 00:00:00.000,2019,4,12,"UA","EWR","MID",0,0,0,1638,1
2019-06-30 00:00:00.000,2019,2,6,"UA","EWR","MVD",0,0,0,5323,1
2019-12-31 00:00:00.000,2019,4,12,"UA","BOS","POS",0,0,0,2264,1
2019-10-31 00:00:00.000,2019,4,10,"UA","BUR","YYZ",0,0,0,2164,1
2019-02-28 00:00:00.000,2019,1,2,"UA","CHS","POS",0,0,0,1942,1
2019-10-31 00:00:00.000,2019,4,10,"UA","CHS","PVR",0,0,0,1764,1
2019-10-31 00:00:00.000,2019,4,10,"UA","CID","PVR",0,0,0,1661,1
2019-01-31 00:00:00.000,2019,1,1,"UA","CLT","AUA",0,0,0,1706,1
2019-03-31 00:00:00.000,2019,1,3,"UA","CUN","CLT",0,0,0,1040,1
2019-02-28 00:00:00.000,2019,1,2,"UA","ATL","AUA",0,0,0,1715,1
2019-09-30 00:00:00.000,2019,3,9,"UA","ATL","YYZ",0,0,0,739,1
2019-03-31 00:00:00.000,2019,1,3,"UA","BON","CMH",0,0,0,2116,1
2019-03-31 00:00:00.000,2019,1,3,"UA","CLT","POS",0,0,0,2096,1
2019-12-31 00:00:00.000,2019,4,12,"UA","CUN","AUS",0,0,0,921,1
2019-08-31 00:00:00.000,2019,3,8,"UA","CUN","CLT",0,0,0,1040,1
2019-07-31 00:00:00.000,2019,3,7,"UA","CUN","IND",0,0,0,1287,1
2019-01-31 00:00:00.000,2019,1,1,"UA","CUN","LGA",0,0,0,1559,1
2019-02-28 00:00:00.000,2019,1,2,"UA","CVG","LHR",0,0,0,3963,1
2019-10-31 00:00:00.000,2019,4,10,"UA","CVG","MBJ",0,0,0,1472,1
2019-02-28 00:00:00.000,2019,1,2,"UA","DSM","PLS",0,0,0,1845,1
2019-05-31 00:00:00.000,2019,2,5,"UA","DTW","MBJ",0,0,0,1664,1
2019-04-30 00:00:00.000,2019,2,4,"UA","DTW","PTY",0,0,0,2294,1
2019-02-28 00:00:00.000,2019,1,2,"UA","EDI","BGR",0,0,0,2877,1
2019-05-31 00:00:00.000,2019,2,5,"UA","EDI","CLE",0,0,0,3521,1
2019-12-31 00:00:00.000,2019,4,12,"UA","FLL","SAL",0,0,0,1044,1
2019-04-30 00:00:00.000,2019,2,4,"UA","FRA","BOS",0,0,0,3670,1
2019-10-31 00:00:00.000,2019,4,10,"UA","GRB","YYZ",0,0,0,426,1
2019-08-31 00:00:00.000,2019,3,8,"UA","ARN","BGR",0,0,0,3538,1
2019-07-31 00:00:00.000,2019,3,7,"UA","AUA","BWI",0,0,0,1881,1
2019-12-31 00:00:00.000,2019,4,12,"UA","AUA","MCO",0,0,0,1316,1
2019-02-28 00:00:00.000,2019,1,2,"UA","AUA","ROC",0,0,0,2158,1
2019-03-31 00:00:00.000,2019,1,3,"UA","BNA","PVR",0,0,0,1547,1
2019-01-31 00:00:00.000,2019,1,1,"UA","BNA","YYZ",0,0,0,641,1
2019-06-30 00:00:00.000,2019,2,6,"UA","BOG","AUS",0,0,0,2330,1
2019-06-30 00:00:00.000,2019,2,6,"UA","BOG","CLE",0,0,0,2571,1
2019-07-31 00:00:00.000,2019,3,7,"UA","BON","MCI",0,0,0,2474,1
2019-02-28 00:00:00.000,2019,1,2,"UA","BUF","LIR",0,0,0,2265,1
