Financial Year,2017,2018,2019,2020,2021
Equity Share Capital,197,191,375,375,370
Total Share Capital,197,191,375,375,370
Reserves and Surplus,86017,84937,89071,83751,86063
Total Reserves and Surplus,86017,84937,89071,83751,86063
Total Shareholders Funds,86214,85128,89446,84126,86433
Minority Interest,366,402,453,623,675
Long Term Borrowings,71,54,44,0,0
Deferred Tax Liabilities [Net],919,1170,1042,779,767
Other Long Term Liabilities,1131,1688,1874,8311,8729
Long Term Provisions,39,26,0,0,0
Total Non-Current Liabilities,2160,2938,2960,9090,9496
Trade Payables,4905,5094,6292,6740,7860
Other Current Liabilities,9341,12313,15553,20027,24901
Short Term Provisions,66,240,239,293,1394
Total Current Liabilities,14512,17828,22084,27060,34155
Total Capital And Liabilities,103252,106296,114943,120899,130759
Tangible Assets,10057,10216,10411,18935,18743
Intangible Assets,47,12,179,283,480
Capital Work-In-Progress,1541,1278,963,906,926
Fixed Assets,11645,11506,11553,20124,20149
Non-Current Investments,344,301,239,216,213
Deferred Tax Assets [Net],2828,3449,2656,2828,3931
Long Term Loans And Advances,9,1975,60,29,29
Other Non-Current Assets,6513,6096,6604,5755,5359
Total Non-Current Assets,22936,25072,22812,30662,31479
Current Investments,41636,35707,29091,26140,29160
Inventories,21,26,10,5,8
Trade Receivables,22617,24943,27346,30532,30079
Cash And Cash Equivalents,4149,7161,12848,9666,9329
Short Term Loans And Advances,2909,3205,8029,8475,11472
OtherCurrentAssets,8984,10182,14807,15419,19232
Total Current Assets,80316,81224,92131,90237,99280
Total Assets,103252,106296,114943,120899,130759
Contingent Liabilities,8095,4088,4516,2124,1821
BONUS DETAILS,,,,,
Bonus Equity Share Capital,155.9,151.15,342.58,342.58,338.01
Non-Current Investments Quoted Market Value,145,176,29222,0,0
Non-Current Investments Unquoted Book Value,212,217,121,42,38
Current Investments Quoted Market Value,21999,25217,0,26336,29356
Current Investments Unquoted Book Value,19637,10490,0,0,0
P&L.Consolidated Profit/Loss After MI And Associates,26289,25826,31472,32340,32430
ROE,0.304927273992623,0.303378441875764,0.351854750352168,0.384423364952571,0.375203915171289
TA-CL,88740,88468,92859,93839,96604
P&L.EBIT,34545,34144,41761,43172,44397
ROCE,0.389283299526707,0.385947461228919,0.449724851656813,0.460064578693294,0.459577243178336
TCS vs BSE.TCS,1350.2,1893.55,2161.3,2870.2,3445.65
Book Value Per Share,437.63451776649748,445.69633507853405,238.52266666666668,224.336,233.60270270270271
P/BV Ratio,3.0852228176398264,4.248520463302321,9.0611933457057887,12.794201554810639,14.750043386206658
