Starting Phone,Ending Phone,Quantity
"Apple","Apple",1101
"Apple","HTC",14
"Apple","Huawei",12
"Apple","LG",15
"Apple","Nokia",51
"Apple","Samsung",102
"Apple","Sony",45
"Apple","Other",54
"HTC","HTC",266
"HTC","Apple",53
"HTC","Huawei",0
"HTC","LG",7
"HTC","Nokia",11
"HTC","Samsung",61
"HTC","Sony",8
"HTC","Other",12
"Huawei","Huawei",159
"Huawei","Apple",34
"Huawei","HTC",4
"Huawei","LG",5
"Huawei","Nokia",7
"Huawei","Samsung",29
"Huawei","Sony",8
"Huawei","Other",4
"LG","LG",266
"LG","Apple",79
"LG","HTC",23
"LG","Huawei",0
"LG","Nokia",12
"LG","Samsung",78
"LG","Sony",17
"LG","Other",21
"Nokia","Nokia",798
"Nokia","Apple",204
"Nokia","HTC",35
"Nokia","Huawei",4
"Nokia","LG",35
"Nokia","Samsung",181
"Nokia","Sony",23
"Nokia","Other",23
"Samsung","Samsung",2022
"Samsung","Apple",498
"Samsung","HTC",53
"Samsung","Huawei",9
"Samsung","LG",63
"Samsung","Nokia",121
"Samsung","Sony",57
"Samsung","Other",78
"Sony","Sony",266
"Sony","Apple",80
"Sony","HTC",32
"Sony","Huawei",5
"Sony","LG",13
"Sony","Nokia",41
"Sony","Samsung",76
"Sony","Other",34
"Other","Other",532
"Other","Apple",215
"Other","HTC",32
"Other","Huawei",3
"Other","LG",23
"Other","Nokia",58
"Other","Samsung",157
"Other","Sony",45
