Country,Value,Date
Brunei,-7.67,1988-01-01 00:00:00.000
Fiji,3.45,1997-01-01 00:00:00.000
Myanmar,23.0,1996-01-01 00:00:00.000
Israel,125.0,1980-01-01 00:00:00.000
Belarus,1030.0,1992-01-01 00:00:00.000
Thailand,6.34,1972-01-01 00:00:00.000
Romania,4.01,2011-01-01 00:00:00.000
Belarus,70.8,2011-01-01 00:00:00.000
Malaysia,6.88,1980-01-01 00:00:00.000
Sudan,23.2,1973-01-01 00:00:00.000
Nicaragua,4.89,2016-01-01 00:00:00.000
Panama,1.97,2004-01-01 00:00:00.000
Denmark,1.23,1998-01-01 00:00:00.000
Tanzania,16.5,2006-01-01 00:00:00.000
Oman,3.68,1981-01-01 00:00:00.000
Belize,1.36,1962-01-01 00:00:00.000
Mauritania,10.9,1984-01-01 00:00:00.000
Bolivia,-1.35,2016-01-01 00:00:00.000
Fiji,3.85,2014-01-01 00:00:00.000
United Kingdom,1.56,2012-01-01 00:00:00.000
Lao,13.7,1996-01-01 00:00:00.000
Andorra,-0.1,2014-01-01 00:00:00.000
South Korea,23.6,1975-01-01 00:00:00.000
Belize,1.97,1996-01-01 00:00:00.000
Mauritius,10.9,1981-01-01 00:00:00.000
Fiji,-0.969,1963-01-01 00:00:00.000
Cyprus,3.66,2001-01-01 00:00:00.000
Egypt,9.17,1982-01-01 00:00:00.000
Iraq,24.7,2011-01-01 00:00:00.000
Comoros,5.27,2008-01-01 00:00:00.000
Benin,12.3,1978-01-01 00:00:00.000
Venezuela,15.4,2007-01-01 00:00:00.000
Mongolia,7.15,1989-01-01 00:00:00.000
"Macedonia, FYR",93.7,1991-01-01 00:00:00.000
Austria,1.15,2002-01-01 00:00:00.000
Ethiopia,-5.27,1986-01-01 00:00:00.000
Lesotho,9.82,1974-01-01 00:00:00.000
Mexico,15.6,1975-01-01 00:00:00.000
Papua New Guinea,3.41,1971-01-01 00:00:00.000
Swaziland,9.77,2009-01-01 00:00:00.000
"Congo, Dem. Rep.",41.7,2017-01-01 00:00:00.000
Ghana,15.2,2012-01-01 00:00:00.000
Finland,3.08,2008-01-01 00:00:00.000
France,4.67,1962-01-01 00:00:00.000
Samoa,11.8,1997-01-01 00:00:00.000
Fiji,17.3,1980-01-01 00:00:00.000
Sweden,2.39,1968-01-01 00:00:00.000
Ghana,39.8,1996-01-01 00:00:00.000
Ghana,67.3,1977-01-01 00:00:00.000
Kenya,-9.22,1971-01-01 00:00:00.000
Luxembourg,6.35,1979-01-01 00:00:00.000
Liberia,1.2,1981-01-01 00:00:00.000
Barbados,2.98,1976-01-01 00:00:00.000
Cuba,4.32,2011-01-01 00:00:00.000
Malta,0.782,1995-01-01 00:00:00.000
Slovak Republic,1.26,2012-01-01 00:00:00.000
Nicaragua,16.7,1973-01-01 00:00:00.000
Antigua and Barbuda,2.46,1992-01-01 00:00:00.000
Uzbekistan,26.8,2008-01-01 00:00:00.000
Lithuania,19.0,1996-01-01 00:00:00.000
Belize,-2.86,2003-01-01 00:00:00.000
"Congo, Dem. Rep.",8.2,1971-01-01 00:00:00.000
Indonesia,3.75,2012-01-01 00:00:00.000
Brazil,7.75,2004-01-01 00:00:00.000
Israel,1.13,2005-01-01 00:00:00.000
Rwanda,7.32,2017-01-01 00:00:00.000
Indonesia,14.3,2005-01-01 00:00:00.000
Tunisia,3.52,1986-01-01 00:00:00.000
"Congo, Dem. Rep.",442.0,1999-01-01 00:00:00.000
United States,1.08,2015-01-01 00:00:00.000
United States,9.02,1980-01-01 00:00:00.000
Mauritania,0.687,1961-01-01 00:00:00.000
Saudi Arabia,11.6,2006-01-01 00:00:00.000
Lebanon,15.4,1997-01-01 00:00:00.000
United States,2.21,1970-01-01 00:00:00.000
China,-2.61,1970-01-01 00:00:00.000
Jordan,-4.79,1978-01-01 00:00:00.000
Cote d'Ivoire,2.91,1964-01-01 00:00:00.000
Malta,-1.22,1972-01-01 00:00:00.000
Madagascar,11.5,1990-01-01 00:00:00.000
Belize,-3.01,2009-01-01 00:00:00.000
Nauru,3.41,2017-01-01 00:00:00.000
Chad,0.079,2003-01-01 00:00:00.000
China,0.605,2002-01-01 00:00:00.000
Papua New Guinea,1.53,1963-01-01 00:00:00.000
Tonga,6.81,1989-01-01 00:00:00.000
"Congo, Dem. Rep.",20.3,2007-01-01 00:00:00.000
Sweden,1.6,2002-01-01 00:00:00.000
Monaco,5.53,1985-01-01 00:00:00.000
Georgia,0.84,1967-01-01 00:00:00.000
Mexico,14.4,1992-01-01 00:00:00.000
Myanmar,3.13,2012-01-01 00:00:00.000
Burundi,8.25,2009-01-01 00:00:00.000
Dominica,6.17,1986-01-01 00:00:00.000
Antigua and Barbuda,4.58,1989-01-01 00:00:00.000
Bahamas,1.16,1961-01-01 00:00:00.000
Philippines,7.5,1987-01-01 00:00:00.000
Niger,3.39,1961-01-01 00:00:00.000
Mexico,4.37,2014-01-01 00:00:00.000
Seychelles,17.0,1979-01-01 00:00:00.000
