Name,Column1,Column2,Column3,Monthly Date
"InterestRates_1-31-2018.xlsx","1/1/2018","0.044","0.032",2018-01-31 00:00:00.000
"InterestRates_1-31-2018.xlsx","1/2/2018","0.044","0.033",2018-01-31 00:00:00.000
"InterestRates_1-31-2018.xlsx","1/3/2018","0.044","0.034",2018-01-31 00:00:00.000
"InterestRates_1-31-2018.xlsx","1/4/2018","0.042","0.03",2018-01-31 00:00:00.000
"InterestRates_1-31-2018.xlsx","1/5/2018","0.041","0.032",2018-01-31 00:00:00.000
"InterestRates_1-31-2018.xlsx","1/6/2018","0.044","0.034",2018-01-31 00:00:00.000
"InterestRates_1-31-2018.xlsx","1/7/2018","0.045","0.031",2018-01-31 00:00:00.000
"InterestRates_1-31-2018.xlsx","1/8/2018","0.041","0.033",2018-01-31 00:00:00.000
"InterestRates_1-31-2018.xlsx","1/9/2018","0.045","0.031",2018-01-31 00:00:00.000
"InterestRates_1-31-2018.xlsx","1/10/2018","0.04","0.033",2018-01-31 00:00:00.000
"InterestRates_1-31-2018.xlsx","1/11/2018","0.043","0.031",2018-01-31 00:00:00.000
"InterestRates_1-31-2018.xlsx","1/12/2018","0.045","0.033",2018-01-31 00:00:00.000
"InterestRates_1-31-2018.xlsx","1/13/2018","0.04","0.033",2018-01-31 00:00:00.000
"InterestRates_1-31-2018.xlsx","1/14/2018","0.044","0.034",2018-01-31 00:00:00.000
"InterestRates_1-31-2018.xlsx","1/15/2018","0.045","0.032",2018-01-31 00:00:00.000
"InterestRates_1-31-2018.xlsx","1/16/2018","0.043","0.033",2018-01-31 00:00:00.000
"InterestRates_1-31-2018.xlsx","1/17/2018","0.045","0.035",2018-01-31 00:00:00.000
"InterestRates_1-31-2018.xlsx","1/18/2018","0.044","0.033",2018-01-31 00:00:00.000
"InterestRates_1-31-2018.xlsx","1/19/2018","0.044","0.03",2018-01-31 00:00:00.000
"InterestRates_1-31-2018.xlsx","1/20/2018","0.044","0.032",2018-01-31 00:00:00.000
"InterestRates_1-31-2018.xlsx","1/21/2018","0.04","0.032",2018-01-31 00:00:00.000
"InterestRates_1-31-2018.xlsx","1/22/2018","0.041","0.035",2018-01-31 00:00:00.000
"InterestRates_1-31-2018.xlsx","1/23/2018","0.042","0.033",2018-01-31 00:00:00.000
"InterestRates_1-31-2018.xlsx","1/24/2018","0.045","0.031",2018-01-31 00:00:00.000
"InterestRates_1-31-2018.xlsx","1/25/2018","0.041","0.034",2018-01-31 00:00:00.000
"InterestRates_1-31-2018.xlsx","1/26/2018","0.042","0.035",2018-01-31 00:00:00.000
"InterestRates_1-31-2018.xlsx","1/27/2018","0.044","0.034",2018-01-31 00:00:00.000
"InterestRates_1-31-2018.xlsx","1/28/2018","0.045","0.033",2018-01-31 00:00:00.000
"InterestRates_1-31-2018.xlsx","1/29/2018","0.04","0.035",2018-01-31 00:00:00.000
"InterestRates_1-31-2018.xlsx","1/30/2018","0.041","0.035",2018-01-31 00:00:00.000
"InterestRates_1-31-2018.xlsx","1/31/2018","0.041","0.035",2018-01-31 00:00:00.000
"InterestRates_2-28-2018.xlsx","2/1/2018","0.043","0.033",2018-02-28 00:00:00.000
"InterestRates_2-28-2018.xlsx","2/2/2018","0.043","0.032",2018-02-28 00:00:00.000
"InterestRates_2-28-2018.xlsx","2/3/2018","0.044","0.034",2018-02-28 00:00:00.000
"InterestRates_2-28-2018.xlsx","2/4/2018","0.041","0.033",2018-02-28 00:00:00.000
"InterestRates_2-28-2018.xlsx","2/5/2018","0.044","0.032",2018-02-28 00:00:00.000
"InterestRates_2-28-2018.xlsx","2/6/2018","0.044","0.034",2018-02-28 00:00:00.000
"InterestRates_2-28-2018.xlsx","2/7/2018","0.041","0.03",2018-02-28 00:00:00.000
"InterestRates_2-28-2018.xlsx","2/8/2018","0.044","0.031",2018-02-28 00:00:00.000
"InterestRates_2-28-2018.xlsx","2/9/2018","0.041","0.033",2018-02-28 00:00:00.000
