Date,Year,Quarter Of Year,Month Of Year,Day Of Month,Date Int,Month Name,Month & Year,Quarter & Year,Day In Week,Day Of Week Name,Week Ending,Week Number,Month n Year,Quarter n Year,Short Year,FY,Quarter,Day Type,Workday Number,Weekend Number,Is less Than Today,Week Number Adjusted,IsWorkday,Short Month,Short Day Of Week Name
2010-07-04 00:00:00.000,2010,3,7,4,20100704,"July","Jul 2010","Q3 2010",0,"Sunday",2010-07-10 00:00:00.000,28,20100700,20100300,"10","FY11","Q3","Workday",2,,True,28,1,"Jul","Sun"
2010-07-05 00:00:00.000,2010,3,7,5,20100705,"July","Jul 2010","Q3 2010",1,"Monday",2010-07-10 00:00:00.000,28,20100700,20100300,"10","FY11","Q3","Workday",3,,True,28,1,"Jul","Mon"
2010-07-06 00:00:00.000,2010,3,7,6,20100706,"July","Jul 2010","Q3 2010",2,"Tuesday",2010-07-10 00:00:00.000,28,20100700,20100300,"10","FY11","Q3","Workday",4,,True,28,1,"Jul","Tue"
2010-07-07 00:00:00.000,2010,3,7,7,20100707,"July","Jul 2010","Q3 2010",3,"Wednesday",2010-07-10 00:00:00.000,28,20100700,20100300,"10","FY11","Q3","Workday",5,,True,28,1,"Jul","Wed"
2010-07-08 00:00:00.000,2010,3,7,8,20100708,"July","Jul 2010","Q3 2010",4,"Thursday",2010-07-10 00:00:00.000,28,20100700,20100300,"10","FY11","Q3","Workday",6,,True,28,1,"Jul","Thu"
2010-07-09 00:00:00.000,2010,3,7,9,20100709,"July","Jul 2010","Q3 2010",5,"Friday",2010-07-10 00:00:00.000,28,20100700,20100300,"10","FY11","Q3","Weekend",,3,True,28,0,"Jul","Fri"
2010-07-10 00:00:00.000,2010,3,7,10,20100710,"July","Jul 2010","Q3 2010",6,"Saturday",2010-07-10 00:00:00.000,28,20100700,20100300,"10","FY11","Q3","Weekend",,4,True,28,0,"Jul","Sat"
2011-07-03 00:00:00.000,2011,3,7,3,20110703,"July","Jul 2011","Q3 2011",0,"Sunday",2011-07-09 00:00:00.000,28,20110700,20110300,"11","FY12","Q3","Workday",1,,True,28,1,"Jul","Sun"
2011-07-04 00:00:00.000,2011,3,7,4,20110704,"July","Jul 2011","Q3 2011",1,"Monday",2011-07-09 00:00:00.000,28,20110700,20110300,"11","FY12","Q3","Workday",2,,True,28,1,"Jul","Mon"
2011-07-05 00:00:00.000,2011,3,7,5,20110705,"July","Jul 2011","Q3 2011",2,"Tuesday",2011-07-09 00:00:00.000,28,20110700,20110300,"11","FY12","Q3","Workday",3,,True,28,1,"Jul","Tue"
2011-07-06 00:00:00.000,2011,3,7,6,20110706,"July","Jul 2011","Q3 2011",3,"Wednesday",2011-07-09 00:00:00.000,28,20110700,20110300,"11","FY12","Q3","Workday",4,,True,28,1,"Jul","Wed"
2011-07-07 00:00:00.000,2011,3,7,7,20110707,"July","Jul 2011","Q3 2011",4,"Thursday",2011-07-09 00:00:00.000,28,20110700,20110300,"11","FY12","Q3","Workday",5,,True,28,1,"Jul","Thu"
2011-07-08 00:00:00.000,2011,3,7,8,20110708,"July","Jul 2011","Q3 2011",5,"Friday",2011-07-09 00:00:00.000,28,20110700,20110300,"11","FY12","Q3","Weekend",,3,True,28,0,"Jul","Fri"
2011-07-09 00:00:00.000,2011,3,7,9,20110709,"July","Jul 2011","Q3 2011",6,"Saturday",2011-07-09 00:00:00.000,28,20110700,20110300,"11","FY12","Q3","Weekend",,4,True,28,0,"Jul","Sat"
